time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2020-10-17,29881781.7152322158481766592050918913277952,,,,,,,
2020-10-18,29783903.2471362014762863280775987203634176,,,,,,,
2020-10-19,31794900.0697479156305153409289314391609344,,,,,,,
2020-10-20,31730776.6584271007205081768894961217534976,,,,,,,
2020-10-21,16731850.7073453161299801694541736578161664,,,,,,,
2020-10-22,16605849.185037189691523635233538585179648,,,,,,,
2020-10-23,16914184.3933613169890120537388541584080896,,,,,,,
2020-10-24,16947571.6963442591202120537388541584080896,,,,,,,
2020-10-25,16999005.0844799363742536537388541584080896,,,,,,,
2020-10-26,15870403.3806203349490082872427914480429056,,,,,,,
2020-10-27,14631900.2378381472523232622233258230631424,,,,,,,
2020-10-28,14195591.3104349262575544472983501115094016,,,,,,,
2020-10-29,14979396.3113450776325372677320076228001466,,,,,,,
2020-10-30,13450942.4052734638387701664156674745961176,,,,,,,
2020-10-31,15862389.6256978158250603603115031377928997,,,,,,,
2020-11-01,15749887.9996392235713299927709084411169446,,,,,,,
2020-11-02,15750262.7665233672525353927709084411169446,,,,,,,
2020-11-03,14475283.1633642162016475565121944734730009,,,,,,,
2020-11-04,14514944.2715411021911048560966262438132812,,,,,,,
2020-11-05,15569752.7036531082728147421415469455336334,,,,,,,
2020-11-06,15276366.7534577267498068653128065222841018,,,,,,,
2020-11-07,14976313.2474809161812042903244076541535092,,,,,,,
2020-11-08,15186983.1201948670234542363093029602663326,,,,,,,
2020-11-09,16588655.2917080373802273627967445199508637,,,,,,,
2020-11-10,15725196.8394856279371296562490606367074116,,,,,,,
2020-11-11,13670378.6344815026620442189390333655081708,,,,,,,
2020-11-12,16736527.69542813008284784698332503631903,,,,,,,
2020-11-13,17589720.8849888430255393076546162910391744,,,,,,,
2020-11-14,16602810.3910630109934125082958015805131792,,,,,,,
2020-11-15,14772412.1815649898622164435163176039656724,,,,,,,
