time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-04-22,,,,,,,36865022.6788103
2025-04-23,,,,,,,30666255.0416332
2025-04-24,,,,,,,17367703.0242341
2025-04-25,,,,,,,26847218.7890676
2025-04-26,,,,,,,20054048.7753124
2025-04-27,,,,,,,35298483.2582853
2025-04-28,,,,,,,36803879.3095727
2025-04-29,,,,,,,22242029.4243965
2025-04-30,,,,,,,36652167.3853604
2025-05-01,,,,,,,24643496.5501345
2025-05-02,,,,,,,38461001.6849219
2025-05-03,,,,,,,36373199.6105144
2025-05-04,,,,,,,35191573.4007966
2025-05-05,,,,,,,201194096.585794
2025-05-06,,,,,,,147912038.402337
2025-05-07,,,,,,,42896946.636898
2025-05-08,,,,,,,66116803.0527844
2025-05-09,,,,,,,39675413.2574007
2025-05-10,,,,,,,50607381.2479517
2025-05-11,,,,,,,261045316.202902
2025-05-12,,,,,,,72579377.7311334
2025-05-13,,,,,,,96384406.020662
2025-05-14,80217553.386195989,,,,,,37626523.4394979
2025-05-15,74738363.062499398,,,,,,29253217.7642922
2025-05-16,72630836.406511719,,,,,,17311317.6741597
2025-05-17,68202835.404965311,,,,,,15988497.7807112
2025-05-18,71921725.736606176,,,,,,23833097.198743
2025-05-19,70232888.213983019,,,,,,13651471.4709897
2025-05-20,66764058.408580303,,,,,,18558736.1134774
2025-05-21,64902895.590910903,,,,,,20534329.8196727
2025-05-22,71280662.22344639,,,,,,19865432.2000743
2025-05-23,62172809.220128063,,,,,,21883215.8990733
2025-05-24,61319652.445071173,,,,,,8060816.08318538
2025-05-25,63785979.347782056,,,,,,7492564.96513687
2025-05-26,61015916.909249024,,,,,,7965260.71884884
2025-05-27,60447022.66188844,,,,,,13892178.2903689
2025-05-28,59212117.221036472,,,,,,8913136.86124167
2025-05-29,64808125.180403323,,,,,,39467741.1945027
2025-05-30,50298705.066194346,,,,,,76525709.3269857
2025-05-31,52858981.371732713,,,,,,25605072.2572421
2025-06-01,57620095.607208792,,,,,,22329177.953843
2025-06-02,57557214.530757458,,,,,,27471817.5495023
2025-06-03,58034808.706597115,,,,,,26055022.6211627
2025-06-04,52555470.35014889,,,,,,30005759.3292086
2025-06-05,52063448.930171046,,,,,,36802271.9635545
2025-06-06,51056035.997102628,,,,,,27972284.9996288
2025-06-07,54705758.781379711,,,,,,25116219.511271
2025-06-08,55424906.209650534,,,,,,25216842.2989196
2025-06-09,58224160.341251252,,,,,,14420177.0499745
2025-06-10,61699584.975134736,,,,,,17078256.1530025
2025-06-11,59101802.104768847,,,,,,10305028.7884907
2025-06-12,52969412.024071416,,,,,,12504732.9249779
2025-06-13,53122925.980240455,,,,,,17885898.9579326
2025-06-14,55193539.296003133,,,,,,16813743.2479639
2025-06-15,56619865.002291804,,,,,,6393811.07367008
2025-06-16,55232469.846170101,,,,,,15683302.7710195
2025-06-17,54924995.388340841,,,,,,16961088.1601859
2025-06-18,53808981.171329385,,,,,,16857480.7358269
2025-06-19,52166218.160706163,,,,,,10747222.5426273
2025-06-20,48712408.922890444,,,,,,11343955.9429972
2025-06-21,44548041.13374071,,,,,,11164866.211404
2025-06-22,46147385.465705411,,,,,,16078695.0094735
2025-06-23,48996387.23210036,,,,,,10643639.2946676
2025-06-24,48440759.693988841,,,,,,8768771.95445508
2025-06-25,46154856.823354026,,,,,,11580450.3543692
2025-06-26,44421723.454859864,,,,,,12082813.3246561
2025-06-27,44696057.747658405,,,,,,10350073.7864925
2025-06-28,45069636.846361286,,,,,,4459236.61007462
2025-06-29,51582634.35330723,,,,,,26193046.2661583
2025-06-30,49008539.584744982,,,,,,21009780.8545965
2025-07-01,47639125.680489116,,,,,,11430110.5826439
2025-07-02,48914410.070426728,,,,,,10768411.1137673
2025-07-03,42908280.909967651,,,,,,18377617.5231301
2025-07-04,40203044.207811041,,,,,,27459191.5894998
2025-07-05,39609919.394359019,,,,,,11980008.0371431
2025-07-06,40084701.516291073,,,,,,7692381.53442953
2025-07-07,38392707.740539205,,,,,,7807638.60877477
2025-07-08,40316253.734591727,,,,,,10911705.218609
2025-07-09,39784281.736614001,,,,,,13364911.5336884
2025-07-10,42244386.50302989,,,,,,20996963.7517007
2025-07-11,45202235.652373674,,,,,,57466373.3611907
2025-07-12,40430765.54955063,,,,,,26342427.0857827
2025-07-13,42326810.79040478,,,,,,14246627.4812752
2025-07-14,41792023.80162039,,,,,,16894417.0977965
2025-07-15,44057921.329947848,,,,,,10734524.6682156
2025-07-16,43996259.374193158,,,,,,9317274.62591673
2025-07-17,43160602.938588297,,,,,,10087146.0133986
2025-07-18,41218174.140440762,,,,,,18158980.8795785
2025-07-19,42176158.70726482,,,,,,8287480.88928016
2025-07-20,43321882.163210264,,,,,,11996775.6288228
2025-07-21,48533208.183462463,,,,,,20939233.3932547
2025-07-22,46567446.013289254,,,,,,21897510.1761955
2025-07-23,47418755.362739865,,,,,,32809163.2184921
2025-07-24,54700641.44635217,,,,,,130099940.411022
2025-07-25,55412796.243285724,,,,,,43502469.9493782
2025-07-26,53187235.705531594,,,,,,19262376.3219084
2025-07-27,51622915.49854867,,,,,,12951858.9170703
2025-07-28,46792908.371898732,,,,,,13956455.3892164
2025-07-29,45376411.927184896,,,,,,15078996.4352122
2025-07-30,43887684.149784921,,,,,,9846458.55603011
2025-07-31,41142914.854977084,,,,,,9375005.18959448
2025-08-01,39995025.40237497,,,,,,12523397.7929974
2025-08-02,39716609.144656145,,,,,,9542459.36153783
2025-08-03,40106926.147123911,,,,,,6413102.0411868
2025-08-04,48641441.216718385,,,,,,38715295.121853
2025-08-05,43093023.438531489,,,,,,36798840.1170066
2025-08-06,43469598.42622182,,,,,,14131647.1178376
2025-08-07,45416424.172540324,,,,,,12332685.1962748
2025-08-08,45947718.669260523,,,,,,10479241.827841
2025-08-09,46527244.694175412,,,,,,11720338.5035268
2025-08-10,44570060.149878815,,,,,,15371788.2383356
2025-08-11,42751757.930425247,,,,,,14247750.431493
2025-08-12,45401446.401495578,,,,,,16182978.7084395
2025-08-13,47915600.789272711,,,,,,16576543.6135029
