time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-07-01,,,,,,810766.836266872
2025-07-02,,,,,,688190.127952872
2025-07-03,,,,,,4287510.99220166
2025-07-04,,,,,,1704236.77656031
2025-07-05,,,,,,1583357.76538453
2025-07-06,,,,,,619265.811764322
2025-07-07,,,,,,802028.930752177
2025-07-08,,,,,,1404633.96464717
2025-07-09,,,,,,1298007.18121179
2025-07-10,,,,,,1240183.04231813
2025-07-11,,,,,,871325.821310554
2025-07-12,,,,,,1383886.5613125
2025-07-13,,,,,,2662832.05829095
2025-07-14,,,,,,1220468.1513581
2025-07-15,,,,,,1986915.54239626
2025-07-16,,,,,,2002818.35618686
2025-07-17,,,,,,1076082.23423395
2025-07-18,,,,,,552589.323703756
2025-07-19,,,,,,884432.887282514
2025-07-20,,,,,,455196.523818046
2025-07-21,,,,,,927066.688807199
2025-07-22,,,,,,1422883.17961547
2025-07-23,,,,,,415881.285443798
2025-07-24,,,,,,383451.241394777
2025-07-25,,,,,,699980.15405283
2025-07-26,,,,,,392776.670854455
2025-07-27,,,,,,372844.788188678
2025-07-28,,,,,,417449.393476006
2025-07-29,,,,,,687507.752284691
2025-07-30,,,,,,537383.792522264
2025-07-31,,,,,,477147.022226657
2025-08-01,,,,,,390971.534038128
2025-08-02,,,,,,482518.889137233
2025-08-03,,,,,,332057.226309513
2025-08-04,,,,,,320568.780065925
2025-08-05,,,,,,234549.454677981
2025-08-06,,,,,,567259.477090191
2025-08-07,,,,,,297465.720474733
2025-08-08,,,,,,79805.3893018106
2025-08-09,,,,,,242049.792897753
2025-08-10,,,,,,257481.627336279
2025-08-11,,,,,,101187.371294946
2025-08-12,,,,,,669810.006455978
2025-08-13,,,,,,1173064.29508957
2025-08-14,,,,,,535353.905027989
2025-08-15,,,,,,383231.346805487
2025-08-16,,,,,,1353804.05347489
2025-08-17,,,,,,1047008.55832258
2025-08-18,,,,,,443562.038958682
2025-08-19,,,,,,271967.818944389
2025-08-20,,,,,,3922332.36440418
2025-08-21,,,,,,3565581.99368578
2025-08-22,,,,,,1305581.61162455
2025-08-23,,,,,,341649.158399338
2025-08-24,,,,,,238613.053394612
2025-08-25,,,,,,805930.628086106
2025-08-26,,,,,,313459.805378237
2025-08-27,,,,,,164870.266214062
2025-08-28,,,,,,99341.4533175468
2025-08-29,,,,,,143993.079026139
2025-08-30,,,,,,71700.8805584742
2025-08-31,,,,,,192389.676504562
2025-09-01,,,,,,184576.909161707
2025-09-02,,,,,,412097.764462361
2025-09-03,,,,,,275760.337222517
2025-09-04,,,,,,159827.460195828
2025-09-05,,,,,,82895.6162599062
2025-09-06,,,,,,145105.366830297
2025-09-07,,,,,,110254.553105661
2025-09-08,,,,,,95744.0076396457
2025-09-09,,,,,,72832.5434550469
2025-09-10,,,,,,63236.3797111365
2025-09-11,,,,,,84556.8220973003
2025-09-12,,,,,,104061.721880874
2025-09-13,,,,,,102706.695363952
2025-09-14,,,,,,81387.3420931171
2025-09-15,,,,,,90502.9690162502
2025-09-16,,,,,,33302.3202911999
2025-09-17,,,,,,72362.0644873288
2025-09-18,,,,,,51817.3496268888
2025-09-19,,,,,,70848.1618519542
2025-09-20,,,,,,47097.7778094413
2025-09-21,,,,,,53426.4606538052
2025-09-22,,,,,,55892.7743855547
2025-09-23,,,,,,65072.147870961
2025-09-24,,,,,,41603.2713209794
2025-09-25,,,,,,50736.1870236121
2025-09-26,,,,,,82972.4681650145
2025-09-27,,,,,,125604.335271185
2025-09-28,,,,,,57139.2055063169
2025-09-29,,,,,,41123.1785185277
2025-09-30,,,,,,32655.5766473427
2025-10-01,,,,,,28950.189732755
2025-10-02,,,,,,26946.4189552176
2025-10-03,,,,,,35818.299489637
2025-10-04,,,,,,21993.8765042498
2025-10-05,,,,,,30932.3132957109
2025-10-06,,,,,,21794.2119283979
2025-10-07,,,,,,737903.823681681
2025-10-08,,,,,,346709.604817024
2025-10-09,,,,,,127630.98264119
2025-10-10,,,,,,306258.84523023
