time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-04-16,,,,,,273.48281452
2026-04-17,,,,,,285.40549882
2026-04-18,,,,,,0
2026-04-19,,,,,,0
2026-04-20,,,,,,102.88467456
2026-04-21,,,,,,746.54856602
2026-04-22,,,,,,1570.19380979
2026-04-23,187.96,0.00239996703872103,0.0789166567533309,160.535340305875,187.96,67.0578062
2026-04-24,185.24,0.00236777806083725,0.079484980418447,158.539940109443,185.24,250.30987616
2026-04-25,2000,0.0258250225442204,0.86370023289991,1706.60088075707,2000,0
2026-04-26,2000,0.0257649910938385,0.862337917028666,1707.65796650603,2000,0
2026-04-27,2000,0.0254651290630544,0.844301450148201,1708.59020393755,2000,1090.70649649
2026-04-28,181.66,0.00235139408279087,0.0790535242951148,155.001385819799,181.66,0
2026-04-29,181.66,0.00238100446172905,0.0794145376926209,155.088001664488,181.66,
