time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2021-07-22,,,,,,,120242.660610514
2021-07-23,,,,,,,870052.136637309
2021-07-24,,,,,,,227822.123515179
2021-07-25,,,,,,,836867.069780234
2021-07-26,,,,,,,724478.945936998
2021-07-27,,,,,,,183739.144619656
2021-07-28,,,,,,,316652.727007645
2021-07-29,,,,,,,661922.823220956
2021-07-30,,,,,,,538814.027350777
2021-07-31,,,,,,,1173829.53635586
2021-08-01,,,,,,,316109.102160669
2021-08-02,,,,,,,333291.459087984
2021-08-03,,,,,,,558056.332140549
2021-08-04,,,,,,,660819.571467661
2021-08-05,,,,,,,1272287.11712712
2021-08-06,,,,,,,1941821.74073403
2021-08-07,,,,,,,908760.340318088
2021-08-08,,,,,,,1404332.34451522
2021-08-09,,,,,,,2311205.71407809
2021-08-10,,,,,,,979146.191486004
2021-08-11,,,,,,,2613766.22526624
2021-08-12,,,,,,,2880597.18597129
2021-08-13,,,,,,,2099743.51877434
2021-08-14,,,,,,,1476581.78825102
2021-08-15,,,,,,,914774.211910077
2021-08-16,,,,,,,729614.782441929
2021-08-17,,,,,,,1689632.61289076
2021-08-18,,,,,,,1169081.60157571
2021-08-19,,,,,,,969376.403267172
2021-08-20,,,,,,,791049.550814996
2021-08-21,,,,,,,431178.683370316
2021-08-22,,,,,,,548534.23456679
2021-08-23,,,,,,,426498.274449927
2021-08-24,,,,,,,868649.700429915
2021-08-25,,,,,,,539549.356015938
2021-08-26,,,,,,,448141.854882752
2021-08-27,,,,,,,440005.770537999
2021-08-28,,,,,,,305850.686913194
2021-08-29,,,,,,,303260.96040708
2021-08-30,,,,,,,924414.156745446
2021-08-31,,,,,,,682466.405858438
2021-09-01,,,,,,,554909.601510834
2021-09-02,,,,,,,391049.185672913
2021-09-03,,,,,,,1192949.89404602
2021-09-04,,,,,,,642158.255633979
2021-09-05,,,,,,,2140848.55407857
2021-09-06,,,,,,,1418792.46771044
2021-09-07,,,,,,,2212640.01017151
2021-09-08,,,,,,,2352849.03161138
2021-09-09,,,,,,,4042371.95828337
2021-09-10,,,,,,,17995019.1017158
2021-09-11,,,,,,,16802911.4797807
2021-09-12,,,,,,,5695145.4717515
2021-09-13,,,,,,,9854177.82000333
2021-09-14,,,,,,,13523186.1914696
2021-09-15,,,,,,,5162621.8697894
2021-09-16,,,,,,,4925520.28108214
2021-09-17,,,,,,,4150386.38964798
2021-09-18,,,,,,,3324687.6498876
2021-09-19,,,,,,,2479347.83294599
2021-09-20,,,,,,,3369450.20250311
2021-09-21,,,,,,,3177903.48093233
2021-09-22,,,,,,,1428894.45386653
2021-09-23,,,,,,,1944159.08944657
2021-09-24,,,,,,,2126383.6366398
2021-09-25,,,,,,,904129.738611183
2021-09-26,,,,,,,1759376.74711691
2021-09-27,,,,,,,1646479.38928552
2021-09-28,,,,,,,1747392.34357302
2021-09-29,,,,,,,1472898.51765635
