time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2020-05-13,5,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1614335854,3.01673543463791136504,1.001607021448,1.001607021448,3.0215833931829750708,,3.0215833931829750708,3.01673543463791136504,0.0004251,3.9632061105895794588,1,0.76334259739,,0.76334259739,,1,9322.997202045588,,,,,,,,0,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,99.8395556927,0.0003241,0.0003241,0.0003241,0.0003241,0.0003241,0.0003241,0.0003241,0.0003241,0,0,0,0,0,0,0,0,0,0,0.00024975,0,0,0,0,0,0,0,0.0003241,0.00024975,0.00024975,0.0003241,0.0003241,2,0.000023148148,2,0.00042458000000000003,3.95835815204451603272991606136764,0.00021229,1.97917907602225787652,0.00021229000000000002,1.97917907602225806297994404091176,1.310027769207,,,,
2020-05-14,0,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1614335854,3.1714947808385327805,1.052989733372,1.052989733372,3.1765914409721505475,,3.1765914409721505475,3.01673543463791136504,0,0,1,,,,,1,9801.269487726475,,,,,,,,0,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,0.00032358,99.8395556927,0.0003241,0.0003241,0.0003241,0.0003241,0.0003241,0.0003241,0.0003241,0.0003241,0,0,0,0,0,0,0,0,0,0,0.00024975,0,0,0,0,0,0,0,0.0003241,0.00024975,0.00024975,0.0003241,0.0003241,0,0,0,0,0,,,,,1.310027769207,,,,
2020-05-15,9,6,6,6,6,6,6,6,6,6,4,1,0,0,0,0,0,0,0,0,1,0,4,0,0,5,0,0,1614335854,318.95453142255419710176,1.001023218218,1.001023218218,319.27556248961797967048,,319.27556248961797967048,318.94920784964408340192,0.03390768,316.25272202374430359488,1,0.407167826969,,0.407167826969,,1,9326.875858912916,,,,,,,,0,0.03419736,0.03419736,0.03282483,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,99.8994501601,0.03423178,0.03423178,0.03423178,0.03423178,0.03423178,0.03423178,0.03423178,0.03423178,0.03394761,0.02480108,0,0,0,0,0,0,0,0,0.03419736,0.03394761,0.02480108,0,0,0,0,0,0.03423178,0.02480108,0.02480108,0.03423178,0.03423178,21,0.000243055556,19,0.0840729,784.1375013987996955764,0.00442489,41.27039971934517287924,0.001,9.326875858912916,2.46839282094,,,,
2020-05-16,2,7,7,7,7,7,7,7,7,7,5,1,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,1614335854,321.30045425918606772528,1.003035379887,1.003035379887,321.62384652208592854644,,321.62384652208592854644,320.65055029084813991048,0,0,1,34.196557545728,,34.196557545728,,1,9395.475389304498,,,,,,,,0,0.03419736,0.03419736,0.03282483,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,0.03419736,99.8994501601,0.03423178,0.03423178,0.03423178,0.03423178,0.03423178,0.03423178,0.03423178,0.03423178,0.03394761,0.02380005,0,0,0,0,0,0,0,0,0.03419736,0.03294658,0.02380005,0,0,0,0,0,0.03423178,0.02380005,0.02380005,0.03423178,0.03423178,1,0.000011574074,1,0.00100103,9.40515272895548163294,0.00100103,9.40515272895548163294,0.00100103,9.40515272895548163294,2.497635530492,,,,
2020-05-17,10,10,10,10,9,10,10,8,10,10,5,1,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,1614335854,424.77618566108610314564,1.003764240122,1.003764240122,425.20831708572119327901,,425.20831708572119327901,423.61373327490852390112,0.00995026,96.34371564619206700574,0.999977456445,4.205772103892,,4.205772103892,,1,9682.532481180599,,,,,,,,0,0.04387036,0.04387036,0.04142481,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,99.8983718316,0.04391499,0.04391499,0.04391499,0.043914,0.04391499,0.04391499,0.04390132,0.04391499,0.04352407,0.03347651,0,0,0,0,0,0,0,0,0.04377382,0.04252304,0.03347651,0,0,0,0,0,0.04391499,0.03347651,0.03347651,0.04391499,0.04391499,8,0.000092592593,10,0.0104416,101.1011311554953425184,0.00104542,10.12231310647582180658,0.000019495000000000002,0.188760970720615796870064962361198,2.184965771369,,,,
2020-05-18,0,10,10,10,9,10,10,8,10,10,5,1,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,1614335854,426.7204121351991283942,1.008358530186,1.008358530186,427.15452145168510975155,,427.15452145168510975155,423.61373327490852390112,0,0,0.999977456445,,,,,1,9726.850022092345,,,,,,,,0,0.04387036,0.04387036,0.04042378,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,99.8983718316,0.04391499,0.04391499,0.04391499,0.043914,0.04391499,0.04391499,0.04390132,0.04391499,0.04352407,0.03347651,0,0,0,0,0,0,0,0,0.04377382,0.04252304,0.03347651,0,0,0,0,0,0.04391499,0.03347651,0.03347651,0.04391499,0.04391499,0,0,0,0,0,,,,,2.184965771369,,,,
2020-05-19,0,10,10,10,9,10,10,8,10,10,5,1,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,1614335854,427.92032965092774844648,1.011193986443,1.011193986443,428.35565966217727786482,,428.35565966217727786482,423.61373327490852390112,0,0,0.999977456445,,,,,1,9754.201462010518,,,,,,,,0,0.04387036,0.04387036,0,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,0.04387036,99.8983718316,0.04391499,0.04391499,0.04391499,0.043914,0.04391499,0.04391499,0.04390132,0.04391499,0.04352407,0.03347651,0,0,0,0,0,0,0,0,0.04377382,0.04252304,0.03347651,0,0,0,0,0,0.04391499,0.03347651,0.03347651,0.04391499,0.04391499,0,0,0,0,0,,,,,2.184965771369,,,,
2020-05-20,8,11,12,12,9,12,12,5,11,12,8,2,1,0,0,0,0,1,0,0,2,0,7,1,0,9,1,0,1614335854,11850.07176705037800744036,1.00095361099,1.00095361099,11861.94422365126464964104,,11861.94422365126464964104,11850.64331994166827298659,1.20285019,11445.96462056733891137076,0.999922555198,1.037207887023,,1.037207887023,,1,9515.702550263004,,,,,,,,0,1.24531759,1.24531759,1.23492374,1.24531759,1.24531759,1.24531759,1.24531759,1.24531759,1.24531759,1.24531759,1.24531759,1.24531759,99.8999113773,1.24656427,1.24656526,1.24656526,1.24646872,1.24656526,1.24656526,1.24302214,1.24656427,1.24621897,1.23197669,1.1987001,1.1987001,0,0,0,0,0,0,1.24646872,1.24521794,1.23197669,0,1.1987001,0,1.1987001,0,1.24656526,1.1987001,1.1987001,1.24656526,1.24656526,5,0.00005787037,5,1.20184707,11436.41922902511908679828,0.24095882,2292.89245798236413349528,0.00294705,28.0432512007525859382,1.04346472001,,,,
2020-05-21,0,11,12,12,9,12,12,5,11,12,8,2,1,0,0,0,0,1,0,0,2,0,6,1,0,9,1,0,1614335854,11293.53769111018562276594,0.953944208524,0.953944208524,11304.85256233999571907716,,11304.85256233999571907716,11850.64331994166827298659,0,0,0.999922555198,,,,,1,9068.801229339566,,,,,,,,0,1.24531759,1.24531759,1.23492374,1.24531759,1.24531759,1.24531759,1.24531759,1.24531759,1.24531759,1.24394506,1.24531759,1.24531759,99.8999113773,1.24656427,1.24656526,1.24656526,1.24646872,1.24656526,1.24656526,1.24302214,1.24656427,1.24621897,1.23197669,1.1987001,1.1987001,0,0,0,0,0,0,1.24646872,1.24414492,1.23197669,0,1.1987001,0,1.1987001,0,1.24656526,1.1987001,1.1987001,1.24656526,1.24656526,0,0,0,0,0,,,,,1.04346472001,,,,
2020-05-22,14,14,16,16,13,16,16,7,15,16,10,2,1,0,0,0,0,1,0,0,2,0,9,1,0,13,1,0,1614335854,11624.10889456648700140108,0.965355637214,0.965355637214,11635.79130815251141317316,,11635.79130815251141317316,12053.37272565438630206764,0.02546395,233.29599993243484546055,0.999923986122,33.390312104979,,33.390312104979,,1,9161.815033898309,,,,,,,,0,1.26875612,1.26875612,0.05771615,1.26875612,1.26875612,1.26875612,1.26875612,1.26875612,1.26875612,1.26738359,1.26875612,1.26875612,99.8995993201,1.27001757,1.27003124,1.27003124,1.2699347,1.27003124,1.27003124,1.26493977,1.27003025,1.26833437,1.24092982,1.1987001,1.1987001,0,0,0,0,0,0,1.2699347,1.26726135,1.24092982,0,1.1987001,0,1.1987001,0,1.27003124,1.1987001,1.1987001,1.27003124,1.27003124,10,0.000115740741,13,0.03803592000000001,348.47806368415346087743033898309,0.00534925,49.00883907008052941825,0.00294705,27.00032699565001153845,1.078939711751,,,,
2020-05-23,8,18,20,20,17,20,20,9,19,20,12,3,1,0,0,0,0,1,0,0,3,0,11,1,0,17,1,0,1614335854,12620.6524508859508717386,0.970139337365,0.970139337365,12633.34620051184809909015,,12633.34620051184809909015,13022.19765134169319545964,0.10635074,976.6892629114919533107,0.999929821385,12.947905404229,,12.947905404229,,1,9183.662125073055,,,,,,,,0,1.37425052,1.37425052,0.16321055,1.37425052,1.37425052,1.37425052,1.37425052,1.37425052,1.37425052,1.37180497,1.37425052,1.37425052,99.8995218731,1.37561906,1.37563273,1.37563273,1.37553619,1.37563273,1.37563273,1.36914266,1.37563174,1.37253726,1.34077987,1.1987001,1.1987001,0,0,0,0,0,0,1.37553619,1.37146424,1.34077987,0,1.1987001,0,1.1987001,0,1.37563273,1.29855015,1.1987001,1.37563273,1.37563273,9,0.000104166667,9,0.10624365,975.70578453451787985075,0.01180485,108.41175383716865331675,0.00094905,8.71575453980058284775,1.073346655542,,,,
2020-05-24,6,19,21,21,18,21,21,10,20,21,13,3,1,0,0,0,0,1,0,0,3,0,11,1,0,18,1,0,1614335854,12137.78384923256747372788,0.931535001813,0.931535001813,12150.00936312928894213156,,12150.00936312928894213156,13042.99821206674706087924,0.00507569,44.69769688423818679364,0.999930028572,227.223187303093,,227.223187303093,,1,8806.230657159556,,,,,,,,0,1.37831773,1.37831773,0.15179133,1.37831773,1.37831773,1.37831773,1.37831773,1.37831773,1.37831773,1.37587218,1.37831773,1.37831773,99.899378564,1.37969234,1.37970601,1.37970601,1.37960947,1.37970601,1.37970601,1.37321594,1.37970502,1.37661054,1.34072651,1.1987001,1.1987001,0,0,0,0,0,0,1.37960947,1.37441474,1.34072651,0,1.1987001,0,1.1987001,0,1.37970601,1.29855015,1.1987001,1.37970601,1.37970601,3,0.000034722222,3,0.006072029999999999,53.471696737192530012449342840444,0.00202401,17.82389891239751293956,0.00100241,8.82745367304331052996,1.074578793782,,,,
2020-05-25,7,20,22,22,19,22,22,10,21,22,13,3,1,0,0,0,0,1,0,0,3,0,12,1,0,19,1,0,1614335854,12286.88861534964254662212,0.942555123208,0.942555123208,12299.30170428156424422726,,12299.30170428156424422726,13048.89380095019893346303,0.0029121,25.9444597166771997186,0.999930069733,474.879728525777,,474.879728525777,,1,8909.192581531266,,,,,,,,0,1.37912482,1.37912482,0.05134977,1.37912482,1.37912482,1.37912482,1.37912482,1.37912482,1.37912482,1.369732,1.37912482,1.37912482,99.8990748481,1.38050444,1.38051811,1.38051811,1.38042157,1.38051811,1.38051811,1.37347969,1.38051712,1.37687429,1.34198525,1.1987001,1.1987001,0,0,0,0,0,0,1.38042157,1.37580127,1.34198525,0,1.1987001,0,1.1987001,0,1.38051811,1.29855015,1.1987001,1.38051811,1.38051811,3,0.000034722222,3,0.00290709,25.89982466184372807594,0.00096903,8.63327488728124269198,0.00094905,8.4552692195022479973,1.076052461202,,,,
2020-05-26,8,22,24,24,21,24,24,13,23,24,16,5,1,0,0,0,0,1,0,0,4,0,14,1,0,21,1,0,1614335854,12543.53317923286753587552,0.936905643277,0.936905643277,12556.24455625339504342336,,12556.24455625339504342336,13401.82402181853793899026,0.04305239,380.37377473520970625312,0.999932070123,33.045157119954,,33.045157119954,,1,8835.137253360608,,,,,,,,0,1.41973269,1.41973269,0.0512527,1.41973269,1.41973269,1.41973269,1.41973269,1.41973269,1.41973269,1.4171906,1.41973269,1.41973269,99.8987644995,1.42115775,1.42117142,1.42117142,1.42107488,1.42117142,1.42117142,1.41468135,1.42117043,1.41807595,1.37535185,1.1987001,1.1987001,0,0,0,0,0,0,1.42107488,1.41588015,1.3646126,0,1.1987001,0,1.1987001,0,1.42117142,1.29855015,1.1987001,1.42117142,1.42117142,3,0.000034722222,3,0.04300695,379.9723060984170002256,0.01433565,126.6574353661390000752,0.01073925,94.882747748152909464,1.075533069755,,,,
2020-05-27,35,32,35,35,23,34,35,9,33,35,27,14,4,0,0,1,0,3,0,0,12,1,26,3,0,32,4,0,1614335854,256447.62704697249003775994,1.034473242735,1.034473242735,256697.44241805152347692478,,256697.44241805152347692478,248143.14359574568797348154,26.58525426,243761.72334612400057695858,0.999670161036,1.044136202586,,1.044136202586,,1,9169.057439216833,,,,,,,,0.000000043001,27.96881018,27.96881018,26.60100962,27.96881018,27.96881018,27.96881018,27.96881018,27.96881018,27.96881018,27.91878952,27.96881018,27.96881018,99.902681005,27.99595912,27.99605566,27.99605566,27.98682147,27.99605467,27.99605566,27.82847967,27.99604199,27.9927412,27.9239567,27.54741254,27.32676888,23.02262733,0,0,0,0,0,27.99595912,27.99166818,27.9025781,23.02262733,27.32676888,0,27.54741254,0,27.99605566,27.32676888,23.02262733,27.99605566,27.99605566,44,0.000509259259,51,26.812647230000003,245846.702549328138213994907650499,0.52657687,4828.21356719301517245271,0.00125874,11.54145936103979637042,1.01385486994,,,,
2020-05-28,30,42,45,47,30,44,46,11,43,47,36,20,7,0,0,1,0,4,0,0,20,1,35,4,0,42,6,0,1614335854,285993.0670523978590028869,1.073633722526,1.073633722526,286277.08607469858675796265,,286277.08607469858675796265,266643.15778122076055328344,2.18081841,20866.64160074478016090335,0.99946555894,7.529280520773,,7.529280520773,,1,9568.261853009935,,,,,,,,0.000000051254,29.88976174,29.88976174,2.43307727,29.88976174,29.88976174,29.88976174,29.88976174,29.88976174,29.88976174,28.6909651,29.88976174,29.88976174,99.9007887686,29.91934846,29.919445,29.91944519,29.90345501,29.91944401,29.91944518,29.65228564,29.91943133,29.91514059,29.82389695,29.41865679,28.84621441,23.02262733,0,0,0,0,0,29.91934846,29.91414059,29.82389695,23.02262733,28.84621441,0,29.31865679,0,29.91944519,28.84621441,23.02262733,29.91944519,29.91944519,50,0.000578703704,52,3.9737455800000006,38021.838246680844643294411805961,0.08677533,830.28907982134860290355,0.00964035,92.24139315466432687725,1.09949412969,,,,
2020-05-29,64,44,49,51,31,48,50,15,47,51,39,25,9,0,0,2,0,5,0,0,25,2,38,4,0,46,9,0,1614335854,373811.6833329061459766776,1.000836991497,1.000836991497,374185.6565440536079240534,,374185.6565440536079240534,373872.72824969576885713525,9.85756066,92980.5866044863254586884,0.999468116274,1.997191500742,,1.997191500742,,1,9432.41333343074,,,,,,,,0.000000060135,39.63054524,39.63054524,38.24631852,39.63054524,39.63054524,39.63054524,39.63054524,39.63054524,39.63054524,38.4317486,39.63054524,39.63054524,99.9000567754,39.66971578,39.67019272,39.67019291,39.64909298,39.67019173,39.6701929,39.40472529,39.67017905,39.66634716,39.59606137,38.96540166,37.60297766,32.65866612,0,0,0,0,0,39.67009618,39.66534716,39.59606137,32.65866612,36.57280767,0,38.96540166,0,39.67019291,37.60297766,19.62262733,39.67019291,39.67019291,85,0.000983796296,99,19.86298905,187355.922757008787553397,0.26637663,2512.5744765263468596062,0.06,565.9448000058444,1.494006868947,,,,
2020-05-30,37,41,48,50,28,47,49,14,46,50,38,24,7,0,0,2,0,5,0,0,24,2,37,5,0,45,7,0,1614335854,462861.4457490731481401225,1.015386668523,1.015386668523,463324.7016800421770147875,,463324.7016800421770147875,456303.70778271149269682825,8.14398128,78928.86449186836920868,0.999430610136,3.568182380563,,3.568182380563,,1,9691.68049117475,,,,,,,,0.000000054985,47.75863651,47.75863651,46.30745184,47.75863651,47.75863651,47.75863651,47.75863651,47.75863651,47.75863651,46.54525447,47.75863651,47.75863651,99.9000148429,47.80505962,47.80643566,47.80643585,47.77921535,47.80643467,47.80643584,47.50156507,47.80642199,47.8025901,47.73994466,46.96354205,46.04080322,41.08320498,0,0,0,0,0,47.80633912,47.8015901,47.73994466,41.08320498,46.04080322,0,46.96354205,0,47.80643585,46.04080322,21.46057765,47.80643585,47.80643585,54,0.000625,56,13.39797991,129848.9405148982327992725,0.39353383,3814.0041428282805667925,0.14021144,1358.88447768751898914,1.700721545005,,,,
