time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-07-01,,,,,,36323281.1638993
2025-07-02,,,,,,78151103.3204008
2025-07-03,,,,,,25129805.4858702
2025-07-04,,,,,,15390714.7785224
2025-07-05,,,,,,9685154.68759852
2025-07-06,,,,,,7947748.3290358
2025-07-07,,,,,,10940690.4233313
2025-07-08,,,,,,11876483.6613483
2025-07-09,,,,,,14588536.6658371
2025-07-10,,,,,,26551447.6023059
2025-07-11,,,,,,326055639.169388
2025-07-12,,,,,,72727766.645964
2025-07-13,,,,,,39969326.5331214
2025-07-14,,,,,,34540390.7355519
2025-07-15,,,,,,22827906.2496258
2025-07-16,,,,,,28399840.6461465
2025-07-17,,,,,,26395159.0883169
2025-07-18,,,,,,29910933.4059604
2025-07-19,,,,,,11219486.80373
2025-07-20,,,,,,26901307.62921
2025-07-21,,,,,,68816305.3876465
2025-07-22,,,,,,130492706.530586
2025-07-23,,,,,,168289148.289483
2025-07-24,,,,,,84511345.9758414
2025-07-25,,,,,,126431671.581513
2025-07-26,,,,,,46027421.6878063
2025-07-27,,,,,,67936397.5489516
2025-07-28,,,,,,79191207.0322131
2025-07-29,,,,,,61044106.0219534
2025-07-30,,,,,,55442974.3833583
2025-07-31,,,,,,44917685.9529112
2025-08-01,,,,,,42174882.7456548
2025-08-02,,,,,,23040178.1285684
2025-08-03,,,,,,25256042.4691722
2025-08-04,,,,,,25188113.6460039
2025-08-05,,,,,,23789929.41333
2025-08-06,,,,,,13185136.3666696
2025-08-07,,,,,,17938497.0680361
2025-08-08,,,,,,19168824.6427614
2025-08-09,,,,,,35969494.8122451
2025-08-10,,,,,,22174165.7092264
2025-08-11,,,,,,35930442.7540892
2025-08-12,,,,,,29223820.3339612
2025-08-13,,,,,,35896604.6850455
2025-08-14,,,,,,34589650.9892563
2025-08-15,,,,,,17978369.5025682
2025-08-16,,,,,,8560241.22147822
2025-08-17,,,,,,15990356.3500126
2025-08-18,,,,,,28915218.7089011
2025-08-19,,,,,,21835143.726395
2025-08-20,,,,,,17248208.0902967
2025-08-21,,,,,,11166898.5313192
2025-08-22,,,,,,18676854.2665217
2025-08-23,,,,,,9967419.67323197
2025-08-24,,,,,,14784027.0796712
2025-08-25,,,,,,14975666.1502519
2025-08-26,,,,,,34476603.8797972
2025-08-27,,,,,,17243681.1191119
2025-08-28,,,,,,9082132.24614352
2025-08-29,,,,,,11122759.1002483
2025-08-30,,,,,,5167447.76290717
2025-08-31,,,,,,8354382.91084472
2025-09-01,,,,,,12403909.772875
2025-09-02,,,,,,13133219.3233295
2025-09-03,,,,,,18534076.8756408
2025-09-04,,,,,,10572780.8462666
2025-09-05,,,,,,10062397.7881109
2025-09-06,,,,,,11433892.8774865
2025-09-07,,,,,,5900879.37848817
2025-09-08,,,,,,14355128.9362082
2025-09-09,,,,,,10895060.672614
2025-09-10,,,,,,8118987.70710166
2025-09-11,,,,,,8197551.97102309
2025-09-12,,,,,,7531407.43732372
2025-09-13,,,,,,10317458.7677553
2025-09-14,,,,,,8362070.48212721
2025-09-15,,,,,,11914925.855175
2025-09-16,,,,,,7373018.8773993
2025-09-17,,,,,,8654995.80298457
2025-09-18,,,,,,13005162.1090877
2025-09-19,,,,,,41173298.2598889
2025-09-20,,,,,,13256984.9145652
2025-09-21,,,,,,15466033.8056384
2025-09-22,,,,,,25065490.4958145
2025-09-23,,,,,,16903474.2975314
2025-09-24,,,,,,12748281.2857237
2025-09-25,,,,,,15205589.3499705
2025-09-26,,,,,,9451283.9576636
2025-09-27,,,,,,6898570.31004037
2025-09-28,,,,,,5334085.84269967
2025-09-29,,,,,,8958994.3389227
2025-09-30,,,,,,11428582.6136898
2025-10-01,,,,,,11410278.0348728
2025-10-02,,,,,,14003393.9776831
2025-10-03,,,,,,12611446.175277
2025-10-04,,,,,,9080293.62849111
2025-10-05,,,,,,8309294.90103932
2025-10-06,,,,,,11911195.8681544
2025-10-07,,,,,,19324328.2900638
2025-10-08,,,,,,16042147.5493752
2025-10-09,,,,,,14765284.9456118
2025-10-10,,,,,,29673801.8221228
2025-10-11,,,,,,17561837.7792441
2025-10-12,,,,,,9659814.87575855
2025-10-13,,,,,,14891356.0821622
2025-10-14,,,,,,11008751.3209548
2025-10-15,,,,,,7776074.06143553
2025-10-16,,,,,,11735454.0259051
2025-10-17,,,,,,9352218.3469944
2025-10-18,,,,,,6698705.40899992
2025-10-19,,,,,,4786611.64337983
2025-10-20,,,,,,7401682.69645339
2025-10-21,,,,,,5994882.82605849
2025-10-22,,,,,,6797818.45577682
2025-10-23,,,,,,2782221.73935811
2025-10-24,0.0563590814175966,0.000000512071612850683,0.0000146155816450882,0.0485125863689742,0.0563590814175966,4290837.59081427
2025-10-25,0.0576321938097848,0.00000051909230643319,0.0000146537507137154,0.0495641646611912,0.0576321938097848,5552570.23747065
2025-10-26,0.061412080665315,0.000000550215795759959,0.0000155276258769584,0.0527959843050461,0.061412080665315,3995038.30689221
2025-10-27,0.0620380367382823,0.000000541546848592303,0.0000148905743067649,0.0532924528306248,0.0620380367382823,4075981.92496237
2025-10-28,0.0591715118813355,0.000000518649018276298,0.0000143658015755676,0.0507737839717874,0.0591715118813355,5590494.38570753
2025-10-29,0.0573797395234293,0.000000507872111889062,0.0000144012161043362,0.0492705599236917,0.0573797395234293,14897932.3818245
2025-10-30,0.0561852339141821,0.000000509818489973219,0.0000143959710541723,0.0484243072332485,0.0561852339141821,
