time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-04-22,,,,,,4861360.67359676
2025-04-23,,,,,,8822259.75571354
2025-04-24,,,,,,4075907.33100649
2025-04-25,,,,,,2162796.86748339
2025-04-26,,,,,,3079358.85581182
2025-04-27,,,,,,3100751.33123373
2025-04-28,,,,,,4781696.4779948
2025-04-29,,,,,,4800033.03794418
2025-04-30,,,,,,5192552.06262168
2025-05-01,,,,,,4445653.16457863
2025-05-02,,,,,,4507012.9681958
2025-05-03,,,,,,7656437.24571137
2025-05-04,,,,,,5219344.19222485
2025-05-05,,,,,,3656906.42628855
2025-05-06,,,,,,4360133.90097667
2025-05-07,,,,,,3747429.54409811
2025-05-08,,,,,,3930951.42946531
2025-05-09,,,,,,3713126.5604402
2025-05-10,,,,,,6617558.23287322
2025-05-11,,,,,,4844938.62218103
2025-05-12,,,,,,2838144.84707523
2025-05-13,,,,,,2265408.26255339
2025-05-14,,,,,,2751038.9783112
2025-05-15,,,,,,2051737.11466029
2025-05-16,,,,,,1245089.15884176
2025-05-17,,,,,,885543.458755723
2025-05-18,,,,,,1380728.82733298
2025-05-19,,,,,,1785486.95972334
2025-05-20,,,,,,821708.145419477
2025-05-21,,,,,,865456.701860874
2025-05-22,,,,,,1035987.82768675
2025-05-23,,,,,,1656452.63939224
2025-05-24,,,,,,676279.998986654
2025-05-25,,,,,,598585.020657204
2025-05-26,,,,,,699294.424251159
2025-05-27,,,,,,362963.648614959
2025-05-28,,,,,,709059.18445917
2025-05-29,,,,,,499734.452886429
2025-05-30,,,,,,668941.762500177
2025-05-31,,,,,,684415.999935552
2025-06-01,,,,,,470544.002651804
2025-06-02,,,,,,449413.542582995
2025-06-03,,,,,,442882.163054454
2025-06-04,,,,,,412561.290145617
2025-06-05,,,,,,1069258.73706984
2025-06-06,,,,,,2475823.84605304
2025-06-07,,,,,,528832.261658754
2025-06-08,,,,,,456890.219264616
2025-06-09,,,,,,407272.658146229
2025-06-10,,,,,,386094.827593667
2025-06-11,,,,,,310963.605652272
2025-06-12,,,,,,296125.989864303
2025-06-13,,,,,,487470.085681554
2025-06-14,,,,,,323377.581989292
2025-06-15,,,,,,500433.570673716
2025-06-16,,,,,,249245.896873773
2025-06-17,,,,,,350972.670712078
2025-06-18,,,,,,467346.418537213
2025-06-19,,,,,,349602.354881693
2025-06-20,,,,,,241835.290349483
2025-06-21,,,,,,676856.233136654
