time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-12,,,,,,,215677.166018177
2025-11-13,139786084.758028436,,,,,,198011.575879827
2025-11-14,80278766.6997197,,,,,,628209.374949616
2025-11-15,90329254.43364676,,,,,,922766.92187809
2025-11-16,80356492.136533536,,,,,,441378.32246045
2025-11-17,77113359.242802484,,,,,,506650.559062243
2025-11-18,75354059.309686948,,,,,,250400.386365172
2025-11-19,72707424.474619648,,,,,,217681.042964805
2025-11-20,67674334.66761534,,,,,,187474.813848273
2025-11-21,67462434.145612968,,,,,,150286.913250081
2025-11-22,68145096.671213408,,,,,,166708.37891216
2025-11-23,71083908.664615616,,,,,,117984.346138898
2025-11-24,74733109.74775772,,,,,,81272.9827535439
2025-11-25,70912182.975741604,,,,,,105219.61973251
2025-11-26,75400692.815054376,,,,,,131103.987695071
2025-11-27,69910806.951473432,,,,,,92939.0284850039
2025-11-28,77773148.625822104,,,,,,317603.87889143
2025-11-29,68974224.959234,,,,,,300619.158586921
2025-11-30,77490466.744465964,,,,,,482392.931341711
2025-12-01,74116540.009261008,,,,,,150317.188566108
2025-12-02,78587979.021485864,,,,,,254237.705375707
2025-12-03,76234895.590763532,,,,,,191771.738262018
2025-12-04,89215096.069343468,,,,,,241389.254126622
2025-12-05,88895172.891378532,,,,,,261404.775976317
2025-12-06,82905960.350452372,,,,,,88627.1346271124
2025-12-07,82134664.231414592,,,,,,98745.9470445532
2025-12-08,84039729.603633076,,,,,,121245.915890181
2025-12-09,103034019.83589428,,,,,,329658.017766051
2025-12-10,122715689.751509932,,,,,,357181.318292487
2025-12-11,126770976.45461788,,,,,,252712.449987168
2025-12-12,133365748.512640476,,,,,,636902.479449669
2025-12-13,161702558.914061256,,,,,,599458.13883315
2025-12-14,113474624.006219644,,,,,,794005.306433234
2025-12-15,85037800.918053368,,,,,,545711.029229727
2025-12-16,54883841.463032652,,,,,,839133.674143865
2025-12-17,54823846.969614352,,,,,,1651686.44402258
2025-12-18,65888928.061997544,,,,,,1473551.5439238
2025-12-19,72517222.547371112,,,,,,920824.125296144
2025-12-20,81365796.979061756,,,,,,575436.751200548
2025-12-21,88036676.845623716,,,,,,412579.59019601
2025-12-22,109928826.642302556,,,,,,746951.294329474
2025-12-23,93655199.888108208,5.60861360419911,0.0000633924576949242,0.00186657241922721,4.76898149969743,5.60861360419911,399202.230220695
2025-12-24,67665717.354791164,4.77832652490348,0.0000546932086246162,0.0016125260590566,4.05208312821097,4.77832652490348,458833.65795868
2025-12-25,71149001.986110272,3.45233251810159,0.0000393986429660686,0.00117158027355897,2.93178085714766,3.45233251810159,654067.422228215
2025-12-26,75904128.585016396,3.63005112174032,0.0000416140871831693,0.00124949508750095,3.08164441207997,3.63005112174032,402085.304997937
2025-12-27,80127201.490483336,3.87265962168451,0.0000443426821457385,0.00132349508579624,3.29082156070613,3.87265962168451,239093.316734009
2025-12-28,88478204.380512772,4.08812252502466,0.0000466172887455083,0.00138942831012109,3.47120807293072,4.08812252502466,519034.896857175
2025-12-29,,4.51419410104657,0.0000514451856491189,0.00153226895602971,3.83225724242652,4.51419410104657,
