time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD
2025-12-13,103517228.0737776985423143591951,,,,,
2025-12-14,103313592.568710518171926826386,,,,,
2025-12-15,104487261.3786872238624320579176,,,,,
2025-12-16,106374029.578140105171516117821,,,,,
2025-12-17,109006817.7801460940838118083532,,,,,
2025-12-18,113637532.9004641144597623507846,,,,,
2025-12-19,115052365.592118003353047592,,,,,
2025-12-20,119159088.2957070983804582679536,,,,,
2025-12-21,122415023.8766352272437550509672,,,,,
2025-12-22,123462925.9408864089372047565308,,,,,
2025-12-23,127288826.915832259612585198488,,,,,
2025-12-24,131962094.419738703034733881569,,,,,
2025-12-25,143474311.51005006576487209023,,,,,
2025-12-26,143634249.228245452166986382263,,,,,
2025-12-27,143584282.692050276683726382263,,,,,
2025-12-28,143684186.529898344675251833082,,,,,
2025-12-29,145346992.109097368372955772488,,,,,
2025-12-30,145530183.291454228892643468755,,,,,
2025-12-31,145521779.544402670946643468755,,,,,
2026-01-01,146243285.832104059547723299992,,,,,
2026-01-02,145641684.589159722959758684536,,,,,
2026-01-03,145659863.264865756698637416772,,,,,
2026-01-04,145634248.349768044089131970726,,,,,
2026-01-05,145994705.28942360763139825584,,,,,
2026-01-06,147769847.855930536976471646408,,,,,
2026-01-07,155069980.607007180477869216598,,,,,
2026-01-08,154979629.803237141189375687585,,,,,
2026-01-09,154453674.115920292097191009494,,,,,
2026-01-10,154726371.117867647961939210834,,,,,
2026-01-11,153346326.50970339054369519344,,,,,
2026-01-12,153337920.49722236858627511118,,,,,
2026-01-13,153822782.239720923381356253756,,,,,
2026-01-14,157881989.791566782580585901428,,,,,
2026-01-15,163958065.060553348894550534447,,,,,
2026-01-16,175415142.835791843144419698744,,,,,
2026-01-17,183414032.513150593689800317338,,,,,
2026-01-18,183659336.37261917337896792007,,,,,
2026-01-19,184937875.7255714326597076361,,,,,
2026-01-20,185646761.77889508067145010504,,,,,
2026-01-21,185256779.770731879861896017194,,,,,
2026-01-22,186501597.860940240227384382688,,,,,
2026-01-23,184932210.934476246785200438264,,,,,
2026-01-24,180084882.175273368791054739984,,,,,
2026-01-25,180091391.020942815958963310458,,,,,
2026-01-26,179597211.397206343713104255826,,,,,
2026-01-27,177556960.956233932419674088816,,,,,
2026-01-28,182299295.793229268901879255395,,,,,
2026-01-29,179583991.874871096253914092569,,,,,
