time,volume_reported_spot_usd_1d
2025-01-16,150.679338000608
2025-01-17,4875.73042358703
2025-01-18,14.86875
2025-01-19,100.944736353938
2025-01-20,325.650980099709
2025-01-21,65.3972063405761
2025-01-22,8473.04359526433
2025-01-23,11639.1618694044
2025-01-24,6348.31898105567
2025-01-25,24714.7392468106
2025-01-26,18884.4560630697
2025-01-27,11132.7464583758
2025-01-28,55009.8140405571
2025-01-29,9679.60715074731
2025-01-30,3560.26018616107
2025-01-31,24036.8475995883
2025-02-01,22987.274301008
2025-02-02,20686.6539030692
2025-02-03,60138.4802226461
2025-02-04,35483.8691358342
2025-02-05,63229.936047364
2025-02-06,3588.43624824088
2025-02-07,3655.7122500753
2025-02-08,9801.90655703208
2025-02-09,50650.9073194753
2025-02-10,61845.7524460375
2025-02-11,32659.8830597494
2025-02-12,13091.9032083773
2025-02-13,21007.1749242609
2025-02-14,3274.43943672986
2025-02-15,5316.07850043657
2025-02-16,5501.26723434638
2025-02-17,17695.9849052466
2025-02-18,39195.8131902264
2025-02-19,43238.8505325392
2025-02-20,6489.71447605663
2025-02-21,40761.4251980388
2025-02-22,1700.93674959868
2025-02-23,1383.07118108595
2025-02-24,51573.7164156449
2025-02-25,25159.0270538651
2025-02-26,12764.8767673305
2025-02-27,6966.065719607
2025-02-28,7990.62315714285
2025-03-01,4924.92579541028
2025-03-02,23364.3359775624
2025-03-03,32733.3987711569
2025-03-04,1510.81841518617
2025-03-05,522325.627280181
2025-03-06,25286.4008098933
2025-03-07,799696.800085152
2025-03-08,1042.70781423284
2025-03-09,504760.661869291
2025-03-10,3644905.3384621
2025-03-11,158171.552589186
2025-03-12,1208587.79911937
2025-03-13,2754613.04737785
2025-03-14,242201.209845533
2025-03-15,840.864065241032
2025-03-16,2955.72443062505
2025-03-17,2219690.28578945
2025-03-18,1216815.90903093
2025-03-19,2699.14604570179
2025-03-20,52452.5309721229
2025-03-21,604889.854025841
2025-03-22,11822.7095631777
2025-03-23,32443.6464044788
2025-03-24,3105.00282006751
2025-03-25,58114.6395631611
2025-03-26,2007810.89111999
2025-03-27,1114.32612853956
2025-03-28,157323.915674521
2025-03-29,163728.157686393
2025-03-30,11186.7535929782
2025-03-31,14487.6168926894
2025-04-01,8103.0402043877
2025-04-02,9206.35811331399
2025-04-03,5097.5719734542
2025-04-04,4581.97176250164
2025-04-05,27030.5314983468
2025-04-06,54222.9292623387
2025-04-07,3839.68974164025
2025-04-08,16554.1694400374
2025-04-09,109261.029302804
2025-04-10,35817.4659885938
2025-04-11,59684.2400524616
2025-04-12,9499.30939020212
2025-04-13,5528.93361755302
2025-04-14,794.788570301733
2025-04-15,6361.46277350355
2025-04-16,3143.53336456946
2025-04-17,3504941.16947769
2025-04-18,374641.746455496
2025-04-19,6276.92633602882
2025-04-20,72531.1681252647
2025-04-21,7840.79014056887
2025-04-22,18843793.6966024
2025-04-23,66156589.1460377
2025-04-24,45679974.9296928
2025-04-25,44085416.8801343
2025-04-26,271936.956071447
2025-04-27,71767.7891026213
2025-04-28,494465.817183644
2025-04-29,471914.799745449
2025-04-30,1905244.82565507
2025-05-01,2547159.08061963
2025-05-02,5126454.06847296
2025-05-03,68232.6865686088
2025-05-04,50052.9788458308
2025-05-05,261391.951135132
