time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-04-16,,,,,,406.51306792
2026-04-17,,,,,,265.64830994
2026-04-18,,,,,,0
2026-04-19,,,,,,0
2026-04-20,,,,,,503.77397612
2026-04-21,,,,,,111.69420444
2026-04-22,,,,,,0
2026-04-23,,,,,,0
2026-04-24,,,,,,263.70590128
2026-04-25,,,,,,0
2026-04-26,,,,,,0
2026-04-27,,,,,,624.36097267
2026-04-28,,,,,,0
2026-04-29,,,,,,671.01178964
2026-04-30,,,,,,93.06840378
2026-05-01,,,,,,132.0545612
2026-05-02,,,,,,0
2026-05-03,26.8,0.000340479425918892,0.0115571479941418,22.8595829220928,26.8,0
2026-05-04,26.8,0.000340753740683559,0.0115217346736655,22.8423872276787,26.8,265.36490129
2026-05-05,26.57,0.000332848496896395,0.0113188801022081,22.7270562045147,26.57,67.28344832
2026-05-06,26.12,0.00032272111794445,0.0110647757882189,22.2954178380942,26.12,155.55121389
2026-05-07,27.63,0.000339582486298548,0.0117645714014688,23.5183942000441,27.63,117.41769135
2026-05-08,27.63,0.000345422501058627,0.0120640382950497,23.5575400993119,27.63,461.24574945
2026-05-09,27.41,0.000341857136329501,0.011884506505203,23.2643946076535,27.41,
