time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2021-05-16,8825212050.5565626389244707437106970406560067747,,,,,,,
2021-05-17,8223870650.4562723547209141810273052279027011116,,,,,,,
2021-05-18,7763834229.086537920124438476237339608820798993,,,,,,,
2021-05-19,4720110316.47940115252721756639603032872341918654,,,,,,,
2021-05-20,4763344985.28068408009934880973171436638109317598,,,,,,,
2021-05-21,4051346901.053039731058419652777241623517855659,,,,,,,
2021-05-22,4240780450.16639565941038144379410476864210261852,,,,,,,
2021-05-23,4022351194.68909390407466280787867135883808577306,,,,,,,
2021-05-24,5230357573.332013265994992509163217318571085202,,,,,,,
2021-05-25,4702741512.95830276223624843206751499714198603414,,,,,,,
2021-05-26,4701780377.2986020011904930801890073362161572811,,,,,,,
2021-05-27,4374292891.59757000973878057872748367307494734324,,,,,,,
2021-05-28,3951460315.18506631272183922127092116774437137362,,,,,,,
2021-05-29,3963506846.50306707346568018076707678784979903206,,,,,,,
2021-05-30,3902136360.88728565098211694992695995366918560304,,,,,,,
2021-05-31,4686231977.42554787479501972912508012920758389414,,,,,,,
2021-06-01,4430627688.17224013553369567123153551720980082132,,,,,,,
2021-06-02,4711903573.54246809957669416383720835817155105342,,,,,,,
2021-06-03,4880676260.91994329430542105102303303711319711114,,,,,,,
2021-06-04,4376597551.78642134609565300486472794728955243178,,,,,,,
2021-06-05,4162915044.36784432026885963573057550184374885374,,,,,,,
2021-06-06,4238288123.14128094791284146882364566557430059634,,,,,,,
2021-06-07,3845242254.79956632092386675391839529727683951222,,,,,,,
2021-06-08,3631730360.59660547286684503710039286558856570846,,,,,,,
2021-06-09,3666557565.03081281210087881167315234508285599558,,,,,,,
2021-06-10,3416152169.77491432679717744416923078715555010944,,,,,,,
2021-06-11,3057564527.9173806453177577244218302450313759106,,,,,,,
2021-06-12,3141579246.05972416014878466886349892390132669974,,,,,,,
2021-06-13,3399768094.35476492955022069831024307453837911728,,,,,,,
2021-06-14,3550100578.84929330809885333890656667544802208254,,,,,,,
2021-06-15,4519803672.72115344577112638686904041300915323028,,,,,,,
2021-06-16,4111705391.41587372979898351340340311638548744324,,,,,,,
2021-06-17,3950903596.68120188176768175231826412497248355256,,,,,,,
2021-06-18,3581708252.99993799424979954254471614468491071988,,,,,,,
2021-06-19,3786785565.06636148631818131031035289531552671156,,,,,,,
2021-06-20,3875973672.75862839210504221090970110044933009984,,,,,,,
2021-06-21,3105688508.94638679811726651612531241787331387302,,,,,,,
2021-06-22,3136448407.27506083594548110774382358642339959468,,,,,,,
2021-06-23,3400692030.71948050531040568990423245372125765526,,,,,,,
2021-06-24,3591741913.8459921912085620914386329429722720229,,,,,,,
2021-06-25,3529275901.25445994841202152312919373689322708512,,,,,,,
2021-06-26,3711244027.63144494578853832475659991229188682244,,,,,,,
2021-06-27,3856902133.58651949674197583093591067997730883802,,,,,,,
2021-06-28,4007747223.33909279003920396618537903211190335456,,,,,,,
2021-06-29,4460725788.17542253501770525326523925226741789938,,,,,,,
2021-06-30,4404346179.5581111689413460239691843217566297583,,,,,,,
2021-07-01,4202358090.24693386008473679140684000366617766644,,,,,,,
2021-07-02,4150950343.00570495387245456798492964080895038824,,,,,,,
2021-07-03,4353166476.71132364353610594355519926512014501422,,,,,,,
2021-07-04,4363921120.945707742910314676803220490774276483,,,,,,,
2021-07-05,4184648052.54199037380617713966159390220343159734,,,,,,,
2021-07-06,4346897370.14987590272235585409608533982407069952,,,,,,,
2021-07-07,4265985479.64909949142278542418045063281168902548,,,,,,,
2021-07-08,3976904319.14751408540591765184618806489314128974,,,,,,,
2021-07-09,3971152516.65645354037124833162550285355586998342,,,,,,,
2021-07-10,3827899479.96860018007577926057144316983883843368,,,,,,,
2021-07-11,3912010929.48388535282073547361253214245397092914,,,,,,,
2021-07-12,3770031750.01163868275132023021094107724630579052,,,,,,,
2021-07-13,3533236337.11488246333621414200998445249226088186,,,,,,,
2021-07-14,3582869973.91444623559824178216255792876954678562,,,,,,,
2021-07-15,3435350114.67345227612554290548307160081015879176,,,,,,,
2021-07-16,3309674080.34828547806178780048048540612004600366,,,,,,,
2021-07-17,3401638885.84398282318241146427307666664491472056,,,,,,,
2021-07-18,3314000298.94066469050320035694711902798212313646,,,,,,,
2021-07-19,3144601149.18160348253234754904393293888234556908,,,,,,,
2021-07-20,2935671554.9653042093426461049033926562806659169,,,,,,,
2021-07-21,3251096234.6943254458739903724200107973685808635,,,,,,,
2021-07-22,3254110924.0964036154051622645091425553789844678,,,,,,,
2021-07-23,3228203936.29394960502507083177385079528858876868,,,,,,,
2021-07-24,3228942435.19882661305387324608299393644549438936,,,,,,,
2021-07-25,3162998417.2272852789845574426988985889588305338,,,,,,,
2021-07-26,3182898322.15373133374979917095311270280271958134,,,,,,,
2021-07-27,3127779958.77198459980118098882052354145099876816,,,,,,,
2021-07-28,3138682687.74032589645877178596850364425628073138,,,,,,,
2021-07-29,3138822145.75241670754184977747424210776109203152,,,,,,,
2021-07-30,3130486631.3890754335789895980181793634020375634,,,,,,,
2021-07-31,3117077309.40595645445713874790414945656892934052,,,,,,,
2021-08-01,3135607994.25897943979852128626769312004780711642,,,,,,,
2021-08-02,3169907942.21966387735729996413281720670498917556,,,,,,,
2021-08-03,3085206341.50339347595362936421816900547082302886,,,,,,,
2021-08-04,3123295942.26809175697056344832916535571978263552,,,,,,,
2021-08-05,3104362624.93163877091125780961381237826415224496,,,,,,,
2021-08-06,3136957942.0281147244209889793130189236121077516,,,,,,,
2021-08-07,3834528767.11569030290786226468795210881622161594,,,,,,,
2021-08-08,3672627103.46400763980231956108487831514301818616,,,,,,,
2021-08-09,3803190533.38332491766245963583550298853098786246,,,,,,,
2021-08-10,3764514277.35065544668486690434716450430588713398,,,,,,,
2021-08-11,3883178168.74569181978203560635273896694877861378,,,,,,,
2021-08-12,3810253160.25618555230524061881356384601510807988,,,,,,,
2021-08-13,4051263407.41383753956219192543013235293684391124,,,,,,,
2021-08-14,4042289057.35806886062078918908951586784229280462,,,,,,,
2021-08-15,4269387281.98397163346536566726440600691777456676,,,,,,,
2021-08-16,4500621287.16752917548336453182448643191130494216,,,,,,,
2021-08-17,4040370800.4672672028512301842821802863155105342,,,,,,,
2021-08-18,4036327440.11883683009763493294925261382353335472,,,,,,,
2021-08-19,4134003245.9302721064474944159631612402984146015,,,,,,,
2021-08-20,4220469846.70599014098268661045352370898889645042,,,,,,,
2021-08-21,4054766269.6058736676162805806318654893347654606,,,,,,,
2021-08-22,4080401458.36005886168724911888568838310421019712,,,,,,,
2021-08-23,4084956727.61452711472473111474619438764939890634,,,,,,,
2021-08-24,3762135001.15190286545046878803775712159115269606,,,,,,,
2021-08-25,3742937160.07719753409352751682100379199070955686,,,,,,,
2021-08-26,3507666480.92947411371128500085715104915676854378,,,,,,,
2021-08-27,3704476083.11965895940481349143931797811431318384,,,,,,,
2021-08-28,3597364562.65115176378845826098840918881209814926,,,,,,,
2021-08-29,3562561748.3240248173683918176599407357635854074,,,,,,,
2021-08-30,3377572274.39347584431828981586075153422622888736,,,,,,,
2021-08-31,3415950663.3137804907904931362697414706891311777,,,,,,,
2021-09-01,3570875230.14492687563549865315891393353322000786,,,,,,,
2021-09-02,3533483620.3552351589998455450228659902299049957,,,,,,,
2021-09-03,3511102308.1924015139897006936710939938646291244,,,,,,,
2021-09-04,3697300728.34297655488569636393043957415230425298,,,,,,,
2021-09-05,3734441950.10315267828400603940211225817238349972,,,,,,,
2021-09-06,3593382240.46712921688217022111418435750700320668,,,,,,,
2021-09-07,2960018130.92683352656133008055829882489497023996,,,,,,,
2021-09-08,3369521120.23592783437009927058846516265715659192,,,,,,,
2021-09-09,3654279231.5185183045598485509910127680081673511,,,,,,,
2021-09-10,3480211978.07042459368434621477096603206792598894,,,,,,,
2021-09-11,3367716954.56962842469653284065272663376296244824,,,,,,,
2021-09-12,3433181376.30895412139949108513733450546394917156,,,,,,,
2021-09-13,3238772053.34253345585269122701132887039587568562,,,,,,,
2021-09-14,3311623605.51237519357035666906889408466428914798,,,,,,,
2021-09-15,3370832354.7958863279368091553735599720984146015,,,,,,,
2021-09-16,4410584198.86932615289480495363959966232857829596,,,,,,,
2021-09-17,4172916935.0517536304622080654647020935225618126,,,,,,,
2021-09-18,3894856810.62285483735327292068191388470202151836,,,,,,,
2021-09-19,4063249727.23648406407823012014767387298521749036,,,,,,,
2021-09-20,3473490457.540738310079566858497132599595180867,,,,,,,
2021-09-21,3399242000.57735568742898244553700748781599472578,,,,,,,
2021-09-22,3604915868.38353337212156813969893910290468978362,,,,,,,
2021-09-23,3804738415.60041082627104641546561485846136218396,,,,,,,
2021-09-24,3669288249.18263251495152693415523478573365612772,,,,,,,
2021-09-25,3648703102.91895412421317810657120144639639308314,,,,,,,
2021-09-26,3529326795.89721948055878425194188395592401786172,,,,,,,
2021-09-27,3485561524.35886822330487720643141597051646405158,,,,,,,
2021-09-28,3490800208.23529062147123015987234672041014079774,,,,,,,
2021-09-29,3487442342.33943184922357762368152286542518200614,,,,,,,
2021-09-30,3584967358.13415532534595238765855611737979968218,,,,,,,
2021-10-01,3814576383.78303872500109812578550339882819024782,,,,,,,
2021-10-02,3971097355.05525572465569800545335237799818910868,,,,,,,
2021-10-03,4262788791.79586585249217545096926290237266712612,,,,,,,
2021-10-04,6807496102.4675256174807127225806019572797962078,,,,,,,
2021-10-05,8610389223.9918741319508446100854845911340773818,,,,,,,
2021-10-06,14174194691.347983647998860998294312760431833845,,,,,,,
2021-10-07,11094353575.4921969601662865265808262013892972074,,,,,,,
2021-10-08,13608419305.3493969648133571691942640326781478718,,,,,,,
2021-10-09,13298729410.6883532610959769233817536588749770748,,,,,,,
2021-10-10,13059492301.6566054259784251183856011192054029424,,,,,,,
2021-10-11,15126966812.675131180976903912564780587398351664,,,,,,,
2021-10-12,14472936977.3984796483156934491842411783093979074,,,,,,,
2021-10-13,14435809185.3841419381503375388013107539170329952,,,,,,,
2021-10-14,13632612346.594736052763851597575299398092834238,,,,,,,
2021-10-15,12661338509.2686914408913450697457405564813186688,,,,,,,
2021-10-16,12745502750.3314678375437478712053893258710965934,,,,,,,
2021-10-17,13786370634.6465467733413891221743920777227907798,,,,,,,
2021-10-18,14178387296.5826814533352286415727252951361836522,,,,,,,
2021-10-19,13970435095.0941031484733460333800940810266826526,,,,,,,
2021-10-20,14457123328.6100776490014338926070689832797962078,,,,,,,
2021-10-21,13714871334.0245633032282565923343550681276099128,,,,,,,
2021-10-22,13880691670.9752006938390282779366459537606341594,,,,,,,
2021-10-23,16875716055.669944992250587754583666361196829203,,,,,,,
2021-10-24,17805066604.2049878321153346181354686899201007,,,,,,,
2021-10-25,20893120281.0101760495542655150754134899626373376,,,,,,,
2021-10-26,23655649614.971305932363489643513113442907165762,,,,,,,
2021-10-27,40962574791.7662947848640298045913262355492444652,,,,,,,
2021-10-28,33811904532.931422847539370094408894848358402014,,,,,,,
2021-10-29,41151165680.0546804367032213909552735811805277828,,,,,,,
2021-10-30,35730879117.9108197354273491664180910280512718404,,,,,,,
2021-10-31,36798964733.440140465495180453543852338105995968,,,,,,,
2021-11-01,39195886133.716177475736337604968117559769264664,,,,,,,
2021-11-02,37901121336.920184648978628681076316119438003264,,,,,,,
2021-11-03,30432380040.817095667233285331030987947104752808,,,,,,,
2021-11-04,27096101518.924736413301036077865518589203616198,,,,,,,
2021-11-05,34739104228.4672611416910862726745336990231367158,,,,,,,
2021-11-06,32118789964.265818304529893029114839393137043171,,,,,,,
2021-11-07,31245446890.4409125330397569072944379623693241564,,,,,,,
2021-11-08,30239858326.9563441840312287303188534319734216624,,,,,,,
2021-11-09,30188206651.6554732279342292168988206140476178962,,,,,,,
2021-11-10,27698979374.576947075016687456667901611042786906,,,,,,,
2021-11-11,30889359515.52340429716703654693070824442301389,,,,,,,
2021-11-12,28658577077.2801215529819343807991902183500151604,,,,,,,
2021-11-13,28360065773.4495806708788143002601115979337743286,,,,,,,
2021-11-14,29160369615.9780719611693538557593333774474236894,,,,,,,
2021-11-15,29452795253.3297382423617673705567054189095951978,,,,,,,
2021-11-16,26731111005.3188874042163931977407636697087922736,,,,,,,
2021-11-17,26344240228.1802459717074116464866042158519591698,,,,,,,
2021-11-18,23187144568.106662101232130615713877421444237645,,,,,,,
2021-11-19,26684949716.6127651867260155785829343404587826774,,,,,,,
2021-11-20,26159584747.8033952077478275453200503356529339566,,,,,,,
2021-11-21,24328862563.3276743687086659787783347817014429878,,,,,,,
2021-11-22,23754656227.3556567340629587987552827974126338436,,,,,,,
2021-11-23,22912627116.0522071460865588990326471230097094832,,,,,,,
2021-11-24,20729667319.8666752490958784401619746870024753518,,,,,,,
2021-11-25,23413453657.2585652902971579488585060170193421968,,,,,,,
