time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetCompletionTime,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2020-07-31,398,309,317,317,237,317,317,73,316,317,317,317,317,317,317,317,317,317,317,317,,,,,,,,,1733879790,1733879790,,,,,,,1000000000000000,,0.995956749633285398,0.572326142056294635,,0.572326142056294635,,,,,,0,505000000000000,505000000000000,505000000000000,505000000000000,505000000000000,505000000000000,505000000000000,505000000000000,505000000000000,505000000000000,505000000000000,505000000000000,50.5,999966366946128.804533376052668026,1000000000000000,1000000000000000,995956749633285.397738647910066118,1000000000000000,1000000000000000,932449643391001.109263944580369167,999999900000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,,,,,,,,,954570719598633.32657995025301703,869911068889891.416112772900955289,601266604206494.131744698455215149,1000000000000000,1000000000000000,921,0.010659722222222222,929,1747255500870758.56378713766961767,,2066354102278.273719509669677939,,531688430153.9662,,1.919642961017,,
2020-08-01,1182,727,793,796,431,792,794,86,782,803,800,799,799,796,796,797,796,797,796,794,,,,,,,,,1733879793,1733879793,,,,,,,0,,0.986816236941432234,0.489138566543473819,,0.489138566543473819,,,,,,0.000000058953650682,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,100,999708179198864.859010024955346439,999999994705977.295420586743233587,999999999999957.040927952838295637,986816236941432.233683598454599558,999999960290015.037450688442979914,999999999705977.295420586743233587,870346890198664.273490757311665933,999996467864142.274099337290504018,999999999999999.99981368323509911,999999999999999.990637500281103558,999999999999999.990637500281103558,999999999999998.764106634770088218,999999999999998.764106634770088218,999999999999957.040927952838295637,999999999999957.040927952838295637,999999999999957.040927952838295637,999999999999957.040927952838295637,999999999705977.295420586743233587,,,,,,,,,882994162137960.984370365437612937,864318257405598.859596983712103494,673579744478583.337247096834558443,1000000000000000,1000000000000000,3092,0.035787037037037037,3126,2044410456256921.768966649412386007,,723694095367.988749973733933416,,211861885899.17044,,4.181910703137,,
2020-08-02,334,660,730,735,389,729,733,77,719,744,742,741,741,736,735,737,735,738,736,733,,,,,,,,,1733879795,1733879795,,,,,,,0,,0.988166900160640333,1.731687617871065678,,1.731687617871065678,,,,,,0.000000061223074475,1000000000000000,1000000000000000,437196174248570.269308437489063337,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,100,999701677788768.363063314896474631,999999992701955.027933281734750695,999999999995935.477549446628505579,988166900160640.332911458361954138,999999958285992.769963383434497022,999999999701955.732042080533443529,884501937673750.209245496758471774,999996163179813.751130417822222905,999999999999999.999834784315358681,999999999999999.990658601361363129,999999999999999.990658601361363129,999999999999998.092649046412739939,999999999999994.811155563344733742,999999999999953.087976881412941161,999999999995935.477549446628505579,999999999995935.477549446628505579,999999999999953.087976881412941161,999999999701955.732042080533443529,,,,,,,,,904783540472709.913699138577817738,881497123938564.061965690827409493,681344535332812.522861370117994775,1000000000000000,1000000000000000,564,0.006527777777777778,569,577471357813020.915293484596503785,,1047416307473.343275043044546825,,420841503689.94824,,4.777890582089,,
2020-08-03,218,599,670,678,345,668,675,69,658,688,686,685,685,681,678,682,678,683,680,675,,,,,,,,,1733879797,1733879797,,,,,,,0,,0.989000470237318577,2.826396974014372952,,2.826396974014372952,,,,,,0.000000086478362088,1000000000000000,1000000000000000,291498872229059.040536076841870859,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,100,999703800518736.517711427649502512,999999981566121.92410529355325983,999999999992831.368114288171415316,989000470237318.576900695925163475,999999937150159.666135395253006157,999999998704169.376533337831218912,902788605031751.925072330013031855,999996142043980.64730242964073204,999999999999999.999834784315358681,999999999999999.990658601361363129,999999999999999.990658601361363129,999999999999998.764127735850347789,999999999999996.764127735850347789,999999999999955.040949053918555208,999999999992831.368114288171415316,999999999992831.368114288171415316,999999999999155.040949053918555208,999999998704169.376533337831218912,,,,,,,,,927207815228373.156536579231753145,901788605031751.925072330013031855,726769550399414.507813283013925713,1000000000000000,1000000000000000,365,0.004224537037037037,366,353807341712401.205032046182235337,,1113898478933.990697513465633443,,576886971642.6387,,5.185577425379,,
2020-08-04,91,572,643,651,327,641,648,67,631,662,659,658,658,654,651,655,651,656,653,648,,,,,,,,,1733879800,1733879800,,,,,,,0,,0.989279103946206918,9.432710975700216486,,9.432710975700216486,,,,,,0.000000086531723031,1000000000000000,1000000000000000,224491032972099.075652713044236674,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,100,999706104964592.638379733955791798,999999981566121.924028058089985256,999999999992831.368037052708140742,989279103946206.91768968773032675,999999937150159.666058159789731583,999999998704169.376456102367944338,906411841914088.010722918661009364,999996142043980.647225194177457466,999999999999999.999757548852084107,999999999999999.990581365898088555,999999999999999.990581365898088555,999999999999998.764050500387073215,999999999999996.764050500387073215,999999999999955.040871818455280634,999999999992831.368037052708140742,999999999992831.368037052708140742,999999999999155.040871818455280634,999999998704169.376456102367944338,,,,,,,,,932052536973347.596034413009771428,905411841914088.010722918661009364,726321378244520.071101912623129566,1000000000000000,1000000000000000,104,0.001203703703703704,108,106014061342080.631963806361327765,,1079403026414.019047220087050935,,352586051530.66235,,5.302152952232,,
2020-08-05,92,568,639,647,324,637,644,75,628,659,656,655,655,650,647,652,647,653,649,644,,,,,,,,,1733879804,1733879804,,,,,,,0,,0.989502279274559013,8.123824629858736701,,8.123824629858736701,,,,,,0.000000088730670458,1000000000000000,1000000000000000,199261051655553.198867176303463985,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,100,999699959206776.256421195147193588,999999981566110.829374301939569836,999999999992820.273383296557725322,989502279274559.013198340608173904,999999937150148.571404403639316163,999999998704158.281802346217528918,909104475452886.397381636183195376,999996679207645.756882758657013542,999999999999999.999757548852084107,999999999999999.990581365898088555,999999999999999.990581365898088555,999999999999998.764050500387073215,999999999999996.764050500387073215,999999999999943.946218062304865214,999999999992820.273383296557725322,999999999992820.273383296557725322,999999999999143.946218062304865214,999999998704158.281802346217528918,,,,,,,,,929778089152647.878453960845031721,898958448756183.289468650606108041,708321610831055.008248409152788241,1000000000000000,1000000000000000,114,0.001319444444444444,113,123094730076341.981253284340631013,,1137636335423.436861206237286469,,408558084438.89465,,5.430705858135,,
2020-08-06,57,547,621,630,304,619,626,72,610,642,639,638,638,633,630,635,630,636,632,626,,,,,,,,,1733879808,1733879808,,,,,,,0,,0.989753748983872496,29.931354622957854081,,29.931354622957854081,,,,,,0.000000087130849125,1000000000000000,1000000000000000,198078997865385.35205856542523198,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,100,999692465203218.590950773881072538,999999981410711.04358094946620715,999999999992820.273383296557725322,989753748983872.496486288476777044,999999936994748.785611051165953477,999999998548758.496008993744166232,917560947853238.308641638480820646,999996679052245.971089406183650856,999999999999999.999757548852084107,999999999999999.990581365898088555,999999999999999.990581365898088555,999999999999998.764050500387073215,999999999999996.764050500387073215,999999999999943.946218062304865214,999999999992820.273383296557725322,999999999992820.273383296557725322,999999999999143.946218062304865214,999999998548758.496008993744166232,,,,,,,,,939237039505981.797234621828551172,909488532718488.166578295256466058,723110721941120.676992341716205526,1000000000000000,1000000000000000,63,0.000729166666666667,63,33409780900226.384181276257663349,,530313982543.275939385337423228,,238462540922.84552,,5.464115639035,,
2020-08-07,49,538,616,625,298,613,621,73,603,637,634,633,633,628,625,630,625,631,627,621,,,,,,,,,1733879815,1733879815,,,,,,,0,,0.989901048513620892,16.543358348392876334,,16.543358348392876334,,,,,,0.000000156683436465,1000000000000000,1000000000000000,160271824362251.207711407535241579,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,100,999679779033369.008169056291543707,999999981410711.04358094946620715,999999999992820.273383296557725322,989901048513620.892016550137808763,999999886994748.785611051165953477,999999998548758.496008993744166232,922821295610722.912715630675080935,999996479052245.971089406183650856,999999999999999.999757548852084107,999999999999999.990581365898088555,999999999999999.990581365898088555,999999999999998.764050500387073215,999999999999996.764050500387073215,999999999999943.946218062304865214,999999999992820.273383296557725322,999999999992820.273383296557725322,999999999999143.946218062304865214,999999998548758.496008993744166232,,,,,,,,,942801167582648.788332790939250245,912640374868950.638339564408095067,721232912451101.65349653621520914,1000000000000000,1000000000000000,55,0.000636574074074074,55,60447218692880.82946606323159673,,1269656880366.410515572950959378,,318238636215.042,,5.533946767455,,
2020-08-08,36,534,612,622,296,609,618,75,599,634,631,630,630,625,622,627,622,628,624,618,,,,,,,,,1733879822,1733879822,,,,,,,0,,0.989936038177552875,27.022205022156805718,,27.022205022156805718,,,,,,0.000000165171492588,1000000000000000,1000000000000000,155236829108873.881942845533561819,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,450859321752758.366046210028122537,1000000000000000,1000000000000000,100,999679774033369.008169056291543707,999999976410711.04358094946620715,999999999992820.273383296557725322,989936038177552.875382488894099187,999999881994748.785611051165953477,999999998548758.496008993744166232,925227355957317.537804377372403239,999996474052245.971089406183650856,999999999999999.999757548852084107,999999999999999.990581365898088555,999999999999999.990581365898088555,999999999999998.764050500387073215,999999999999996.764050500387073215,999999999999943.946218062304865214,999999999992820.273383296557725322,999999999992820.273383296557725322,999999999999143.946218062304865214,999999998548758.496008993744166232,,,,,,,,,943847428346009.070083460225954821,912915942032672.627221831338295373,714440787363562.193450796681257847,1000000000000000,1000000000000000,39,0.000451388888888889,39,37006602502647.430069544948614521,,1341390170562.031490123586069381,,532343400590.7633,,5.586260984107,,
2020-08-09,33,523,603,613,287,600,609,73,589,625,622,621,621,616,613,618,613,619,615,609,,,,,,,,,1733879830,1733879830,,,,,,,0,,0.990042722101177473,18.742337567570450353,,18.742337567570450353,,,,,,0.000000163523254295,1000000000000000,1000000000000000,180420027737309.91928316045083665,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,1000000000000000,291179172514754.444262759485007116,1000000000000000,1000000000000000,100,999677021570135.149071000974785116,999999976410711.04358094946620715,999999999992820.273383296557725322,990042722101177.473306864559687118,999999881994748.785611051165953477,999999998548758.496008993744166232,926835375562640.559204654421110084,999995721589012.111991350866892265,999999999999999.999757548852084107,999999999999999.990581365898088555,999999999999999.990581365898088555,999999999999998.764050500387073215,999999999999996.764050500387073215,999999999999943.946218062304865214,999999999992820.273383296557725322,999999999992820.273383296557725322,999999999999143.946218062304865214,999999998548758.496008993744166232,,,,,,,,,946787808904702.842248957678170609,915584625467957.39168398461976591,721642017971711.639448675907726316,1000000000000000,1000000000000000,34,0.000393518518518519,34,53355137607289.876369761949183183,,1693967701303.144255320824966182,,315119218009.02386,,5.643855885951,,
