time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-04-22,,,,,,843826.870872662
2025-04-23,,,,,,3239616.09915619
2025-04-24,,,,,,2864756.37619375
2025-04-25,,,,,,3530046.73472382
2025-04-26,,,,,,2570486.58659416
2025-04-27,,,,,,1995693.80642298
2025-04-28,,,,,,2667960.28045457
2025-04-29,,,,,,2611278.87022618
2025-04-30,,,,,,3190534.26273975
2025-05-01,,,,,,3749017.70416413
2025-05-02,,,,,,2953512.50605349
2025-05-03,,,,,,2098016.43255472
2025-05-04,,,,,,2284279.79381346
2025-05-05,,,,,,3276231.20189164
2025-05-06,,,,,,3010921.70166878
2025-05-07,,,,,,2909735.23083029
2025-05-08,,,,,,4388302.89963034
2025-05-09,,,,,,5245602.55213315
2025-05-10,,,,,,3546936.37067504
2025-05-11,,,,,,4141952.32034829
2025-05-12,,,,,,6138493.18536874
2025-05-13,,,,,,10007460.8928242
2025-05-14,,,,,,28491377.9791819
2025-05-15,,,,,,10029535.725184
2025-05-16,,,,,,8167803.71392524
2025-05-17,,,,,,5388713.13260386
2025-05-18,,,,,,6989059.27630598
2025-05-19,,,,,,10952697.3312541
2025-05-20,,,,,,8432428.25973026
2025-05-21,,,,,,10723907.3907774
2025-05-22,,,,,,9401340.02171524
2025-05-23,,,,,,8846057.43856157
2025-05-24,,,,,,6385891.97967162
2025-05-25,,,,,,5109181.28899817
2025-05-26,,,,,,4554689.82494045
2025-05-27,,,,,,5718291.72327676
2025-05-28,,,,,,4916657.98856418
2025-05-29,,,,,,6496445.22454268
2025-05-30,,,,,,7233210.71994594
2025-05-31,,,,,,4560432.82424205
2025-06-01,,,,,,3165803.58432311
2025-06-02,,,,,,3658228.56685201
2025-06-03,,,,,,10004728.3454655
2025-06-04,,,,,,10491086.4035748
2025-06-05,,,,,,11798101.3892121
2025-06-06,,,,,,12188999.4554471
2025-06-07,,,,,,7978302.959946
2025-06-08,,,,,,7474831.51329053
2025-06-09,,,,,,11574342.2681365
2025-06-10,,,,,,12065781.5993592
2025-06-11,,,,,,10399770.4042681
2025-06-12,,,,,,6971833.31820496
2025-06-13,,,,,,5670823.62382582
2025-06-14,,,,,,2496833.73133921
2025-06-15,,,,,,2263299.09885315
2025-06-16,,,,,,3877227.37055669
2025-06-17,,,,,,4999693.62580948
2025-06-18,,,,,,4209635.03593697
2025-06-19,,,,,,2398242.72031247
2025-06-20,,,,,,3998106.43236513
2025-06-21,,,,,,3153391.5914025
2025-06-22,,,,,,6550055.60037609
2025-06-23,,,,,,6221110.31177251
2025-06-24,,,,,,4186713.99401572
2025-06-25,,,,,,4378811.47527921
2025-06-26,,,,,,3312999.71056275
2025-06-27,,,,,,3617734.29976069
2025-06-28,,,,,,1238603.20029975
2025-06-29,,,,,,2110323.7235422
2025-06-30,,,,,,2902843.98148932
2025-07-01,,,,,,2958233.31801106
2025-07-02,,,,,,7230590.26479765
2025-07-03,,,,,,5837457.08188167
2025-07-04,,,,,,6453386.10584132
2025-07-05,,,,,,2095510.78012148
2025-07-06,,,,,,2716660.3433684
2025-07-07,,,,,,3580611.4164607
2025-07-08,,,,,,4076249.91951486
2025-07-09,,,,,,5070520.03256823
2025-07-10,,,,,,6562344.82689128
