time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-23,,,,,,1317419.3659802
2026-01-24,,,,,,58939.0888219983
2026-01-25,,,,,,48515.2661299544
2026-01-26,,,,,,1380207.03681261
2026-01-27,,,,,,1068666.9664899
2026-01-28,,,,,,1908005.43679083
2026-01-29,,,,,,3212989.02292349
2026-01-30,,,,,,11041902.5703385
2026-01-31,,,,,,78639.7823848642
2026-02-01,,,,,,55062.1919682159
2026-02-02,,,,,,1449694.70186149
2026-02-03,,,,,,1232863.68234681
2026-02-04,,,,,,895992.781652924
2026-02-05,,,,,,1180897.01063482
2026-02-09,,,,,,734171.727510901
2026-02-10,,,,,,468287.045112099
2026-02-11,,,,,,617168.874902568
2026-02-12,,,,,,430062.292014476
2026-02-13,,,,,,422237.907090054
2026-02-14,19.6234536207201,0.000284972609819977,0.00957936805616317,16.545046773752,19.6234536207201,56974.0335861646
2026-02-15,19.6190626073759,0.000281083130842868,0.00940222942583498,16.5652122532929,19.6190626073759,56394.3716099868
2026-02-16,19.6168801658826,0.000285835518084697,0.0100071720670555,16.5441047674999,19.6168801658826,57829.9128214731
2026-02-17,19.6211319233837,0.000285408918296127,0.00982829632458109,16.5643671976257,19.6211319233837,136257.518568192
2026-02-18,19.481044714302,0.000288731900124084,0.00977752689058381,16.4437245341469,19.481044714302,93716.8089694247
2026-02-19,19.5857665751001,0.000295052093774289,0.0100343396990276,16.6235382955415,19.5857665751001,76176.0034367537
2026-02-20,19.2418002476982,0.000287481309289581,0.00987842335033839,16.3522284346741,19.2418002476982,
