time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2021-02-24,150330303.70739727,,,,,,,
2021-02-25,127483965.245869785,,,,,,,
2021-02-26,121384336.444036365,,,,,,,
2021-02-27,124906590.873042015,,,,,,,
2021-02-28,124869866.733124245,,,,,,,
2021-03-01,129039081.65367204,,,,,,,
2021-03-02,112703736.700863495,,,,,,,
2021-03-03,125725765.24246224,,,,,,,
2021-03-04,131921356.124810805,,,,,,,
2021-03-05,121388331.19829064,,,,,,,
2021-03-06,128380931.74612455,,,,,,,
2021-03-07,127447226.45789109,,,,,,,
2021-03-08,118276503.59927631,,,,,,,
2021-03-09,119812452.419082255,,,,,,,
2021-03-10,118621032.03168735,,,,,,,
2021-03-11,128495258.609267445,,,,,,,
2021-03-12,170525303.2145673,,,,,,,
2021-03-13,193609627.99500666,,,,,,,
2021-03-14,179563452.01930473,,,,,,,
2021-03-15,175670850.02559957,,,,,,,
2021-03-16,200320724.280222075,,,,,,,
2021-03-17,213872150.377995255,,,,,,,
2021-03-18,286223506.879979565,,,,,,,
2021-03-19,294979321.608969975,,,,,,,
2021-03-20,311588992.83023829,,,,,,,
2021-03-21,333632459.25530769,,,,,,,
2021-03-22,296630729.36470674,,,,,,,
2021-03-23,302817965.75064354,,,,,,,
2021-03-24,260738963.717147175,,,,,,,
2021-03-25,276482101.643256772255,,,,,,,
2021-03-26,318232362.82280996205,,,,,,,
2021-03-27,347634983.5491981676425,,,,,,,
2021-03-28,344433908.1044010858275,,,,,,,
2021-03-29,365443819.3865716382725,,,,,,,
2021-03-30,435196943.329354431385,,,,,,,
2021-03-31,366896180.044128770725,,,,,,,
2021-04-01,332631980.3920076426175,,,,,,,
2021-04-02,320083274.5577252421625,,,,,,,
2021-04-03,278721027.232535313725,,,,,,,
2021-04-04,320026859.98934643326,,,,,,,
2021-04-05,284365089.1272669387875,,,,,,,
2021-04-06,264440875.85203624259,,,,,,,
2021-04-07,249984269.9567716456375,,,,,,,
2021-04-08,281796749.5895656525475,,,,,,,
2021-04-09,271536002.218494959605,,,,,,,
2021-04-10,303779606.6810230346975,,,,,,,
2021-04-11,302894912.5703987662025,,,,,,,
2021-04-12,288343136.331947586025,,,,,,,
2021-04-13,269714807.47411803343,,,,,,,
2021-04-14,264137297.9727042664925,,,,,,,
