time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-09-23,,,,,,4380486.53558801
2025-09-24,,,,,,6751974.95165061
2025-09-25,,,,,,9157619.50989119
2025-09-26,,,,,,7037216.09910741
2025-09-27,,,,,,6859503.56560372
2025-09-28,,,,,,5521676.65322298
2025-09-29,,,,,,7905723.48162645
2025-09-30,,,,,,7900427.0884178
2025-10-01,,,,,,7152213.40597883
2025-10-02,,,,,,7405542.70937196
2025-10-03,,,,,,5973488.01349687
2025-10-04,,,,,,2537912.45860392
2025-10-05,,,,,,4096316.17523552
2025-10-06,,,,,,4190332.09550601
2025-10-07,,,,,,4242827.90721448
2025-10-08,,,,,,3784796.66435484
2025-10-09,,,,,,5416578.30086252
2025-10-10,,,,,,11339879.8463499
2025-10-11,,,,,,5585288.28979598
2025-10-12,,,,,,4312120.70296979
2025-10-13,,,,,,4685668.83571396
2025-10-14,,,,,,5305830.11713473
2025-10-15,,,,,,3573974.91370807
2025-10-16,,,,,,4222839.00224776
2025-10-17,,,,,,5357041.74731341
2025-10-18,,,,,,2525175.08511996
2025-10-19,,,,,,2771966.25853169
2025-10-20,,,,,,3547073.5993004
2025-10-21,,,,,,4695210.85872846
2025-10-22,,,,,,3648167.99555157
2025-10-23,,,,,,2419251.83847372
2025-10-24,,,,,,2166476.75765278
2025-10-25,,,,,,2979866.98299904
2025-10-26,,,,,,3071176.88063497
2025-10-27,,,,,,5253837.0296683
2025-10-28,,,,,,9232808.59956252
2025-10-29,,,,,,5295313.34091635
2025-10-30,,,,,,6027110.96803461
2025-10-31,,,,,,5087046.3972227
2025-11-01,,,,,,5263466.95125167
2025-11-02,,,,,,4498515.68938106
2025-11-03,0.162482910779452,0.0000014719099056566,0.0000417375478957141,0.140874816637352,0.162482910779452,3566214.38563058
2025-11-04,0.133368625095689,0.00000125233691471221,0.000037091307176055,0.115758106108329,0.133368625095689,4676226.12530325
2025-11-05,0.116440378962321,0.00000114889670306109,0.0000354706892940602,0.101392085720089,0.116440378962321,9455254.5588366
2025-11-06,0.127379189487695,0.00000122579131904093,0.0000371582786557527,0.110834920453707,0.127379189487695,9032394.60025395
2025-11-07,0.150381565258331,0.00000148537364439505,0.0000455195903372891,0.130236520603342,0.150381565258331,9861485.48595831
2025-11-08,0.161005389094804,0.00000155668343905101,0.0000468302256951517,0.139154358831106,0.161005389094804,6738504.53068599
2025-11-09,0.208059178219346,0.00000203311804007317,0.0000610985836973986,0.179826592633438,0.208059178219346,
