time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-07-15,,,,,,26806174.3083316
2025-07-16,,,,,,13442290.9139003
2025-07-17,,,,,,6566539.37832688
2025-07-18,,,,,,17075524.1247608
2025-07-19,,,,,,7884627.23667283
2025-07-20,,,,,,6103402.75199803
2025-07-21,,,,,,6246926.31376233
2025-07-22,,,,,,4030252.99662199
2025-07-23,,,,,,5596531.95779034
2025-07-24,,,,,,6510473.54550765
2025-07-25,,,,,,22683490.3414454
2025-07-26,,,,,,9747197.62739384
2025-07-27,,,,,,8936453.5211096
2025-07-28,,,,,,12418329.3329611
2025-07-29,,,,,,55156404.7429886
2025-07-30,,,,,,80219152.222667
2025-07-31,,,,,,9364727.58777785
2025-08-01,,,,,,5605681.43238193
2025-08-02,,,,,,2752499.22205683
2025-08-03,,,,,,1622836.83444112
2025-08-04,,,,,,4261514.01282146
2025-08-05,,,,,,1804004.89296975
2025-08-06,,,,,,2511314.0562485
2025-08-07,,,,,,3694658.8998426
2025-08-08,,,,,,4172367.45371058
2025-08-09,,,,,,5458512.3347332
2025-08-10,,,,,,4945220.7447558
2025-08-11,,,,,,2591869.79213789
2025-08-12,,,,,,4339432.84784728
2025-08-13,,,,,,2201703.81133803
2025-08-14,,,,,,2834450.37528513
2025-08-15,,,,,,4472589.73716188
2025-08-16,,,,,,2657353.48516085
2025-08-17,,,,,,1513468.76906529
2025-08-18,,,,,,2183445.41825716
2025-08-19,,,,,,1811169.13144682
2025-08-20,,,,,,1558181.33736748
2025-08-21,,,,,,1110495.67173992
2025-08-22,,,,,,1364177.7727092
2025-08-23,,,,,,1511156.10428303
2025-08-24,,,,,,1116022.55839728
2025-08-25,,,,,,1078569.76181208
2025-08-26,,,,,,584951.128622989
2025-08-27,,,,,,737714.574502453
2025-08-28,,,,,,423120.756142217
2025-08-29,,,,,,658426.842931752
2025-08-30,,,,,,349764.646793137
2025-08-31,,,,,,452590.018058449
2025-09-01,,,,,,1226094.8320915
2025-09-02,,,,,,751447.964054763
2025-09-03,,,,,,620063.449776998
2025-09-04,,,,,,655157.845304612
2025-09-05,,,,,,828364.390188758
2025-09-06,,,,,,484214.568171485
2025-09-07,,,,,,1767946.55105469
2025-09-08,,,,,,930455.960146469
2025-09-09,,,,,,589416.131409621
2025-09-10,,,,,,556596.766682889
2025-09-11,,,,,,1451553.83236888
2025-09-12,,,,,,529329.690717436
2025-09-13,,,,,,479598.41635803
2025-09-14,,,,,,436087.632101137
2025-09-15,,,,,,1066946.60120082
2025-09-16,,,,,,471706.933646296
2025-09-17,,,,,,639726.135456833
2025-09-18,,,,,,760364.264412563
2025-09-19,,,,,,1098734.44209141
2025-09-20,,,,,,498056.169636204
2025-09-21,,,,,,348581.137955535
2025-09-22,,,,,,741315.340502188
2025-09-23,,,,,,354051.850873068
2025-09-24,,,,,,394910.116002975
2025-09-25,,,,,,540708.602377232
2025-09-26,,,,,,444793.597459078
2025-09-27,,,,,,374242.342242364
2025-09-28,,,,,,201701.369655874
2025-09-29,,,,,,310389.210435572
2025-09-30,,,,,,503545.151973279
2025-10-01,,,,,,377195.919857048
2025-10-02,,,,,,789440.154906531
2025-10-03,,,,,,396739.960066348
2025-10-04,,,,,,388079.088924419
2025-10-05,,,,,,448379.735882041
2025-10-06,,,,,,555125.142581787
2025-10-07,,,,,,310200.309476712
2025-10-08,,,,,,347892.224643033
2025-10-09,,,,,,862533.190372689
2025-10-10,,,,,,1190500.48506588
2025-10-11,,,,,,480550.306910426
2025-10-12,,,,,,208227.585886043
2025-10-13,,,,,,348283.767204062
2025-10-14,,,,,,339215.04171525
2025-10-15,,,,,,387118.10999463
2025-10-16,,,,,,370587.705792263
2025-10-17,,,,,,395086.893069192
2025-10-18,,,,,,2372890.17069495
2025-10-19,,,,,,506235.392611145
2025-10-20,,,,,,446967.24439082
2025-10-21,,,,,,423341.591969159
2025-10-22,,,,,,371137.962141884
2025-10-23,,,,,,343815.926877538
2025-10-24,,,,,,1372513.62852579
2025-10-25,,,,,,451881.276863701
2025-10-26,,,,,,653935.228331226
2025-10-27,,,,,,863417.432597241
2025-10-28,,,,,,564421.830769572
2025-10-29,,,,,,340340.665069231
2025-10-30,,,,,,472547.247797929
2025-10-31,,,,,,1812745.81446514
2025-11-01,,,,,,1092401.00905785
2025-11-02,,,,,,379653.331368469
2025-11-03,,,,,,348657.089799184
2025-11-04,,,,,,612329.809067974
2025-11-05,,,,,,304130.444519978
2025-11-06,,,,,,367206.280214405
2025-11-07,,,,,,591117.939281241
2025-11-08,,,,,,352220.658801556
