time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-08-25,,,,,,607663.814069346
2025-08-26,,,,,,1526991.98550453
2025-08-27,,,,,,352918.001996948
2025-08-28,,,,,,201506.447187783
2025-08-29,,,,,,175577.499679203
2025-08-30,,,,,,130612.104668945
2025-08-31,,,,,,102854.833888047
2025-09-01,,,,,,129337.489785583
2025-09-02,,,,,,140050.515368693
2025-09-03,,,,,,5445711.4784771
2025-09-04,,,,,,4465535.55654912
2025-09-05,,,,,,1117306.99051799
2025-09-06,,,,,,800438.081951296
2025-09-07,,,,,,1652311.78788542
2025-09-08,,,,,,825460.742054604
2025-09-09,,,,,,501088.610257698
2025-09-10,,,,,,519345.725298516
2025-09-11,,,,,,412375.494054702
2025-09-12,,,,,,587418.577896343
2025-09-13,,,,,,877156.097151942
2025-09-14,,,,,,396336.197751044
2025-09-15,,,,,,421921.252633823
2025-09-16,,,,,,987716.937257973
2025-09-17,,,,,,227195.835379563
2025-09-18,,,,,,113434.774336857
2025-09-19,,,,,,121181.451928124
2025-09-20,,,,,,200768.063634307
2025-09-21,,,,,,218490.918523666
2025-09-22,,,,,,293113.290985458
2025-09-23,,,,,,214903.489024654
2025-09-24,,,,,,781332.175997997
2025-09-25,,,,,,510801.514470494
2025-09-26,,,,,,320319.49611155
2025-09-27,,,,,,214212.753566345
2025-09-28,,,,,,147772.384083619
2025-09-29,,,,,,448732.783091623
2025-09-30,,,,,,210558.144612106
2025-10-01,,,,,,208237.759073841
2025-10-02,,,,,,206808.545396189
2025-10-03,,,,,,368959.331585419
2025-10-04,,,,,,221446.897954388
2025-10-05,,,,,,4332035.08647034
2025-10-06,,,,,,2203020.8999113
2025-10-07,,,,,,1217523.40336152
2025-10-08,,,,,,3005633.65515713
2025-10-09,,,,,,2787520.32578135
2025-10-10,,,,,,1939264.94302162
2025-10-11,,,,,,888267.573066129
2025-10-12,,,,,,637252.350191814
2025-10-13,,,,,,844943.424556013
2025-10-14,,,,,,1192461.35699902
2025-10-15,,,,,,855917.805045337
2025-10-16,,,,,,780831.359504141
2025-10-17,,,,,,718077.718840566
2025-10-18,,,,,,324584.232933568
2025-10-19,,,,,,299253.802036258
2025-10-20,,,,,,215707.786113944
2025-10-21,,,,,,409326.743944681
2025-10-22,,,,,,306971.723382256
2025-10-23,,,,,,505880.037701409
2025-10-24,,,,,,443680.232090363
2025-10-25,,,,,,1254658.48246944
2025-10-26,,,,,,790583.19745368
2025-10-27,,,,,,389198.952857971
2025-10-28,,,,,,534639.523669424
2025-10-29,,,,,,543139.009547571
2025-10-30,,,,,,472877.49242407
2025-10-31,,,,,,485052.223439723
2025-11-01,,,,,,161097.088348114
2025-11-02,,,,,,382392.037067529
2025-11-03,,,,,,586135.509610111
2025-11-04,,,,,,776268.213265555
2025-11-05,,,,,,685246.79383819
2025-11-06,,,,,,1262358.70834277
2025-11-07,,,,,,410255.149124531
2025-11-08,,,,,,186383.882914055
2025-11-09,,,,,,387448.846762339
2025-11-10,,,,,,1655498.75369992
2025-11-11,,,,,,2099908.75380669
2025-11-12,,,,,,4701292.97447422
2025-11-13,,,,,,3090162.28113431
2025-11-14,,,,,,1295713.23084593
2025-11-15,,,,,,749919.987749133
2025-11-16,,,,,,518950.562689768
2025-11-17,,,,,,923535.515443646
2025-11-18,,,,,,876018.722538914
2025-11-19,,,,,,735581.977091307
2025-11-20,,,,,,587300.395581341
2025-11-21,,,,,,574652.288476935
2025-11-22,,,,,,241196.827545911
2025-11-23,,,,,,186404.215083949
2025-11-24,,,,,,789341.162690238
2025-11-25,,,,,,1130606.54648991
2025-11-26,,,,,,797945.643666036
2025-11-27,,,,,,638374.358771279
2025-11-28,,,,,,469324.764313337
2025-11-29,,,,,,714988.464240063
2025-11-30,,,,,,586092.825161852
2025-12-01,0.298321920332833,0.00000329245652686835,0.0000993541935233762,0.257286271859057,0.298321920332833,366608.606673915
2025-12-02,0.291203894577738,0.00000336633856053837,0.000103823732137795,0.250876729566497,0.291203894577738,1199397.67645715
2025-12-03,0.29213197176802,0.00000319172158588062,0.0000972677548287778,0.251223669565337,0.29213197176802,477604.018633238
2025-12-04,0.300355574392175,0.00000320861533840455,0.0000941626578351979,0.257426501899314,0.300355574392175,736592.538852524
2025-12-05,0.311105568214754,0.00000337404227060898,0.0000991893857971514,0.267232356939313,0.311105568214754,607322.98768427
2025-12-06,0.303917731427396,0.00000340410276580141,0.000100586649384432,0.261328787018929,0.303917731427396,470577.248054564
2025-12-07,0.286663573159433,0.00000321481436722946,0.0000944147581901939,0.246488817649498,0.286663573159433,
