time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-02-03,,,,,,65216050.2263561
2026-02-04,,,,,,44224503.8845405
2026-02-05,,,,,,59206145.9440885
2026-02-09,,,,,,27292660.2124603
2026-02-10,,,,,,14510573.8613924
2026-02-11,,,,,,16293705.7801143
2026-02-12,,,,,,24063395.1713274
2026-02-13,,,,,,70008217.9950202
2026-02-14,,,,,,43345076.9784794
2026-02-15,,,,,,97115286.4598066
2026-02-16,,,,,,237542676.695012
2026-02-17,,,,,,12119060.2056424
2026-02-18,,,,,,5544882.14090934
2026-02-19,,,,,,9665829.94849506
2026-02-20,,,,,,7413240.8618614
2026-02-21,,,,,,4891440.18597133
2026-02-22,,,,,,3112562.81271222
2026-02-23,,,,,,6775436.24746489
2026-02-24,,,,,,10832212.4599799
2026-02-25,,,,,,9591462.76599191
2026-02-26,,,,,,10282447.885997
2026-02-27,,,,,,6055619.94697676
2026-02-28,,,,,,3524631.14825318
2026-03-01,,,,,,3132638.50146414
2026-03-02,,,,,,4159799.85223904
2026-03-03,,,,,,4752687.09803366
2026-03-04,,,,,,4803451.27746416
2026-03-05,,,,,,11869827.2031146
2026-03-06,,,,,,9091435.1103458
2026-03-07,,,,,,12372252.7389099
2026-03-08,,,,,,4962138.23546597
2026-03-09,,,,,,14544058.5756311
2026-03-10,,,,,,8354285.05816317
2026-03-11,,,,,,8349260.79528149
2026-03-12,,,,,,10619629.9638711
2026-03-13,,,,,,9595857.70481922
2026-03-14,,,,,,5098324.16728535
2026-03-15,,,,,,5910005.04072424
2026-03-16,,,,,,11336658.7733548
2026-03-17,,,,,,9506037.57945232
2026-03-18,,,,,,5786117.13837576
2026-03-19,,,,,,13752019.6464762
2026-03-20,,,,,,11651316.3790925
2026-03-21,,,,,,5710082.76607858
2026-03-22,0.0365820709750138,0.000000524795521303974,0.0000172183608955571,0.0316348337129251,0.0365820709750138,15009033.4848135
2026-03-23,0.0477976205850185,0.000000702718585237039,0.000023223555969453,0.041361646969431,0.0477976205850185,22141265.3607413
2026-03-24,0.0427369025172107,0.000000604258334852846,0.000019894965826218,0.0368205587645356,0.0427369025172107,16086243.0357716
2026-03-25,0.0352370713276805,0.000000499037841518287,0.0000163356916702782,0.030346159955032,0.0352370713276805,10954775.3600719
2026-03-26,0.0315270743692119,0.000000442290972844664,0.0000145384422972197,0.0272739938584235,0.0315270743692119,12756335.7784053
2026-03-27,0.0270475450670557,0.00000039357356563898,0.0000131360493574979,0.0234547755350473,0.0270475450670557,9791955.8938658
2026-03-28,0.0266135027101329,0.000000401930615483575,0.000013381024864688,0.0231340036493132,0.0266135027101329,
