time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2023-06-27,,,,,,42130.1890781212
2023-06-28,,,,,,59762.4041400095
2023-06-29,,,,,,37803.22415223
2023-06-30,,,,,,101569.015029308
2023-07-01,,,,,,104378.91505901
2023-07-02,,,,,,104384.920684779
2023-07-03,,,,,,112025.227237747
2023-07-04,,,,,,107624.511630419
2023-07-05,,,,,,1393097.97573109
2023-07-06,,,,,,782623.928689612
2023-07-07,,,,,,267894.207065033
2023-07-08,,,,,,202873.420931363
2023-07-09,,,,,,137686.974325874
2023-07-10,,,,,,103620.59735587
2023-07-11,,,,,,85696.773857224
2023-07-12,,,,,,91604.7132961244
2023-07-13,,,,,,104591.714572006
2023-07-14,,,,,,103480.892217575
2023-07-15,,,,,,79745.214647874
2023-07-16,,,,,,75575.3110949257
2023-07-17,,,,,,92982.0642888467
2023-07-18,,,,,,97945.0688444556
2023-07-19,,,,,,91315.2847639735
2023-07-20,,,,,,56465.4257992937
2023-07-21,,,,,,110967.487018008
2023-07-22,,,,,,92996.2884865366
2023-07-23,,,,,,68326.9687385408
2023-07-24,,,,,,58134.6302047643
2023-07-25,,,,,,94114.3792614379
2023-07-26,,,,,,96733.4120109327
2023-07-27,,,,,,110057.27107519
2023-07-28,,,,,,520581.966156838
2023-07-29,,,,,,914052.369523323
2023-07-30,,,,,,512118.91328838
2023-07-31,,,,,,131572.954561187
2023-08-01,,,,,,144603.017146116
2023-08-02,,,,,,129471.157961416
2023-08-03,,,,,,152186.847153565
2023-08-04,,,,,,99894.3068092214
2023-08-05,,,,,,97916.7976523657
2023-08-06,,,,,,192048.343482033
2023-08-07,,,,,,148442.995655796
2023-08-08,,,,,,140370.504828184
2023-08-09,,,,,,86033.4232098501
2023-08-10,,,,,,67173.462461143
2023-08-11,,,,,,79489.9845256077
2023-08-12,,,,,,92874.7520419824
2023-08-13,,,,,,140113.66316673
2023-08-14,,,,,,83451.2916960226
2023-08-15,,,,,,65409.7633265203
2023-08-16,,,,,,72721.0689914779
2023-08-17,,,,,,62177.2769607139
2023-08-18,,,,,,84936.2060394922
2023-08-19,,,,,,88109.9356466517
2023-08-20,,,,,,98820.196912098
2023-08-21,,,,,,92027.1136401563
2023-08-22,,,,,,93604.2925219152
2023-08-23,,,,,,91143.3664083317
2023-08-24,,,,,,176118.966884365
2023-08-25,,,,,,90638.9597289445
2023-08-26,,,,,,78132.933211393
2023-08-27,,,,,,72569.8857504207
2023-08-28,,,,,,83683.6567426688
2023-08-29,,,,,,85528.5630155423
2023-08-30,,,,,,65981.928846943
2023-08-31,,,,,,62115.5772004816
2023-09-01,,,,,,75988.9692188895
2023-09-02,,,,,,103501.294365543
2023-09-03,,,,,,71256.860029831
2023-09-04,,,,,,66429.8796327473
2023-09-05,,,,,,76739.3682148084
2023-09-06,,,,,,47521.3212398419
2023-09-07,,,,,,72827.2285436704
2023-09-08,,,,,,95191.8151454183
2023-09-09,,,,,,119998.812224516
2023-09-10,,,,,,151289.675987755
2023-09-11,,,,,,48596.0155657355
2023-09-12,,,,,,100096.610184258
2023-09-13,,,,,,91141.8169569539
2023-09-14,,,,,,158685.052153893
2023-09-15,,,,,,231799.860992535
2023-09-16,,,,,,165328.675978138
2023-09-17,,,,,,185493.831024288
2023-09-18,,,,,,139064.953721654
2023-09-19,,,,,,168655.388074377
2023-09-20,,,,,,173027.102106911
2023-09-21,,,,,,141900.290003811
2023-09-22,,,,,,149742.446100932
2023-09-23,,,,,,102079.703447342
2023-09-24,,,,,,82380.6791283232
2023-09-25,,,,,,79521.1265812649
2023-09-26,,,,,,60589.3992219375
2023-09-27,,,,,,54020.7306630723
2023-09-28,,,,,,59387.8977583649
2023-09-29,,,,,,87252.7160630651
2023-09-30,,,,,,80250.5915987961
2023-10-01,,,,,,78806.143316572
2023-10-02,,,,,,47041.0348667365
2023-10-03,,,,,,51266.6232803926
2023-10-04,,,,,,56465.3245931546
2023-10-05,,,,,,59492.9484545895
2023-10-06,,,,,,72839.9432256061
2023-10-07,,,,,,51927.7278691225
2023-10-08,,,,,,119702.380829558
2023-10-09,,,,,,67300.7747590845
2023-10-10,,,,,,60960.4194449681
2023-10-11,,,,,,87780.0396642754
2023-10-12,,,,,,58541.0550268654
2023-10-13,,,,,,54578.6284235644
2023-10-14,,,,,,65165.4833745215
2023-10-15,,,,,,102504.529099941
2023-10-16,,,,,,54222.7973780891
2023-10-17,,,,,,25190.3845068219
2023-10-18,,,,,,24863.0329106226
2023-10-19,,,,,,42300.258104647
2023-10-20,,,,,,33364.0057874611
2023-10-21,,,,,,57262.8234952188
2023-10-22,,,,,,51524.052563056
2023-10-23,,,,,,50242.0571619774
2023-10-24,,,,,,71878.4228885653
2023-10-25,,,,,,45830.0620584981
2023-10-26,,,,,,64713.8363155683
2023-10-27,,,,,,122519.635843554
2023-10-28,,,,,,69797.5884378424
2023-10-29,,,,,,75539.1703846303
2023-10-30,,,,,,77061.6299483691
2023-10-31,,,,,,91533.3792137541
2023-11-01,,,,,,60244.7790792412
2023-11-02,,,,,,428728.577160088
2023-11-03,,,,,,131802.205105265
2023-11-04,,,,,,104262.411532492
2023-11-05,,,,,,145580.739953991
2023-11-06,,,,,,135181.19101098
2023-11-07,,,,,,113513.504074279
2023-11-08,,,,,,150162.510552009
2023-11-09,,,,,,99074.0750070856
2023-11-10,,,,,,106764.062813752
2023-11-11,,,,,,151023.518243531
2023-11-12,,,,,,155621.707932088
2023-11-13,,,,,,148137.949080631
2023-11-14,,,,,,158859.834545227
2023-11-15,,,,,,153823.644884109
2023-11-16,,,,,,272629.274497117
2023-11-17,,,,,,261754.613488079
2023-11-18,,,,,,191872.447423284
2023-11-19,,,,,,142160.29162271
2023-11-20,,,,,,123667.152937118
2023-11-21,,,,,,202185.425507452
2023-11-22,,,,,,180092.256629694
2023-11-23,,,,,,142815.372571425
2023-11-24,,,,,,176306.806791753
2023-11-25,,,,,,184509.473834167
2023-11-26,,,,,,187367.847710663
2023-11-27,,,,,,113198.37423799
2023-11-28,,,,,,177645.144869164
2023-11-29,,,,,,131395.471862511
2023-11-30,,,,,,167840.556886869
2023-12-01,,,,,,91295.8891413882
2023-12-02,,,,,,132915.91886437
2023-12-03,,,,,,135004.716401738
2023-12-04,,,,,,138069.383885235
2023-12-05,,,,,,172613.208877796
2023-12-06,,,,,,199499.991553721
2023-12-07,,,,,,244570.460200669
2023-12-08,,,,,,137690.510505674
2023-12-09,,,,,,183323.220945177
2023-12-10,,,,,,151197.08031075
2023-12-11,,,,,,91494.5719522655
2023-12-12,,,,,,1026707.955223
2023-12-13,,,,,,510042.98880195
2023-12-14,,,,,,171100.704822654
2023-12-15,,,,,,236981.285559833
2023-12-16,,,,,,200926.448723702
2023-12-17,,,,,,229004.214490649
2023-12-18,,,,,,190796.546919924
2023-12-19,,,,,,232465.768619765
2023-12-20,,,,,,132434.974252872
2023-12-21,,,,,,162441.435792447
2023-12-22,,,,,,209142.951095622
2023-12-23,,,,,,207989.762110428
2023-12-24,,,,,,200622.550071273
2023-12-25,,,,,,262507.805929105
2023-12-26,,,,,,317013.355774822
2023-12-27,,,,,,198783.927543131
2023-12-28,,,,,,196771.854272351
2023-12-29,,,,,,158763.615023816
2023-12-30,,,,,,151216.804580181
2023-12-31,,,,,,137025.294783871
2024-01-01,,,,,,197308.088628417
2024-01-02,,,,,,234848.088934109
2024-01-03,,,,,,156205.283593567
2024-01-04,,,,,,52443.3976545282
2024-01-05,,,,,,320845.570361809
2024-01-06,,,,,,3906696.07673055
2024-01-07,,,,,,1329563.79766156
2024-01-08,,,,,,1950221.47660375
2024-01-09,,,,,,1536368.84591942
2024-01-10,,,,,,765551.587734648
2024-01-11,,,,,,1761828.40728826
2024-01-12,,,,,,1164058.97575765
2024-01-13,,,,,,1901669.21099716
2024-01-14,,,,,,1035624.40738892
2024-01-15,,,,,,969991.024313755
2024-01-16,,,,,,713961.772423469
2024-01-17,,,,,,433709.876533794
2024-01-18,,,,,,479417.613174984
2024-01-19,,,,,,375129.696242956
2024-01-20,,,,,,238127.416068067
2024-01-21,,,,,,179583.051963883
2024-01-22,,,,,,324030.908247781
2024-01-23,,,,,,748196.783708986
2024-01-24,,,,,,883144.169526775
2024-01-25,,,,,,204434.827441777
2024-01-26,,,,,,384647.106016354
2024-01-27,,,,,,272181.75935881
2024-01-28,,,,,,173099.608364516
2024-01-29,,,,,,478697.956589521
2024-01-30,,,,,,424762.859038688
2024-01-31,,,,,,327917.971813854
2024-02-01,,,,,,232012.760162146
2024-02-02,,,,,,193309.220063591
2024-02-03,,,,,,145264.203008262
2024-02-04,,,,,,168361.271140662
2024-02-05,,,,,,478103.316784582
2024-02-06,,,,,,112360.167782929
2024-02-07,,,,,,152113.355450442
2024-02-08,,,,,,248889.09385275
2024-02-09,,,,,,362399.878432053
2024-02-10,,,,,,186611.616236758
2024-02-11,,,,,,159889.279305139
2024-02-12,,,,,,181335.294526496
2024-02-13,,,,,,208644.391828287
2024-02-14,,,,,,184739.088751292
2024-02-15,,,,,,173356.604087926
2024-02-16,,,,,,252224.389549139
2024-02-17,,,,,,134422.739694936
2024-02-18,,,,,,182893.429318467
2024-02-19,,,,,,174169.370988052
2024-02-20,,,,,,249071.465068354
2024-02-21,,,,,,265792.934772875
2024-02-22,,,,,,232364.075201569
2024-02-23,,,,,,262505.869249889
2024-02-24,,,,,,210752.791775192
2024-02-25,,,,,,245469.127426253
2024-02-26,,,,,,228863.427932772
2024-02-27,,,,,,328082.231772725
2024-02-28,,,,,,243709.571385111
2024-02-29,,,,,,247286.639270154
2024-03-01,,,,,,332701.493284257
2024-03-02,,,,,,344657.050924693
2024-03-03,,,,,,369284.235495623
2024-03-04,,,,,,352677.011891007
2024-03-05,,,,,,358679.970252018
2024-03-06,,,,,,274817.82377023
2024-03-07,,,,,,484083.016160254
2024-03-08,,,,,,374368.68151557
2024-03-09,,,,,,315307.788647361
2024-03-10,,,,,,328659.118182207
2024-03-11,,,,,,356101.761071903
2024-03-12,,,,,,393167.74250891
2024-03-13,,,,,,244123.94094326
2024-03-14,,,,,,315768.123136617
2024-03-15,,,,,,277284.036652724
2024-03-16,,,,,,1211056.46057964
2024-03-17,,,,,,233608.75464498
2024-03-18,,,,,,352648.354599475
2024-03-19,,,,,,301057.744391223
2024-03-20,,,,,,139506.986076815
2024-03-21,,,,,,958181.275864155
2024-03-22,,,,,,370992.410550967
2024-03-23,,,,,,317593.116507491
2024-03-24,,,,,,258158.317201
2024-03-25,,,,,,194850.071655975
2024-03-26,,,,,,1031287.56718926
2024-03-27,,,,,,655517.575277643
2024-03-28,,,,,,451347.005731095
2024-03-29,,,,,,472934.653057312
2024-03-30,,,,,,451379.546826916
2024-03-31,,,,,,333567.252865498
