time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2020-12-11,0,,,,,,,
2020-12-12,0,,,,,,,
2020-12-13,0,,,,,,,
2020-12-14,0,,,,,,,
2020-12-15,0,,,,,,,
2020-12-16,0,,,,,,,
2020-12-17,0,,,,,,,
2020-12-18,0,,,,,,,
2020-12-19,0,,,,,,,
2020-12-20,0,,,,,,,
2020-12-21,0,,,,,,,
2020-12-22,0,,,,,,,
2020-12-23,0,,,,,,,
2020-12-24,4049709.23231344299683848,,,,,,,
2020-12-25,4102531.7680993797760518,,,,,,,
2020-12-26,3556499.72505808120074788,,,,,,,
2020-12-27,3549834.23402814530683072,,,,,,,
2020-12-28,4337069.3053575552701749,,,,,,,
2020-12-29,3798295.443573996609006,,,,,,,
2020-12-30,4298957.7131627260080314,,,,,,,
2020-12-31,4674781.68675867434342238,,,,,,,
2021-01-01,5065192.64184385879403478,,,,,,,
2021-01-02,5071548.21783147766711018,,,,,,,
2021-01-03,6278167.5605382398705804,,,,,,,
2021-01-04,6570328.10579528243194704,,,,,,,
2021-01-05,6896984.94556720262124938,,,,,,,
2021-01-06,7536265.20102262765182146,,,,,,,
2021-01-07,9217761.4343736134263802,,,,,,,
2021-01-08,8038961.80298984724242542,,,,,,,
2021-01-09,8060501.6178729698017564,,,,,,,
2021-01-10,8271022.7451813678145149,,,,,,,
2021-01-11,7249689.5652220593305318,,,,,,,
2021-01-12,7242478.64642535767928616,,,,,,,
2021-01-13,7249190.9622400323354665,,,,,,,
2021-01-14,7621613.0774160200519788,,,,,,,
2021-01-15,7660374.99366007068806126,,,,,,,
2021-01-16,7661258.0961633465262327,,,,,,,
2021-01-17,7054353.2605845659543929,,,,,,,
2021-01-18,7668524.3032242111288368,,,,,,,
2021-01-19,8034625.94934723187017698,,,,,,,
2021-01-20,8030948.5993363942413823,,,,,,,
2021-01-21,8023468.80413823827650082,,,,,,,
2021-01-22,8038425.25203214902767484,,,,,,,
2021-01-23,8412894.77588740610846888,,,,,,,
2021-01-24,8606352.1381516578619968,,,,,,,
2021-01-25,8213246.54962045690231622,,,,,,,
2021-01-26,8224201.42979882678285616,,,,,,,
2021-01-27,8952112.3875095460563264,,,,,,,
