time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2022-06-22,291018912.669158965738904,,,,,,,
2022-06-23,299310252.840293833730876,,,,,,,
2022-06-24,302614822.977882329327056,,,,,,,
2022-06-25,312291924.889524835135446,,,,,,,
2022-06-26,287432269.998035548892788,,,,,,,
2022-06-27,279292064.857242637564566,,,,,,,
2022-06-28,254475518.128723979170546,,,,,,,
2022-06-29,241332810.339418447379088,,,,,,,
2022-06-30,268082975.891311666180856,,,,,,,
2022-07-01,254201865.564418429698426,,,,,,,
2022-07-02,257924677.221614890337882,,,,,,,
2022-07-03,255108474.742114074430148,,,,,,,
2022-07-04,270356887.59404184002936,,,,,,,
2022-07-05,259682775.953598575028242,,,,,,,
2022-07-06,263050829.323890636742248,,,,,,,
2022-07-07,280543560.868538838312282,,,,,,,
2022-07-08,271030242.317446630998144,,,,,,,
2022-07-09,277651245.761999147015782,,,,,,,
2022-07-10,271924017.758888016755808,,,,,,,
2022-07-11,294673352.967846382478758,,,,,,,
2022-07-12,261099991.175023914554692,,,,,,,
2022-07-13,277002342.748013030792694,,,,,,,
2022-07-14,279245965.275043446354188,,,,,,,
2022-07-15,278421806.132617791022076,,,,,,,
2022-07-16,282073590.542100067088406,,,,,,,
2022-07-17,278997918.535831401093312,,,,,,,
2022-07-18,287269077.03406050783326,,,,,,,
2022-07-19,290859370.630159442746054,,,,,,,
2022-07-20,280825383.695364697155526,,,,,,,
2022-07-21,288698941.8499176963465,,,,,,,
2022-07-22,303125997.394403936893952,,,,,,,
2022-07-23,300887326.941296023551934,,,,,,,
2022-07-24,303679524.48508270695144,,,,,,,
2022-07-25,316690855.672487777782418,,,,,,,
2022-07-26,329169083.361805481806282,,,,,,,
2022-07-27,336750520.62119029474912,,,,,,,
2022-07-28,339901261.122174452220874,,,,,,,
2022-07-29,339026575.109993128095842,,,,,,,
2022-07-30,329337747.618337278975736,,,,,,,
2022-07-31,319796440.062030266762448,,,,,,,
2022-08-01,326071007.513795699878316,,,,,,,
2022-08-02,339374638.64421484860868,,,,,,,
2022-08-03,358357792.26062755447588,,,,,,,
2022-08-04,405654757.3725126412947,,,,,,,
2022-08-05,411453448.18359820830694,,,,,,,
2022-08-06,404497451.77515963348222,,,,,,,
2022-08-07,404153349.276882263842,,,,,,,
2022-08-08,404899069.00223849756882,,,,,,,
2022-08-09,383984806.78369923845244,,,,,,,
2022-08-10,401799669.6503681749071,,,,,,,
2022-08-11,468990753.55629615912,,,,,,,
2022-08-12,480927941.154474548835,,,,,,,
2022-08-13,482796833.838489936927,,,,,,,
2022-08-14,468345000.718356873399,,,,,,,
2022-08-15,475104796.523923199532,,,,,,,
2022-08-16,478432869.118051121454,,,,,,,
2022-08-17,454226720.911706678181,,,,,,,
2022-08-18,419969182.741474992951,,,,,,,
2022-08-19,429105293.301125094183,,,,,,,
2022-08-20,443731777.118777107032,,,,,,,
2022-08-21,449516222.981783694798,,,,,,,
2022-08-22,430285213.448665185618,,,,,,,
2022-08-23,427626908.356754238057,,,,,,,
2022-08-24,429539282.467435773306,,,,,,,
2022-08-25,419784199.498654398294,,,,,,,
2022-08-26,398732100.8903487889665,,,,,,,
2022-08-27,400138698.1542221557365,,,,,,,
2022-08-28,389490277.1575671249627,,,,,,,
2022-08-29,402541884.7632389741235,,,,,,,
2022-08-30,402470691.8118361229409,,,,,,,
2022-08-31,396958938.010908963969,,,,,,,
2022-09-01,398319720.9458288660121,,,,,,,
2022-09-02,402944705.7760807868007,,,,,,,
2022-09-03,402272565.4624016713572,,,,,,,
2022-09-04,407709878.7540292177566,,,,,,,
2022-09-05,408258398.4862323800805,,,,,,,
2022-09-06,392517158.3590385801253,,,,,,,
2022-09-07,404725121.2074324286443,,,,,,,
2022-09-08,405839110.9682105459571,,,,,,,
2022-09-09,436692228.625411947819,,,,,,,
2022-09-10,432419905.663222882791,,,,,,,
2022-09-11,426648528.454970798667,,,,,,,
2022-09-12,417651182.825699360454,,,,,,,
2022-09-13,427279888.098461369565,,,,,,,
2022-09-14,423796204.079797489425,,,,,,,
2022-09-15,410542006.0834310210466,,,,,,,
2022-09-16,405122805.3154699422867,,,,,,,
2022-09-17,415620328.2747159343602,,,,,,,
2022-09-18,390935625.9120819238173,,,,,,,
2022-09-19,393566251.9234068121932,,,,,,,
2022-09-20,377651699.9650584123588,,,,,,,
2022-09-21,372735312.0201180356634,,,,,,,
2022-09-22,388732262.3719241531652,,,,,,,
2022-09-23,382874893.6895719847799,,,,,,,
2022-09-24,381734636.6536086394506,,,,,,,
