time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-04,,,,,,21028601.1026807
2025-11-05,,,,,,13577080.183715
2025-11-06,,,,,,12313366.8811625
2025-11-07,,,,,,16062610.860074
2025-11-08,,,,,,6607063.95647684
2025-11-09,,,,,,8903613.83538111
2025-11-10,,,,,,11237651.1209414
2025-11-11,,,,,,9688451.35968877
2025-11-12,,,,,,9255085.46796965
2025-11-13,,,,,,15886758.9367801
2025-11-14,,,,,,19752607.6346914
2025-11-15,,,,,,7341895.59677975
2025-11-16,,,,,,9581583.87838257
2025-11-17,,,,,,12992659.459507
2025-11-18,,,,,,13485815.9916891
2025-11-19,,,,,,12438003.2398865
2025-11-20,,,,,,14325384.4128231
2025-11-21,,,,,,25890621.8384017
2025-11-22,,,,,,8649539.00383583
2025-11-23,,,,,,9216046.89798705
2025-11-24,,,,,,12328267.9045021
2025-11-25,,,,,,6942581.7372399
2025-11-26,,,,,,7129979.48506183
2025-11-27,,,,,,4876441.04371862
2025-11-28,,,,,,6557961.38740763
2025-11-29,,,,,,2889114.61647941
2025-11-30,,,,,,3223011.75545278
2025-12-01,,,,,,6600040.45589218
2025-12-02,,,,,,6473857.6173574
2025-12-03,,,,,,11908485.7073768
2025-12-04,,,,,,4842309.74965112
2025-12-05,,,,,,5783501.75457015
2025-12-06,,,,,,679475.635998311
2025-12-07,,,,,,1597066.96471802
2025-12-08,,,,,,6070884.69785842
2025-12-09,,,,,,8582319.2246595
2025-12-10,,,,,,5361236.09896104
2025-12-11,,,,,,7091487.23714089
2025-12-12,,,,,,7667488.57514881
2025-12-13,,,,,,863558.873804037
2025-12-14,,,,,,6125283.20587133
2025-12-15,,,,,,12709009.5671957
2025-12-16,,,,,,11906057.704368
2025-12-17,,,,,,78319078.377368
2025-12-18,,,,,,183128097.484948
2025-12-19,,,,,,273559638.241237
2025-12-20,,,,,,59590678.1106722
2025-12-21,,,,,,137997261.795595
2025-12-22,,,,,,296186962.689057
2025-12-23,,,,,,10892903.860284
2025-12-24,,,,,,4186770.85380241
2025-12-25,,,,,,3114305.13380896
2025-12-26,,,,,,6435334.15537825
2025-12-27,,,,,,783601.102845331
2025-12-28,,,,,,941340.782782086
2025-12-29,,,,,,7381834.14213347
2025-12-30,,,,,,5285634.38010597
2025-12-31,,,,,,5205541.64524244
2026-01-01,,,,,,2068123.11676384
2026-01-02,,,,,,9130430.48462345
2026-01-03,,,,,,2548555.98100371
2026-01-04,,,,,,6302041.67296621
2026-01-05,,,,,,9587624.02569134
2026-01-06,,,,,,8942643.35109233
2026-01-07,,,,,,9452017.83858572
2026-01-08,,,,,,11210073.1716568
2026-01-09,,,,,,10323890.3708987
2026-01-10,,,,,,762701.125053231
2026-01-11,,,,,,2710810.4647937
2026-01-12,,,,,,9453727.60332164
2026-01-13,,,,,,7103371.7620209
2026-01-14,,,,,,7017921.39713361
2026-01-15,,,,,,6094753.14066696
2026-01-16,,,,,,5023415.16773945
2026-01-17,,,,,,1126823.69167108
2026-01-18,,,,,,2485551.38410684
2026-01-19,,,,,,17310772.7896687
2026-01-20,,,,,,168544987.980919
2026-01-21,,,,,,238697877.620222
2026-01-22,,,,,,70356172.4976587
2026-01-23,,,,,,8391493.6450057
2026-01-24,1.00012849205475,0.0000111821449329456,0.000338843446027206,0.846012424094511,1.00012849205475,1418890.48397104
2026-01-25,0.999980092795038,0.00001121241978904,0.00033890024361009,0.845967610572734,0.999980092795038,6646226.96313804
2026-01-26,1.00015697128811,0.0000115697751481532,0.000356330281403237,0.843065876641477,1.00015697128811,8790022.6020663
2026-01-27,0.999936411904983,0.000011319506736818,0.000341254323489161,0.841987497699776,0.999936411904983,5981306.90145617
2026-01-28,0.999982014831807,0.0000112029772759771,0.000330810525323604,0.831641525578562,0.999982014831807,8186779.74179149
2026-01-29,1.00010471024677,0.0000112147286745906,0.000332433008529245,0.835647954930796,1.00010471024677,9762099.86411987
2026-01-30,1.00033160470929,0.0000118353869188852,0.000354911908134546,0.835964560318235,1.00033160470929,
