time,volume_reported_spot_usd_1d
2025-11-12,923670.218450998
2025-11-13,1151206.63438645
2025-11-14,6226374.47994574
2025-11-15,565125.174798451
2025-11-16,792770.728852261
2025-11-17,399855.708797447
2025-11-18,2116813.39645992
2025-11-19,2904008.44949574
2025-11-20,1230243.53497267
2025-11-21,3468527.77895781
2025-11-22,763128.606866953
2025-11-23,2218288.17017687
2025-11-24,2112970.34888711
2025-11-25,843646.039705956
2025-11-26,2170051.48575491
2025-11-27,1999317.33552751
2025-11-28,1142804.21553665
2025-11-29,665319.706369775
2025-11-30,349798.128513606
2025-12-01,1199334.19451296
2025-12-02,292349.367515688
2025-12-03,629373.790366147
2025-12-04,319611.951638305
2025-12-05,3762616.12223006
2025-12-06,1292328.06815294
2025-12-07,608456.114382255
2025-12-08,188161.864004402
2025-12-09,1291062.22260688
2025-12-10,534686.643545188
2025-12-11,2750096.20215231
2025-12-12,2475957.69812004
2025-12-13,1000630.14547386
2025-12-14,517792.230974713
2025-12-15,979832.287083218
2025-12-16,3473219.9066988
2025-12-17,1826439.17129067
2025-12-18,1840136.87684712
2025-12-19,708645.379656898
2025-12-20,294238.238485914
2025-12-21,776576.187536598
2025-12-22,1130758.10689395
2025-12-23,775115.596959415
2025-12-24,1792812.39434028
2025-12-25,416686.446641465
2025-12-26,657265.822425777
2025-12-27,285260.747438158
2025-12-28,566124.389809932
2025-12-29,215821.820848632
2025-12-30,375286.811658752
2025-12-31,834767.220972363
2026-01-01,1519041.14446424
2026-01-02,557407.755299669
2026-01-03,1253554.14869904
2026-01-04,697005.388726434
2026-01-05,1012310.63461743
2026-01-06,452072.858423747
2026-01-07,427918.670220601
