time,volume_reported_spot_usd_1d
2025-05-07,234174.093206
2025-05-08,1092315.334067
2025-05-09,1031167.878404
2025-05-10,712746.562431
2025-05-11,766409.389344
2025-05-12,841116.831156
2025-05-13,529993.179348
2025-05-14,349880.562429
2025-05-15,658983.396913
2025-05-16,614418.903673
2025-05-17,554207.570674
2025-05-18,533911.71824
2025-05-19,941754.265032
2025-05-20,972831.145103
2025-05-21,2539415.624323
2025-05-22,847527.376002
2025-05-23,1073482.259016
2025-05-24,707466.203731
2025-05-25,498556.799059
2025-05-26,421576.782209
2025-05-27,543766.359567
2025-05-28,912680.977376
2025-05-29,735829.846754
2025-05-30,1347466.101778
2025-05-31,593000.897538
2025-06-01,446537.690786
2025-06-02,713468.17808
2025-06-03,611477.56872
2025-06-04,562770.232043
2025-06-05,992569.700914
2025-06-06,900903.513879
2025-06-07,412271.008271
2025-06-08,365891.606833
2025-06-09,855918.261959
2025-06-10,1332181.134972
2025-06-11,1445755.382285
2025-06-12,967608.296539
2025-06-13,1703163.120652
2025-06-14,707639.586822
2025-06-15,508919.654475
2025-06-16,1444082.917586
2025-06-17,1232500.69297977
2025-06-18,947646.742514955
2025-06-19,430638.401520664
2025-06-20,587159.829474169
2025-06-21,891349.60964764
2025-06-22,1347835.12799368
2025-06-23,688216.59048628
2025-06-24,680227.464336927
2025-06-25,764719.082562307
2025-06-26,516829.301714022
2025-06-27,181680.051075456
2025-06-28,270532.380044211
2025-06-29,144400.306801594
2025-06-30,239902.31171804
2025-07-01,593839.743082637
2025-07-02,504914.893435396
2025-07-03,894250.276904426
2025-07-04,264680.246741441
2025-07-05,80807.505601109
2025-07-06,242882.046217172
2025-07-07,173104.302107389
2025-07-08,352093.083022018
2025-07-09,900511.7118994
2025-07-10,2322608.60785339
2025-07-11,1278408.50532879
2025-07-12,62265.1077654072
2025-07-13,329873.141430936
2025-07-14,501012.969041013
2025-07-15,514112.84873394
2025-07-16,1024963.30921752
2025-07-17,1010607.22396185
2025-07-18,1112372.22323093
2025-07-19,490888.98264069
2025-07-20,1185965.5429203
2025-07-21,2290728.79920189
2025-07-22,1266774.33747555
2025-07-23,2331955.61695844
2025-07-24,716230.01989845
2025-07-25,1384791.45719717
2025-07-26,571000.389685089
2025-07-27,785814.366138601
2025-07-28,967601.85797805
2025-07-29,612722.016600282
2025-07-30,638857.787643882
2025-07-31,398432.550264969
2025-08-01,2138957.00953024
2025-08-02,442545.70885843
2025-08-03,382657.737578187
2025-08-04,577872.518634612
