time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-11-28,6,2,1705423254,1611334693,1,110534.4853374563543,110000,110564.6393300009,0.00010119949998974014,1.00513308481819,,,109970,10,9,
2017-11-29,0,2,1705423255,1611334693,1.01031183,111674.2984035314125,0,0,0.00010362193811971389,1.01549784853625,,,109970,0,0,
2017-11-30,0,2,1705423256,1611334693,1.00314044,110881.6120669939297,0,0,0.00010086209780598648,1.00828964323901,,,109970,0,0,
2017-12-01,0,2,1705423256,1611334694,1.01122774,111775.5379544905185,0,0,0.00009403482073798276,1.01641845916605,,,109970,0,0,
2017-12-02,0,2,1705423256,1611334694,0.99146618,109591.20444652249317,0,0,0.00009113564014038967,0.996555464640561,,,109970,0,0,
2017-12-03,0,2,1705423257,1611334694,0.99374693,109843.30546824663553,0,0,0.00008907196585657644,0.998847917325149,,,109970,0,0,
2017-12-04,0,2,1705423258,1611334694,0.99876493,110397.9678774683578,0,0,0.00008682585326952235,1.00389167843474,,,109970,0,0,
2017-12-05,0,2,1705423258,1611334694,0.99731696,110237.9166344471491,0,0,0.00008541000897389819,1.00243627020503,,,109970,0,0,
2017-12-06,0,2,1705423258,1611334694,1.01922649,112659.6757635554807,0,0,0.00007321673663430648,1.02445826828731,,,109970,0,0,
2017-12-07,0,2,1705423258,1611334694,1.04204893,115182.3419439030982,0,0,0.00006149482223586341,1.04739785345006,,,109970,0,0,
2017-12-08,0,2,1705423259,1611334694,1.03089611,113949.5714913744993,0,0,0.00006357570310140961,1.03618779204669,,,109970,0,0,
2017-12-09,0,2,1705423260,1611334694,1.03905921,114851.8745159440781,0,0,0.00006939476817539098,1.04439278454073,,,109970,0,0,
2017-12-10,0,2,1705423260,1611334695,1.01314055,111986.9695743027698,0,0,0.00006580556505402638,1.01834108915434,,,109970,0,0,
2017-12-11,0,2,1705423260,1611334695,1.01858103,112588.3296961774365,0,0,0.000060675593394178844,1.02380949073545,,,109970,0,0,
2017-12-12,0,2,1705423261,1611334695,1.10685527,122345.6772115912978,0,0,0.0000638144584285444,1.11253684833674,,,109970,0,0,
2017-12-13,0,2,1705423262,1611334695,1.01264634,111932.3421039280898,0,0,0.00006163093776226524,1.01784434031034,,,109970,0,0,
2017-12-14,0,2,1705423262,1611334695,1.01407353,112090.0962169479064,0,0,0.00006139164252380163,1.01927885984312,,,109970,0,0,
2017-12-15,0,2,1705423263,1611334695,1.01519501,112214.0578146223503,0,0,0.00005764354116349616,1.02040609088499,,,109970,0,0,
2017-12-16,0,2,1705423264,1611334695,1.0058026,111175.8727654478393,0,0,0.000051473473467670946,1.01096547026869,,,109970,0,0,
2017-12-17,0,2,1705423264,1611334695,1.01133183,111787.0432516255096,0,0,0.00005280511101079753,1.01652308130968,,,109970,0,0,
2017-12-18,0,2,1705423265,1611334695,0.9981333,110328.1507314218162,0,0,0.000052852991326137296,1.00325680395946,,,109970,0,0,
2017-12-19,0,2,1705423266,1611334696,1.02185458,112950.1704044262003,0,0,0.00005818166185155729,1.02709984908999,,,109970,0,0,
2017-12-20,0,2,1705423267,1611334696,1.00032561,110570.4759188733249,0,0,0.00006110873579837672,1.00546036117917,,,109970,0,0,
2017-12-21,2,3,1705423267,1611334696,1.00001359,112211.6416330740194,0,0,0.00006526768433240908,1.02038411960602,,,109970,1,1,
2017-12-22,0,3,1705423268,1611334696,1.02356507,114854.3559669934799,0,0,0.0000730068441340192,1.04441534934067,,,109970,0,0,
2017-12-23,0,3,1705423269,1611334696,1.03728878,116394.29462252795,0,0,0.0000709830784578733,1.058418610735,,,109970,0,0,
2017-12-24,0,3,1705423269,1611334696,1.03616522,116268.2196622462614,0,0,0.00007537758563602829,1.05727216206462,,,109970,0,0,
2017-12-25,0,3,1705423269,1611334696,1.0050743,112779.5046163180514,0,0,0.00007283233605601494,1.02554791867162,,,109970,0,0,
2017-12-26,0,3,1705423271,1611334696,0.98545029,110577.4916539887468,0,0,0.0000639355793659429,1.00552415798844,,,109970,0,0,
2017-12-27,3,5,1705423271,1611334696,0.98423024,110440.2730223159591,0,0,0.00006525936305955565,1.00427637557803,,,109970,12,12,
2017-12-28,7,6,1705423271,1611334697,1.00001216,111799.6443175364452,0,0,0.00007114602105092457,1.01663766770516,,1.144583046836126,109970,12,11,
2017-12-29,0,6,1705423271,1611334697,0.99996499,111794.3705381753789,0,0,0.00006976444040738935,1.01658971117737,,0.10751993642269828,109970,0,0,
2017-12-30,0,6,1705423272,1611334697,1.01327072,113281.9282813886731,0,0,0.0000795535759589251,1.03011665255423,,2.1647558775971665,109970,0,0,
2017-12-31,2,6,1705423273,1611334697,0.9968616,111444.626772451154,0,0,0.00007279465317875382,1.0134093550282,,-0.29604973332724055,109970,1,1,
2018-01-01,0,6,1705423273,1611334697,0.98933246,110602.9035849171707,0,0,0.00007469596081517844,1.00575523856431,,0.9231572401308572,109970,0,0,
2018-01-02,0,6,1705423273,1611334697,0.9927483,110984.7784934925645,0,0,0.0000684021781336747,1.00922777569785,,1.0391830620719174,109970,0,0,
