time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-23,,,,,,828147.9203873
2026-01-24,,,,,,66487.6140706772
2026-01-25,,,,,,61442.6084757654
2026-01-26,,,,,,1168355.06709548
2026-01-27,,,,,,1267577.11092935
2026-01-28,,,,,,1360548.91549187
2026-01-29,,,,,,3391763.67053432
2026-01-30,,,,,,3027346.90197234
2026-01-31,,,,,,61416.7471817264
2026-02-01,,,,,,57074.9902147768
2026-02-02,,,,,,993598.083417894
2026-02-03,,,,,,824257.179649985
2026-02-04,,,,,,560881.566917705
2026-02-05,,,,,,402259.704540667
2026-02-09,,,,,,197954.261551881
2026-02-10,,,,,,195626.144291979
2026-02-11,,,,,,185497.46501651
2026-02-12,,,,,,137502.072983441
2026-02-13,,,,,,110074.994692314
2026-02-14,,,,,,57420.916675002
2026-02-15,,,,,,57242.2303531293
2026-02-16,,,,,,58934.0476333131
2026-02-17,,,,,,92192.9896339674
2026-02-18,,,,,,98046.0616248298
2026-02-19,,,,,,94170.1931878779
2026-02-20,,,,,,63689.8162435516
2026-02-21,,,,,,57302.588551385
2026-02-22,,,,,,56042.1037931098
2026-02-23,,,,,,90951.8835111093
2026-02-24,,,,,,65815.6179898477
2026-02-25,,,,,,62950.8238997704
2026-02-26,,,,,,82800.680372224
2026-02-27,,,,,,95676.0372540833
2026-02-28,,,,,,172001.696871585
2026-03-01,,,,,,56748.5966615184
2026-03-02,,,,,,368845.968001389
2026-03-03,,,,,,179489.513908407
2026-03-04,,,,,,314251.426661811
2026-03-05,,,,,,150850.308614433
2026-03-06,,,,,,296747.381237001
2026-03-07,,,,,,223721.235118243
2026-03-08,,,,,,215045.343185913
2026-03-09,,,,,,515850.537100156
2026-03-10,,,,,,115780.915091863
2026-03-11,,,,,,0
2026-03-12,,,,,,0
2026-03-13,,,,,,0
2026-03-14,,,,,,0
2026-03-15,,,,,,0
2026-03-16,,,,,,0
2026-03-17,,,,,,0
2026-03-18,,,,,,0
2026-03-19,,,,,,0
2026-03-20,,,,,,0
2026-03-21,,,,,,0
2026-03-22,,,,,,0
2026-03-23,,,,,,0
2026-03-24,,,,,,0
2026-03-25,,,,,,0
2026-03-26,,,,,,0
2026-03-27,,,,,,0
2026-03-28,,,,,,0
2026-03-29,,,,,,0
2026-03-30,132.89015556049,0.00201450201408937,0.0670189869628659,115.733289612291,132.89015556049,0
2026-03-31,132.422644564001,0.00198679965220228,0.0654656606023657,115.618119312254,132.422644564001,0
2026-04-01,127.607721569834,0.00187067314265167,0.0607241766958597,110.356284217559,127.607721569834,0
2026-04-02,124.396807295237,0.0018262275477808,0.058105492172539,107.354978284611,124.396807295237,0
2026-04-03,139.044427338529,0.00207813365380868,0.0676149147753397,120.517471293095,139.044427338529,0
2026-04-04,134.433232135584,0.00200971342138909,0.0655253940996703,116.744329980427,134.433232135584,0
2026-04-05,138.56655962275,0.00205908745166508,0.0671271428974063,120.361752530806,138.56655962275,
