time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2024-04-03,,,,,,18160288.2537249
2024-04-04,,,,,,5210039.43086572
2024-04-05,,,,,,2886463.95099085
2024-04-06,,,,,,3033298.12236692
2024-04-07,,,,,,2426346.64571386
2024-04-08,,,,,,2936978.56185067
2024-04-09,,,,,,1842155.48108056
2024-04-10,,,,,,1400262.85489174
2024-04-11,,,,,,1131791.5244095
2024-04-12,,,,,,851228.20054649
2024-04-13,,,,,,980643.00803046
2024-04-14,,,,,,443753.030518058
2024-04-15,,,,,,625095.146795741
2024-04-16,,,,,,654378.631944561
2024-04-17,,,,,,336753.356918392
2024-04-18,,,,,,404720.979165734
2024-04-19,,,,,,939199.145839862
2024-04-20,,,,,,649332.269515019
2024-04-21,,,,,,257283.121321549
2024-04-22,,,,,,464151.525205454
2024-04-23,,,,,,344861.408342149
2024-04-24,,,,,,365951.53868827
2024-04-25,,,,,,273982.058625497
2024-04-26,,,,,,279212.646410613
2024-04-27,,,,,,213214.375945798
2024-04-28,,,,,,145082.493171202
2024-04-29,,,,,,264047.023588178
2024-04-30,,,,,,493558.740100015
2024-05-01,,,,,,229235.273682147
2024-05-02,,,,,,230762.629809655
2024-05-03,,,,,,223531.979156108
2024-05-04,,,,,,247289.191225085
2024-05-05,,,,,,197016.380604173
2024-05-06,,,,,,168104.471140734
2024-05-07,,,,,,151150.645673385
2024-05-08,,,,,,198620.279204943
2024-05-09,,,,,,123369.168953417
2024-05-10,,,,,,129400.245419689
2024-05-11,,,,,,73406.9566913695
2024-05-12,,,,,,176643.765036632
2024-05-13,,,,,,220283.985523279
2024-05-14,,,,,,144870.358588626
2024-05-15,,,,,,83194.938149656
2024-05-16,,,,,,179020.851313465
2024-05-17,,,,,,244213.508713716
2024-05-18,,,,,,220809.234413546
2024-05-19,,,,,,130042.584769306
2024-05-20,,,,,,179304.483899006
2024-05-21,,,,,,124653.192801521
2024-05-22,,,,,,74113.4689931831
2024-05-23,,,,,,113783.161890553
2024-05-24,,,,,,355260.480543871
2024-05-25,,,,,,134947.081634852
2024-05-26,,,,,,67596.3357066997
2024-05-27,,,,,,135719.311618157
2024-05-28,,,,,,154951.070950003
2024-05-29,,,,,,98508.8669702668
2024-05-30,,,,,,95918.6959359777
2024-05-31,,,,,,47348.5657319442
2024-06-01,,,,,,49823.3670506581
2024-06-02,,,,,,81441.5982550906
2024-06-03,,,,,,57114.4620163361
2024-06-04,,,,,,107938.530117939
2024-06-05,,,,,,138104.577142579
2024-06-06,,,,,,106136.358542684
2024-06-07,,,,,,168418.222635936
2024-06-08,,,,,,154422.480608996
2024-06-09,,,,,,74730.3056638456
2024-06-10,,,,,,62770.9186629576
2024-06-11,,,,,,132441.568193626
2024-06-12,,,,,,85816.3059101048
2024-06-13,,,,,,172004.749813176
2024-06-14,,,,,,83457.0954154509
2024-06-15,,,,,,45881.9787173137
2024-06-16,,,,,,109430.515098311
2024-06-17,,,,,,91407.2742943723
2024-06-18,,,,,,99889.7578144488
2024-06-19,,,,,,80165.0227726274
2024-06-20,,,,,,42299.4451564693
2024-06-21,,,,,,50735.4656225751
2024-06-22,,,,,,50454.5249122991
2024-06-23,,,,,,42331.5976712267
2024-06-24,,,,,,54578.8162042617
2024-06-25,,,,,,90860.3286798999
2024-06-26,,,,,,62165.5241415185
2024-06-27,,,,,,46330.5888610026
2024-06-28,,,,,,34064.1844482223
2024-06-29,,,,,,26636.7264478662
2024-06-30,,,,,,30066.9649398158
2024-07-01,,,,,,110393.529191853
2024-07-02,,,,,,175980.108070714
2024-07-03,,,,,,285183.524514805
2024-07-04,,,,,,134620.541891989
2024-07-05,,,,,,95915.8921468463
2024-07-06,,,,,,62411.0550459304
2024-07-07,,,,,,57137.1592850325
2024-07-08,,,,,,319729.44073441
2024-07-09,,,,,,292292.894921432
2024-07-10,,,,,,880999.862594456
2024-07-11,,,,,,204766.113576701
2024-07-12,,,,,,166633.743336336
2024-07-13,,,,,,127551.904211371
2024-07-14,,,,,,191579.741587896
2024-07-15,,,,,,283915.387395545
2024-07-16,,,,,,193337.50191203
2024-07-17,,,,,,191244.501717576
2024-07-18,,,,,,210083.68952979
2024-07-19,,,,,,379728.369548648
2024-07-20,,,,,,231458.5896564
2024-07-21,,,,,,189254.484910818
2024-07-22,,,,,,205845.860081008
2024-07-23,,,,,,188336.492872894
2024-07-24,,,,,,298053.716826106
2024-07-25,,,,,,174783.925473284
2024-07-26,,,,,,175144.398961624
2024-07-27,,,,,,261118.396229007
