time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-04,,,,,,2326345.29156882
2025-11-05,,,,,,1115805.11590916
2025-11-06,,,,,,1336611.62710558
2025-11-07,,,,,,1507777.42291728
2025-11-08,,,,,,1316570.76800573
2025-11-09,,,,,,636501.277354827
2025-11-10,,,,,,761476.018397547
2025-11-11,,,,,,561324.674476251
2025-11-12,,,,,,541436.02163652
2025-11-13,,,,,,497052.279720591
2025-11-14,,,,,,633658.952787052
2025-11-15,,,,,,685498.371100035
2025-11-16,,,,,,658728.37648963
2025-11-17,,,,,,787015.553470864
2025-11-18,,,,,,973843.420721145
2025-11-19,,,,,,713902.732850942
2025-11-20,,,,,,691790.18113034
2025-11-21,,,,,,860169.386281824
2025-11-22,,,,,,655336.212484026
2025-11-23,,,,,,500722.784097416
2025-11-24,,,,,,459583.937221203
2025-11-25,,,,,,470746.485022001
2025-11-26,,,,,,289845.873673149
2025-11-27,,,,,,328988.036609312
2025-11-28,,,,,,378630.65390321
2025-11-29,,,,,,332945.159894885
2025-11-30,,,,,,501840.27931538
2025-12-01,,,,,,1642695.13699033
2025-12-02,,,,,,906270.559731575
2025-12-03,,,,,,571300.917125586
2025-12-04,,,,,,421527.047506705
2025-12-05,,,,,,432317.043401767
2025-12-06,,,,,,277746.989046416
2025-12-07,,,,,,338960.979778091
2025-12-08,,,,,,310291.051035937
2025-12-09,,,,,,809515.10779591
2025-12-10,,,,,,430067.856591722
2025-12-11,,,,,,339865.66310446
2025-12-12,,,,,,239666.102062941
2025-12-13,,,,,,189072.904895218
2025-12-14,,,,,,222543.12238124
2025-12-15,,,,,,317955.680302822
2025-12-16,,,,,,263274.123260465
2025-12-17,,,,,,433406.650684964
2025-12-18,,,,,,329723.533482888
2025-12-19,,,,,,372750.738460444
2025-12-20,,,,,,278146.313800313
2025-12-21,,,,,,295301.397299763
2025-12-22,,,,,,245470.410243313
2025-12-23,,,,,,308118.513200073
2025-12-24,,,,,,484520.601018995
2025-12-25,,,,,,272033.980986953
2025-12-26,,,,,,285804.311659859
2025-12-27,,,,,,707036.048689762
2025-12-28,,,,,,314710.086107905
2025-12-29,,,,,,329287.371521841
2025-12-30,,,,,,374252.046318401
2025-12-31,,,,,,286871.426369874
2026-01-01,,,,,,352545.203537849
2026-01-02,,,,,,289639.584052467
2026-01-03,,,,,,286940.83509435
2026-01-04,,,,,,202405.697388897
2026-01-05,,,,,,391451.037903918
2026-01-06,,,,,,368403.29156258
2026-01-07,,,,,,414977.811488861
2026-01-08,,,,,,331268.63985018
2026-01-09,,,,,,246504.202771449
2026-01-10,,,,,,214174.416123391
2026-01-11,,,,,,233611.732404747
2026-01-12,,,,,,221754.442373041
2026-01-13,,,,,,682257.577454716
2026-01-14,,,,,,785020.553528535
2026-01-15,,,,,,779440.316620367
2026-01-16,,,,,,358773.27392029
2026-01-17,,,,,,281580.687316468
2026-01-18,,,,,,396545.067556619
2026-01-19,,,,,,527566.67122364
2026-01-20,,,,,,289032.176199318
2026-01-21,,,,,,299487.523896497
2026-01-22,,,,,,215232.141870186
2026-01-23,,,,,,233363.605167134
2026-01-24,,,,,,188476.119027891
2026-01-25,,,,,,281596.450369671
2026-01-26,,,,,,346054.817219263
2026-01-27,,,,,,239525.348573479
2026-01-28,,,,,,171352.872937818
2026-01-29,,,,,,230026.641219343
2026-01-30,,,,,,290629.256538836
2026-01-31,,,,,,318899.598352906
2026-02-01,,,,,,274702.371163064
2026-02-02,,,,,,256924.732961199
2026-02-03,,,,,,290379.961703
2026-02-04,,,,,,248374.01493381
2026-02-05,,,,,,424470.003542306
2026-02-06,,,,,,453846.301893142
2026-02-07,,,,,,262423.311546072
2026-02-08,,,,,,208220.017056019
2026-02-09,0.0185329476715342,0.000000262794487148488,0.00000885129230471801,0.0157002705846891,0.0185329476715342,240922.218283538
2026-02-10,0.0181985018903771,0.000000259075159763123,0.00000863704925194363,0.0152903224844025,0.0181985018903771,175765.568079448
2026-02-11,0.0176875729767132,0.00000025750303906951,0.0000087681309167208,0.0148843306901103,0.0176875729767132,212036.430710412
2026-02-12,0.0175313522418051,0.000000261702140771339,0.00000903650771174637,0.0147706263828533,0.0175313522418051,155010.888976176
2026-02-13,0.0179716037387875,0.000000271386056088438,0.0000092405808990013,0.0151494797249632,0.0179716037387875,178721.636676702
2026-02-14,0.0191295800339686,0.000000277800557047924,0.0000093382791554961,0.0161286490411685,0.0191295800339686,259503.576633647
2026-02-15,0.0199583468769584,0.000000285944070768924,0.00000956482784386503,0.0168516844488465,0.0199583468769584,
