time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2023-03-01,27679343.6808342650678036990842,,,,,,,
2023-03-02,26171281.8266684634224241712416,,,,,,,
2023-03-03,23794362.3811282653930255906108,,,,,,,
2023-03-04,23009963.7985940313355899554604,,,,,,,
2023-03-05,23624754.4777220782733272193728,,,,,,,
2023-03-06,22845737.7238250761542655226019,,,,,,,
2023-03-07,22572829.737223725056821052901,,,,,,,
2023-03-08,21689596.4928239444461055590629,,,,,,,
2023-03-09,20340070.200230394545982890024,,,,,,,
2023-03-10,19795871.3096056592118954854688,,,,,,,
2023-03-11,19506903.756752198790956583421,,,,,,,
2023-03-12,20941202.1423861092220660566202,,,,,,,
2023-03-13,22036523.5814286512037745530052,,,,,,,
2023-03-14,22714412.662823073827537351354,,,,,,,
2023-03-15,21167753.1849855153209683955602,,,,,,,
2023-03-16,21605134.5144476103270477220245,,,,,,,
2023-03-17,22661817.4924042588446923175383,,,,,,,
2023-03-18,23554875.1131298274420432483452,,,,,,,
2023-03-19,24047914.116994239305875496105,,,,,,,
2023-03-20,22306882.6712204123224348345504,,,,,,,
2023-03-21,22708465.6088341418718509996068,,,,,,,
2023-03-22,21548316.5169794003101780691556,,,,,,,
2023-03-23,22349507.549603867255253296582,,,,,,,
2023-03-24,22458700.6299900789459013178478,,,,,,,
2023-03-25,21716372.492503155016139149928,,,,,,,
2023-03-26,22119098.4856080068332374790784,,,,,,,
2023-03-27,21387310.835763348937642580439,,,,,,,
2023-03-28,21693669.8779046934526017971725,,,,,,,
2023-03-29,22362890.350436850417689510154,,,,,,,
2023-03-30,22036005.7743688765846328792853,,,,,,,
2023-03-31,22775697.6399993061281386097282,,,,,,,
2023-04-01,22657128.171002541743038622352,,,,,,,
2023-04-02,22134342.4555269276696075567015,,,,,,,
2023-04-03,21783955.3241952594770823113493,,,,,,,
2023-04-04,22133879.8593293674392183672048,,,,,,,
2023-04-05,21893056.2288004301478115995042,,,,,,,
2023-04-06,21480342.97510031710985836341,,,,,,,
2023-04-07,21200648.1915749733413840111304,,,,,,,
2023-04-08,22592162.620092386467813018758,,,,,,,
2023-04-09,22129413.713087213330652122282,,,,,,,
2023-04-10,23493480.0236698357053515004962,,,,,,,
2023-04-11,23770620.0382853563855223443048,,,,,,,
2023-04-12,22703069.6116642168781395882248,,,,,,,
2023-04-13,23243052.701759683745581164478,,,,,,,
2023-04-14,24266406.032093821589010967859,,,,,,,
2023-04-15,23937211.8847945629371200189275,,,,,,,
2023-04-16,24233800.0301558376649819437476,,,,,,,
2023-04-17,23712431.5434004962207467443396,,,,,,,
2023-04-18,25833687.2069528416938137505927,,,,,,,
2023-04-19,23387056.776506163271946081808,,,,,,,
2023-04-20,22297213.0444638395282073622384,,,,,,,
2023-04-21,21168816.272415700198138144948,,,,,,,
2023-04-22,22562529.284368184056183171012,,,,,,,
2023-04-23,24023507.069298660612600413225,,,,,,,
2023-04-24,22946885.138805035165700388653,,,,,,,
2023-04-25,22694926.136487901427089196603,,,,,,,
2023-04-26,21831243.66933007664698564156,,,,,,,
2023-04-27,22213253.277562636239090565178,,,,,,,
2023-04-28,21817637.784084018113755889435,,,,,,,
2023-04-29,22141195.913971901705797078265,,,,,,,
2023-04-30,21562486.749256327876094431744,,,,,,,
2023-05-01,20864349.274761851365377095952,,,,,,,
2023-05-02,21193983.940998047112505571769,,,,,,,
2023-05-03,21346862.549073839694616433475,,,,,,,
2023-05-04,20819423.978502257288646516207,,,,,,,
2023-05-05,20895886.9943367768761271466,,,,,,,
2023-05-06,20110362.804356601160596626972,,,,,,,
2023-05-07,20022062.058066653319577316055,,,,,,,
2023-05-08,17294760.57400594156432477148,,,,,,,
2023-05-09,17687639.960192819164153601844,,,,,,,
2023-05-10,18175597.9924437999610894445,,,,,,,
2023-05-11,16875754.90715208324224893404,,,,,,,
2023-05-12,17662843.221803872134896545656,,,,,,,
2023-05-13,17359747.761471278264437170285,,,,,,,
2023-05-14,17440278.952537667405613958608,,,,,,,
2023-05-15,17685315.233607430051077602848,,,,,,,
2023-05-16,17823041.044024006032264309063,,,,,,,
2023-05-17,18117238.95408334493865262427,,,,,,,
2023-05-18,18302107.558226732730523215908,,,,,,,
2023-05-19,18250400.664757873475207537134,,,,,,,
2023-05-20,18753444.339273453741292079664,,,,,,,
2023-05-21,17789283.1214923026268134519,,,,,,,
2023-05-22,18400777.950715356113069916846,,,,,,,
2023-05-23,18567957.713921072231778825744,,,,,,,
2023-05-24,19463335.65660691174304583265,,,,,,,
2023-05-25,19200618.771860408248294040916,,,,,,,
2023-05-26,18909701.07451735556151808215,,,,,,,
2023-05-27,19320988.96415701636556523455,,,,,,,
2023-05-28,19598732.37845142403877381264,,,,,,,
2023-05-29,19366464.146391967923919675382,,,,,,,
2023-05-30,20342396.42504941713689549086,,,,,,,
2023-05-31,19330661.649910733678860806672,,,,,,,
2023-06-01,19282688.828891308026429689345,,,,,,,
2023-06-02,19912482.47826931420740175572,,,,,,,
2023-06-03,19636256.26429022867170947165,,,,,,,
2023-06-04,19241184.1593055045932577607,,,,,,,
2023-06-05,17016846.998854143745999227156,,,,,,,
2023-06-06,17353306.51319247019496153588,,,,,,,
2023-06-07,15532397.18853511190254934944,,,,,,,
2023-06-08,16281603.26316443048639176782,,,,,,,
2023-06-09,16351053.4274416997819997636,,,,,,,
2023-06-10,13869433.60635621540562533675,,,,,,,
2023-06-11,13601770.144141578567973833732,,,,,,,
2023-06-12,13766656.269354221683465983616,,,,,,,
2023-06-13,13836742.450886863721195098326,,,,,,,
2023-06-14,13599415.838690817631239577472,,,,,,,
2023-06-15,13437512.725670244050825496784,,,,,,,
2023-06-16,13759027.544274456235514598624,,,,,,,
2023-06-17,13905829.46839571042103355447,,,,,,,
2023-06-18,13398549.318147169510020409632,,,,,,,
2023-06-19,14038533.6129109486978095897,,,,,,,
2023-06-20,14294952.687976142875102707656,,,,,,,
2023-06-21,14668737.05308193077209185536,,,,,,,
2023-06-22,14462492.114944146052443338731,,,,,,,
2023-06-23,14933697.28647435767507465307,,,,,,,
2023-06-24,14882659.783135453470631090842,,,,,,,
2023-06-25,15194483.79606779965642293488,,,,,,,
2023-06-26,14767885.643378543593601774196,,,,,,,
2023-06-27,15105225.882018923160726973684,,,,,,,
2023-06-28,13921946.296105654863753991035,,,,,,,
2023-06-29,13817561.290774376326008168989,,,,,,,
2023-06-30,14015677.952207927443209034966,,,,,,,
2023-07-01,14261455.787263386520125070896,,,,,,,
2023-07-02,14171198.22692838753720643019,,,,,,,
2023-07-03,14990070.283025918315668745325,,,,,,,
2023-07-04,15169445.28328281404103758171,,,,,,,
2023-07-05,14736342.44424049974628983186,,,,,,,
2023-07-06,14654204.811495652092036121818,,,,,,,
2023-07-07,14878600.925180171769753594219,,,,,,,
2023-07-08,15137991.003498794235999291357,,,,,,,
2023-07-09,15547549.651351791471878947386,,,,,,,
2023-07-10,15149683.11425558291863541744,,,,,,,
2023-07-11,15320401.161648422536926413175,,,,,,,
2023-07-12,14978661.79730629112824842174,,,,,,,
2023-07-13,15627961.493880774509048468718,,,,,,,
2023-07-14,15223247.961068395652894289306,,,,,,,
2023-07-15,15153264.06717487682394532912,,,,,,,
2023-07-16,14875488.759226741464992981904,,,,,,,
2023-07-17,15107002.263794733146417146167,,,,,,,
2023-07-18,14254703.940789991678552378212,,,,,,,
2023-07-19,14231291.5979600944148684896,,,,,,,
2023-07-20,14411548.29125199854659543636,,,,,,,
2023-07-21,14247646.879896661631238454264,,,,,,,
2023-07-22,13923337.275456168315501703578,,,,,,,
2023-07-23,14594862.396112812812368582512,,,,,,,
2023-07-24,13846785.769253026974879193428,,,,,,,
2023-07-25,14129229.813481382631121957104,,,,,,,
2023-07-26,14093664.317630063343424950496,,,,,,,
2023-07-27,14490670.774871802550580843402,,,,,,,
2023-07-28,14175334.211227829996970572474,,,,,,,
2023-07-29,14209870.977630327166642320646,,,,,,,
2023-07-30,13856895.047498982955135196532,,,,,,,
2023-07-31,14017090.067225887516758021648,,,,,,,
2023-08-01,14106824.90087199841912322832,,,,,,,
2023-08-02,13653288.430377874480437610592,,,,,,,
2023-08-03,13558072.042752090016124412395,,,,,,,
2023-08-04,13490442.33888711786950635122,,,,,,,
2023-08-05,13677871.373104428358703660198,,,,,,,
2023-08-06,13773422.461101012142705108125,,,,,,,
2023-08-07,13678194.765855274234790314772,,,,,,,
2023-08-08,14450850.04958770457363630184,,,,,,,
2023-08-09,14134825.803890318004937484418,,,,,,,
2023-08-10,14122495.831966160111482644479,,,,,,,
2023-08-11,13968799.704466159948911278616,,,,,,,
2023-08-12,13956951.711641577384834974299,,,,,,,
2023-08-13,14314195.186833076964393474786,,,,,,,
2023-08-14,14304411.5962274602063676414,,,,,,,
2023-08-15,14382638.287800775932550564756,,,,,,,
2023-08-16,13142772.393614651773819318422,,,,,,,
2023-08-17,12304235.451147486834431480813,,,,,,,
2023-08-18,12422004.42186349973185464704,,,,,,,
2023-08-19,12666174.869221192699179370116,,,,,,,
2023-08-20,12708850.166847961251570911421,,,,,,,
2023-08-21,12342568.83684782754147023631,,,,,,,
2023-08-22,12349229.394165349371695365696,,,,,,,
2023-08-23,12728777.00282917989680101512,,,,,,,
2023-08-24,12671466.51949312504703586036,,,,,,,
2023-08-25,12588500.495257575496523282412,,,,,,,
2023-08-26,12308161.486449269327096692386,,,,,,,
2023-08-27,12230842.575947321234001820727,,,,,,,
2023-08-28,12250535.98274727084750633204,,,,,,,
2023-08-29,12652124.91618014359875226296,,,,,,,
2023-08-30,12680866.654079660001672905268,,,,,,,
2023-08-31,12260981.097329290232977045726,,,,,,,
2023-09-01,11964850.013975987899556091504,,,,,,,
2023-09-02,12109167.665991919109340035744,,,,,,,
2023-09-03,11997844.230990072021399992196,,,,,,,
2023-09-04,11831129.478278197057034915474,,,,,,,
2023-09-05,12038967.96655191708634970207,,,,,,,
2023-09-06,12094139.58444544424916963678,,,,,,,
2023-09-07,12232465.075332215141817897963,,,,,,,
2023-09-08,12156111.71512137518925829761,,,,,,,
2023-09-09,12440660.346867597860161123822,,,,,,,
2023-09-10,11800399.534488967886463605138,,,,,,,
2023-09-11,10898590.639597563270963743414,,,,,,,
2023-09-12,11219021.69898185385259075071,,,,,,,
2023-09-13,13400794.402011977861271484701,,,,,,,
2023-09-14,11993473.092615820729101899721,,,,,,,
2023-09-15,11678207.585697373325117874647,,,,,,,
2023-09-16,11798441.779039363551854127392,,,,,,,
2023-09-17,11740926.797901519721633877265,,,,,,,
2023-09-18,11771205.000000611039811548154,,,,,,,
