time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-04-22,,,,,,19183347.1531264
2025-04-23,,,,,,39847229.374735
2025-04-24,,,,,,25913147.4647594
2025-04-25,,,,,,30075075.4586245
2025-04-26,,,,,,13235295.6175244
2025-04-27,,,,,,166884009.968815
2025-04-28,,,,,,61758019.9385026
2025-04-29,,,,,,17895638.6394569
2025-04-30,,,,,,17350812.2397835
2025-05-01,,,,,,81375496.7196731
2025-05-02,,,,,,47918253.5730336
2025-05-03,,,,,,18726954.9491709
2025-05-04,,,,,,25899934.2772168
2025-05-05,,,,,,25817835.8911604
2025-05-06,,,,,,20974443.6620476
2025-05-07,,,,,,18696879.7776354
2025-05-08,,,,,,29282370.7984708
2025-05-09,,,,,,17252437.7544672
2025-05-10,,,,,,13980244.1349969
2025-05-11,,,,,,23765279.404678
2025-05-12,,,,,,28116244.6926704
2025-05-13,,,,,,13990680.2964313
2025-05-14,,,,,,59324724.0465566
2025-05-15,,,,,,56004851.268321
2025-05-16,,,,,,19620473.4917726
2025-05-17,,,,,,10794416.5220322
2025-05-18,,,,,,12412980.1483227
2025-05-19,,,,,,12396075.9768046
2025-05-20,,,,,,10329969.5592165
2025-05-21,,,,,,17399242.191439
2025-05-22,,,,,,54260410.2505479
2025-05-23,,,,,,29518161.0488689
2025-05-24,,,,,,8736954.09729361
2025-05-25,,,,,,7948679.70998465
2025-05-26,,,,,,8662537.21433589
2025-05-27,,,,,,12709780.3355652
2025-05-28,,,,,,14967089.0198995
2025-05-29,,,,,,14225560.2463652
2025-05-30,,,,,,21517698.1607625
2025-05-31,,,,,,8012349.80436564
2025-06-01,,,,,,5742747.56125636
2025-06-02,,,,,,5268974.47506202
2025-06-03,,,,,,6074865.87246074
2025-06-04,,,,,,6954962.77685337
2025-06-05,,,,,,22354631.0581278
2025-06-06,,,,,,7079013.94000627
2025-06-07,,,,,,2410175.9660456
