time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-04-22,,,,,,135986867.418828
2025-04-23,,,,,,113305148.564706
2025-04-24,,,,,,70708044.3289917
2025-04-25,,,,,,78983727.1044812
2025-04-26,,,,,,129773443.914351
2025-04-27,,,,,,71819088.2107193
2025-04-28,,,,,,60845781.8592633
2025-04-29,,,,,,49621369.8315342
2025-04-30,,,,,,43124354.1113432
2025-05-01,,,,,,45559017.6261709
2025-05-02,,,,,,41527205.1047833
2025-05-03,,,,,,41186264.0995969
2025-05-04,,,,,,57987272.0671
2025-05-05,,,,,,34957505.9801922
2025-05-06,,,,,,34016632.1438856
2025-05-07,,,,,,53601991.0991962
2025-05-08,,,,,,50637384.232624
2025-05-09,,,,,,47277652.6556335
2025-05-10,,,,,,35989286.1632178
2025-05-11,,,,,,127485024.42399
2025-05-12,,,,,,87182992.2395557
2025-05-13,,,,,,52872260.9794562
2025-05-14,,,,,,323364163.958651
2025-05-15,,,,,,155906855.751176
2025-05-16,,,,,,50069491.6314968
2025-05-17,,,,,,59082932.0740778
2025-05-18,,,,,,40967638.1503468
2025-05-19,,,,,,75892531.2600095
2025-05-20,,,,,,182877463.440213
2025-05-21,,,,,,245739222.251114
2025-05-22,,,,,,106898325.378982
2025-05-23,,,,,,60812739.7281434
2025-05-24,,,,,,135434814.317926
2025-05-25,,,,,,144528248.414453
2025-05-26,,,,,,66247391.9667532
2025-05-27,,,,,,316762449.37361
2025-05-28,,,,,,296843909.452761
2025-05-29,,,,,,544055458.104345
2025-05-30,,,,,,929043588.857722
2025-05-31,,,,,,1307025661.52774
2025-06-01,,,,,,425982745.948189
2025-06-02,,,,,,189561685.93292
2025-06-03,,,,,,95402875.2934446
2025-06-04,,,,,,74618250.2214232
2025-06-05,,,,,,109369156.714363
2025-06-06,,,,,,75227298.8904656
2025-06-07,,,,,,57028208.1117972
2025-06-08,,,,,,39641535.033312
2025-06-09,,,,,,37150433.2265934
2025-06-10,,,,,,71791694.8140091
2025-06-11,,,,,,38176705.7028418
2025-06-12,,,,,,28427040.8789989
2025-06-13,,,,,,69951586.7688016
2025-06-14,,,,,,24888741.8404419
2025-06-15,,,,,,27940787.8428473
2025-06-16,,,,,,30331518.7808993
2025-06-17,,,,,,27199375.4491721
2025-06-18,,,,,,21130649.9550956
2025-06-19,,,,,,44061908.3308741
2025-06-20,,,,,,20512664.5656518
2025-06-21,,,,,,49568265.5805847
2025-06-22,,,,,,31812496.345154
2025-06-23,,,,,,19111806.6581124
2025-06-24,,,,,,19419471.6585444
2025-06-25,,,,,,15125024.5515613
2025-06-26,,,,,,16564816.8937468
2025-06-27,,,,,,28934708.9320234
2025-06-28,,,,,,13140470.2263715
2025-06-29,,,,,,16576356.8515197
2025-06-30,,,,,,28404390.8897408
2025-07-01,,,,,,11383299.8589415
2025-07-02,,,,,,13831077.8118099
2025-07-03,,,,,,11429969.6247107
2025-07-04,,,,,,10363266.7200726
2025-07-05,,,,,,7151338.56025172
2025-07-06,,,,,,6853800.00956907
2025-07-07,,,,,,5549968.39101896
2025-07-08,,,,,,5834730.38219977
2025-07-09,,,,,,7819427.90515013
2025-07-10,,,,,,21172772.0876116
2025-07-11,,,,,,59533667.3584494
2025-07-12,,,,,,16175174.2171625
2025-07-13,,,,,,28080133.7782483
2025-07-14,,,,,,18001800.1874868
2025-07-15,,,,,,15437341.4567957
2025-07-16,,,,,,16261187.2080287
2025-07-17,,,,,,17485928.1404231
2025-07-18,,,,,,27172682.4707697
2025-07-19,,,,,,18076412.7052505
2025-07-20,,,,,,18428473.4257152
2025-07-21,,,,,,24612996.9395376
2025-07-22,,,,,,23756989.244313
2025-07-23,,,,,,39143583.2680895
2025-07-24,,,,,,73235035.0775209
2025-07-25,,,,,,77969165.4532277
2025-07-26,,,,,,33210511.6760268
2025-07-27,,,,,,30011897.8034522
2025-07-28,,,,,,28271169.795786
2025-07-29,,,,,,18136510.2291821
2025-07-30,,,,,,14606485.0286056
2025-07-31,,,,,,12241241.7187468
2025-08-01,,,,,,23263483.039431
2025-08-02,,,,,,10740360.715324
2025-08-03,,,,,,6786575.27053105
2025-08-04,,,,,,6959548.44848547
2025-08-05,,,,,,9559633.15952831
2025-08-06,,,,,,11487009.9469171
2025-08-07,,,,,,13793826.1535486
2025-08-08,,,,,,10663657.3557863
2025-08-09,,,,,,34324129.9705896
2025-08-10,,,,,,17438287.4255967
2025-08-11,,,,,,19693858.7726404
2025-08-12,,,,,,78727550.2281817
2025-08-13,,,,,,73067505.3512869
2025-08-14,,,,,,42016392.169265
2025-08-15,,,,,,17800173.3080938
2025-08-16,,,,,,9225300.49400374
2025-08-17,,,,,,10172071.210455
2025-08-18,,,,,,16528613.7033431
2025-08-19,,,,,,10992196.8388619
2025-08-20,,,,,,11678593.1612375
2025-08-21,,,,,,10766142.264161
2025-08-22,,,,,,19877181.9861546
2025-08-23,,,,,,90302736.7838968
2025-08-24,,,,,,27997141.3613757
2025-08-25,,,,,,21675459.6196238
2025-08-26,,,,,,12654302.3218122
2025-08-27,,,,,,15712632.7754365
2025-08-28,,,,,,10136873.756723
2025-08-29,,,,,,13263116.7168732
2025-08-30,,,,,,6944831.74178177
2025-08-31,,,,,,5060251.21797358
2025-09-01,,,,,,13311043.2351981
2025-09-02,,,,,,12924034.2302539
2025-09-03,,,,,,10130040.1348519
2025-09-04,,,,,,11438375.9517969
2025-09-05,,,,,,11542592.822072
2025-09-06,,,,,,7557726.28856269
2025-09-07,,,,,,7327918.44046279
2025-09-08,,,,,,12005456.491876
2025-09-09,,,,,,26034738.8224589
2025-09-10,,,,,,14605421.3581682
2025-09-11,,,,,,11745585.2929661
2025-09-12,,,,,,9921161.6723002
2025-09-13,,,,,,13860256.3187186
2025-09-14,,,,,,14043039.3545124
2025-09-15,,,,,,17948196.3259975
2025-09-16,,,,,,20002423.7986968
2025-09-17,,,,,,15670647.7993994
2025-09-18,,,,,,14103782.7674699
2025-09-19,,,,,,12789625.1760415
2025-09-20,,,,,,7824938.52122264
2025-09-21,,,,,,16002348.8138159
2025-09-22,,,,,,24525061.6199811
2025-09-23,,,,,,18078841.9437591
2025-09-24,,,,,,15464870.4234362
2025-09-25,,,,,,25611990.4024885
2025-09-26,,,,,,15037688.4222358
2025-09-27,,,,,,7594533.90941999
2025-09-28,,,,,,7515334.5110292
2025-09-29,,,,,,10614439.5939975
2025-09-30,,,,,,11704934.8223155
2025-10-01,,,,,,9256067.98972726
2025-10-02,,,,,,10052917.5634595
2025-10-03,,,,,,12462633.0450153
2025-10-04,,,,,,8106210.44302722
2025-10-05,,,,,,13626516.6436692
2025-10-06,,,,,,10216993.521248
2025-10-07,,,,,,15876643.9737916
2025-10-08,,,,,,13408497.0089244
2025-10-09,,,,,,29517625.1668162
2025-10-10,,,,,,43874450.520593
2025-10-11,,,,,,24736128.880184
2025-10-12,,,,,,13002384.2848234
2025-10-13,,,,,,20704317.634335
2025-10-14,,,,,,19342018.7653999
2025-10-15,,,,,,22159390.7513707
2025-10-16,,,,,,22689112.7823878
2025-10-17,,,,,,22158539.883072
2025-10-18,,,,,,6004553.15689575
2025-10-19,,,,,,7157373.73105771
2025-10-20,,,,,,12122337.9037139
2025-10-21,,,,,,21111113.2419624
2025-10-22,,,,,,14217233.125506
2025-10-23,,,,,,6868750.44638973
2025-10-24,,,,,,6000866.25574057
2025-10-25,,,,,,5472886.29695497
2025-10-26,,,,,,5985012.66052891
2025-10-27,,,,,,7503063.64667951
2025-10-28,,,,,,8289009.9604952
2025-10-29,,,,,,10864622.3347998
2025-10-30,,,,,,13159500.6264842
2025-10-31,,,,,,6543957.63478227
2025-11-01,,,,,,4718629.3854073
2025-11-02,,,,,,6177987.17009245
2025-11-03,,,,,,13993066.8275479
2025-11-04,,,,,,15402226.7012216
2025-11-05,,,,,,13438896.6930845
2025-11-06,,,,,,13361875.4352302
2025-11-07,,,,,,14921436.7333664
2025-11-08,,,,,,30104681.9241376
2025-11-09,,,,,,15322385.6561796
2025-11-10,,,,,,8732237.8753172
2025-11-11,,,,,,18945605.0941647
2025-11-12,,,,,,9251889.54115246
2025-11-13,,,,,,8901353.87337557
2025-11-14,,,,,,8553473.98082519
2025-11-15,,,,,,7062571.87601009
2025-11-16,,,,,,128468203.39834
2025-11-17,,,,,,189948475.580255
2025-11-18,,,,,,63610273.6591568
2025-11-19,,,,,,102646315.831843
2025-11-20,,,,,,66064644.2088307
2025-11-21,,,,,,46901926.8595129
2025-11-22,,,,,,17817015.8863997
2025-11-23,,,,,,16684273.7249545
2025-11-24,,,,,,15352130.2737249
2025-11-25,,,,,,9202822.17813391
