time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2020-02-06,17349734.087274716811522,,,,,,,
2020-02-07,16749852.030332355161208,,,,,,,
2020-02-08,16433931.734229777286803,,,,,,,
2020-02-09,13223245.7622196841320668,,,,,,,
2020-02-10,13734352.7771705509938237,,,,,,,
2020-02-11,17466582.1905888081724983,,,,,,,
2020-02-12,21932751.826038711086418,,,,,,,
2020-02-13,20056518.256493288548771,,,,,,,
2020-02-14,20871165.686705060642561,,,,,,,
2020-02-15,18545295.2346325552208156,,,,,,,
2020-02-16,16717381.2679562683855779,,,,,,,
2020-02-17,16329866.0792954886810477,,,,,,,
2020-02-18,17050689.4254652035340287,,,,,,,
2020-02-19,15892424.7745583639921218,,,,,,,
2020-02-20,14937432.2820598886152771,,,,,,,
2020-02-21,15802964.2305573002660253,,,,,,,
2020-02-22,15125758.3346797347215898,,,,,,,
2020-02-23,15823437.5825574362577113,,,,,,,
2020-02-24,14810891.8105996281761736,,,,,,,
2020-02-25,13602035.1335778709591553,,,,,,,
2020-02-26,11943402.9761192712085843,,,,,,,
2020-02-27,11781183.0750625537501598,,,,,,,
2020-02-28,11868467.5426791163676946,,,,,,,
2020-02-29,11287336.0492986797887313,,,,,,,
2020-03-01,11594135.2958102411132466,,,,,,,
2020-03-02,13115989.9595925721417889,,,,,,,
2020-03-03,13813538.1553769719672545,,,,,,,
2020-03-04,22875796.55195153968678,,,,,,,
2020-03-05,23014491.461457953124379,,,,,,,
2020-03-06,28899560.928666684990097,,,,,,,
2020-03-07,38339670.402829390738092,,,,,,,
2020-03-08,30769047.637621279654377,,,,,,,
2020-03-09,37265076.231563071905192,,,,,,,
2020-03-10,35879018.725359940277274,,,,,,,
2020-03-11,32348014.703123016981831,,,,,,,
2020-03-12,16448872.4365482088240488,,,,,,,
2020-03-13,20014265.199957834878356,,,,,,,
2020-03-14,17404254.5441732761343973,,,,,,,
2020-03-15,17699043.2666244501514657,,,,,,,
2020-03-16,14039688.1524519845345053,,,,,,,
2020-03-17,18581567.7000551307026398,,,,,,,
2020-03-18,18211041.3239898311919894,,,,,,,
2020-03-19,19917523.952659263688521,,,,,,,
2020-03-20,18710855.424710529289296,,,,,,,
2020-03-21,19178810.391549108067009,,,,,,,
2020-03-22,16516400.4313963381612086,,,,,,,
2020-03-23,18175010.4432830526559023,,,,,,,
2020-03-24,18374719.2495485878718702,,,,,,,
2020-03-25,18767235.210804567052351,,,,,,,
2020-03-26,18810410.916480923152202,,,,,,,
2020-03-27,18268632.7660676737459279,,,,,,,
2020-03-28,17423739.5471788496158175,,,,,,,
2020-03-29,16792934.1717043079599307,,,,,,,
2020-03-30,17657899.9086286630727388,,,,,,,
2020-03-31,18116039.6858472549870062,,,,,,,
2020-04-01,22095644.854773697157228,,,,,,,
2020-04-02,25530438.483041310549098,,,,,,,
2020-04-03,26033958.907892961822018,,,,,,,
2020-04-04,25518566.319521988682292,,,,,,,
2020-04-05,24038789.087396552105664,,,,,,,
2020-04-06,26588468.661219415273907,,,,,,,
2020-04-07,27352467.983595245633053,,,,,,,
2020-04-08,28778044.084026870351341,,,,,,,
2020-04-09,26689401.059991921212677,,,,,,,
2020-04-10,24091508.688831340737812,,,,,,,
2020-04-11,23484498.304715523547463,,,,,,,
2020-04-12,24444230.502614636197109,,,,,,,
2020-04-13,23662564.195995097521462,,,,,,,
2020-04-14,23909524.32177241818026,,,,,,,
2020-04-15,23124158.941100062160798,,,,,,,
2020-04-16,25719781.277780328424971,,,,,,,
2020-04-17,25299708.855395009312621,,,,,,,
2020-04-18,27764724.949234054709178,,,,,,,
2020-04-19,26437115.753127135750944,,,,,,,
2020-04-20,23803884.90723548605568,,,,,,,
2020-04-21,24342809.455657435755658,,,,,,,
2020-04-22,24919520.270994071308677,,,,,,,
2020-04-23,24942601.714255491197438,,,,,,,
2020-04-24,25339076.03160090222613,,,,,,,
2020-04-25,25788255.723311651892696,,,,,,,
2020-04-26,27352854.007340256749297,,,,,,,
2020-04-27,26842126.055860907041836,,,,,,,
2020-04-28,26293989.164801214397869,,,,,,,
2020-04-29,27158265.800445327061729,,,,,,,
2020-04-30,26495208.690127406653191,,,,,,,
2020-05-01,27089247.154490928260718,,,,,,,
2020-05-02,26666483.798756311638753,,,,,,,
2020-05-03,25775285.083807376746784,,,,,,,
2020-05-04,25302546.845037476243218,,,,,,,
2020-05-05,25061757.598252687503677,,,,,,,
