time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-07-18,2,1,1611239757,1611239757,,,,70000000,,,,,,70000000,0,0,
2017-07-19,0,1,1611239757,1611239757,,,,0,,,,,,70000000,0,0,
2017-07-20,0,1,1611239757,1611239757,,,,0,,,,,,70000000,0,0,
2017-07-21,4,4,1611239757,1611239757,,,,0,,,,,,70000000,3,3,
2017-07-22,0,4,1611239757,1611239757,,,,0,,,,,,70000000,0,0,
2017-07-23,574,576,1611239757,1611239757,,,,0,,,,,,70000000,14,576,
2017-07-24,18,579,1611239758,1611239758,,,,0,,,,,,70000000,10,10,
2017-07-25,14,585,1611239758,1611239758,,,,0,,,,,,70000000,15,15,
2017-07-26,63,633,1611239758,1611239758,,,,0,,,,,,70000000,68,67,
2017-07-27,94,703,1611239758,1611239758,,,,0,,,,,,70000000,113,113,
2017-07-28,76,746,1611239758,1611239758,,,,0,,,,,,70000000,91,91,
2017-07-29,27,758,1611239758,1611239758,,,,0,,,,,,70000000,49,49,
2017-07-30,0,758,1611239758,1611239758,,,,0,,,,,,70000000,0,0,
2017-07-31,27,775,1611239758,1611239758,,,,0,,,,,,70000000,27,27,
2017-08-01,25,786,1611239758,1611239758,,,,0,,,,,,70000000,20,20,
2017-08-02,22,791,1611239759,1611239759,,,,0,,,,,,70000000,19,19,
2017-08-03,151,899,1611239759,1611239759,,,,0,,,,,,70000000,21,164,
2017-08-04,18,904,1611239759,1611239759,,,,0,,,,,,70000000,19,19,
2017-08-05,9,905,1611239759,1611239759,,,,0,,,,,,70000000,6,6,
2017-08-06,8,907,1611239759,1611239759,,,,0,,,,,,70000000,5,5,
2017-08-07,25,923,1611239759,1611239759,,,,0,,,,,,70000000,28,28,
2017-08-08,17,932,1611239759,1611239759,,,,0,,,,,,70000000,48,48,
2017-08-09,17,941,1611239759,1611239759,,,,0,,,,,,70000000,20,20,
2017-08-10,7,944,1611239759,1611239759,,,,0,,,,,,70000000,6,6,
2017-08-11,11,947,1611239759,1611239759,,,,0,,,,,,70000000,9,9,
2017-08-12,6,948,1611239760,1611239760,,,,0,,,,,,70000000,4,4,
2017-08-13,15,955,1611239760,1611239760,,,,0,,,,,,70000000,17,17,
2017-08-14,22,959,1611239760,1611239760,,,,0,,,,,,70000000,23,23,
2017-08-15,12,966,1611239760,1611239760,,,,0,,,,,,70000000,22,22,
2017-08-16,19,972,1611239760,1611239760,,,,0,,,,,,70000000,17,17,
2017-08-17,21,973,1611239760,1611239760,,,,0,,,,,,70000000,18,18,
