time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-09-29,,,,,,189681031.719353
2025-09-30,,,,,,158633332.4051
2025-10-01,,,,,,102459388.417334
2025-10-02,,,,,,81611667.7548254
2025-10-03,,,,,,82946324.5355462
2025-10-04,,,,,,107151838.502524
2025-10-05,,,,,,95098434.8589593
2025-10-06,,,,,,84364516.6813781
2025-10-07,,,,,,115783259.759715
2025-10-08,,,,,,57925224.7993747
2025-10-09,,,,,,140382856.222083
2025-10-10,,,,,,398828694.301033
2025-10-11,,,,,,217987968.862044
2025-10-12,,,,,,474352815.122857
2025-10-13,,,,,,694574854.806009
2025-10-14,,,,,,34191472.1800939
2025-10-15,,,,,,27029385.8509789
2025-10-16,,,,,,25263386.8852944
2025-10-17,,,,,,40671567.2595335
2025-10-18,,,,,,16032657.4187459
2025-10-19,,,,,,14966434.9798991
2025-10-20,,,,,,30892507.2404159
2025-10-21,,,,,,35169661.2536809
2025-10-22,,,,,,19261186.808626
2025-10-23,,,,,,15858973.369129
2025-10-24,,,,,,16753233.1936744
2025-10-25,,,,,,32259929.6312243
2025-10-26,,,,,,18997940.0341389
2025-10-27,,,,,,22327137.0536182
2025-10-28,,,,,,17164597.6189788
2025-10-29,,,,,,18635301.606256
2025-10-30,,,,,,20717399.397576
2025-10-31,,,,,,15300461.4019263
2025-11-01,,,,,,7623408.48434845
2025-11-02,,,,,,9635550.70381734
2025-11-03,,,,,,15419911.2106591
2025-11-04,,,,,,24229723.509652
2025-11-05,,,,,,16736952.4779733
2025-11-06,,,,,,14773441.6103547
2025-11-07,,,,,,13877505.4067705
2025-11-08,,,,,,7210997.2423448
2025-11-09,,,,,,20190627.9452738
2025-11-10,,,,,,26911509.2409107
2025-11-11,,,,,,15700003.9137389
2025-11-12,,,,,,16015781.0711172
2025-11-13,,,,,,17902359.2297594
2025-11-14,,,,,,24965892.0532404
2025-11-15,,,,,,10829948.1411378
2025-11-16,,,,,,11452764.2012356
2025-11-17,,,,,,22705227.5153476
2025-11-18,,,,,,84253476.7675655
2025-11-19,,,,,,84162707.6844195
2025-11-20,,,,,,44316950.8578011
2025-11-21,,,,,,28326844.0053905
2025-11-22,,,,,,11646585.8215245
2025-11-23,,,,,,11822905.0883778
2025-11-24,,,,,,17337615.5365938
2025-11-25,,,,,,22333389.569403
2025-11-26,,,,,,26580229.4550893
2025-11-27,,,,,,35259899.7124358
2025-11-28,,,,,,31940451.3395388
2025-11-29,,,,,,21008254.8982968
2025-11-30,,,,,,21455077.0702561
2025-12-01,,,,,,28112092.8916488
2025-12-02,,,,,,31019407.7991904
2025-12-03,0.0213747990946921,0.000000233532835353486,0.00000711691604747691,0.0183816082583886,0.0213747990946921,35170675.0078814
2025-12-04,0.022659045001468,0.000000242060296341893,0.00000710370002508991,0.0194204442614768,0.022659045001468,17991130.5950622
2025-12-05,0.0210985502030282,0.000000228820720381458,0.00000672682346335927,0.0181231577792449,0.0210985502030282,17743407.2472468
2025-12-06,0.0217362771853551,0.000000243462337446967,0.00000719398398342034,0.0186903045257597,0.0217362771853551,10141176.3686001
2025-12-07,0.0207041037249216,0.000000232188029270355,0.00000681904898201345,0.0178025062319662,0.0207041037249216,10228492.0639618
2025-12-08,0.0192291385442967,0.000000213496148731195,0.00000630857457265535,0.0165231551874143,0.0192291385442967,14086227.9462924
2025-12-09,0.0196517422465423,0.000000216731672504926,0.00000628826505774977,0.0168907778461533,0.0196517422465423,
