time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2022-04-02,,,,,,,12928416.1388428
2022-04-03,,,,,,,12809441.3700582
2022-04-04,,,,,,,7790762.07415021
2022-04-05,,,,,,,4810307.20087814
2022-04-06,,,,,,,4698867.57571228
2022-04-07,,,,,,,21661923.5100715
2022-04-08,,,,,,,24884641.1619803
2022-04-09,,,,,,,16988047.9989261
2022-04-10,,,,,,,26219932.6654622
2022-04-11,,,,,,,4384727.47013435
2022-04-12,1517651695.076667188083477678828342802155268,,,,,,2358096.76703456
2022-04-13,1734398561.495242050993054978825442576078535,,,,,,3417120.38590176
2022-04-14,1691535519.11339602518164562471565979623165,,,,,,6380979.03367409
2022-04-15,1657571310.812139501940313622772922173590876,,,,,,7125711.13511987
2022-04-16,1698362848.060064886267850629324037608598575,,,,,,3362484.41677299
2022-04-17,1877463229.32080626601197157100779012139567,,,,,,2839968.08713858
2022-04-18,1776640212.789055272986661880997496039045605,,,,,,3175001.39388388
2022-04-19,1867851904.57258849570718396467016851196583,,,,,,4912457.34931403
2022-04-20,1740505399.29323248392849973844729543086123,,,,,,5251878.55896528
2022-04-21,1668921926.823510193258024873933417249899599,,,,,,2702767.93769139
2022-04-22,1642896707.9532174407424369903566623581644105,,,,,,2058492.45933115
2022-04-23,1682598918.8638959352713094212678758790886375,,,,,,3217101.39155345
2022-04-24,1610209247.2062144295270480369646399405221385,,,,,,3877348.65541196
2022-04-25,1599815186.358181837351055004625071827755082,,,,,,3083709.02873079
2022-04-26,1423816335.5208381078617849995270528175138145,,,,,,2272877.42456578
2022-04-27,1560579175.1237457751285559816466368172736385,,,,,,1569904.58972757
2022-04-28,1475024674.8795771884105756290867532879912815,,,,,,1734429.29280112
2022-04-29,1467577808.8930792165223824335994983834308505,,,,,,2096071.04152674
2022-04-30,1406234601.0994312484513100972935266999200775,,,,,,4326052.93068919
2022-05-01,1356920764.825037691951755772858629541663171,,,,,,4772818.26921447
2022-05-02,1391306991.8366326300382893517561000119598635,,,,,,2893528.84481513
2022-05-03,1432633182.6516805963167163950289462789743155,,,,,,2905548.45096694
2022-05-04,1500997783.6834683226914734186600950755315385,,,,,,9116828.4148513
2022-05-05,1336564294.9487981956818532659217020649223655,,,,,,22554825.5891668
2022-05-06,1395144262.8282709932357492963734081563869975,,,,,,13476127.0057258
2022-05-07,1442614773.439867801766332560447666184759753,,,,,,12347646.8602053
2022-05-08,1366050689.464699386121963389814823672674354,,,,,,25904066.5576014
