time,volume_reported_spot_usd_1d
2023-04-24,25312.8636956396
2023-04-25,15011.020754313
2023-04-26,13632.8898014869
2023-04-27,15088.3658195096
2023-04-28,14637.1465398266
2023-04-29,12336.540470573
2023-04-30,17185.9655260689
2023-05-01,12031.0904149213
2023-05-02,21329.6588534187
2023-05-03,14168.3769071342
2023-05-04,30527.2662265565
2023-05-05,17185.3727283252
2023-05-06,15052.1402453165
2023-05-07,11793.3089512303
2023-05-08,21736.7533873081
2023-05-09,15862.0379549817
2023-05-10,14248.7315445049
2023-05-11,14022.5566096097
2023-05-12,9508.77533685979
2023-05-13,10665.332065681
2023-05-14,8626.74935956826
2023-05-15,8859.26584425926
2023-05-16,10625.5302777632
2023-05-17,17225.8072178754
2023-05-18,14151.7531856312
2023-05-19,7970.26690047876
2023-05-20,5817.82210608017
2023-05-21,7388.69728885706
2023-05-22,15529.7978978831
2023-05-23,22844.8320143573
2023-05-24,15514.582701778
2023-05-25,13505.0363431363
2023-05-26,47859.8559146987
2023-05-27,108282.624937663
2023-05-28,32122.5468309928
2023-05-29,22256.9531396936
2023-05-30,14502.5608676296
2023-05-31,17126.1263765083
2023-06-01,13226.4237896707
2023-06-02,8855.97689957188
2023-06-03,11425.7780794277
2023-06-04,27378.1320767565
2023-06-05,70513.7765366838
2023-06-06,64370.848501892
2023-06-07,149745.75079633
2023-06-08,97612.0866923581
2023-06-09,50460.2239901758
2023-06-10,55423.7579275511
2023-06-11,137922.464262929
2023-06-12,64560.6716280494
2023-06-13,103386.695256411
2023-06-14,54905.0062818779
2023-06-15,42965.0315116917
2023-06-16,40988.1580441344
2023-06-17,47532.4361455207
2023-06-18,23655.4728923435
2023-06-19,32251.4701971482
2023-06-20,28810.6450920278
2023-06-21,27008.0453535362
2023-06-22,43106.6049776872
2023-06-23,117821.5642671
2023-06-24,40871.5193068245
2023-06-25,39915.0169599328
2023-06-26,29652.7837042753
2023-06-27,26073.3517767177
2023-06-28,25871.5799935371
2023-06-29,28542.455534124
2023-06-30,38685.5373206014
2023-07-01,29797.8709254743
2023-07-02,32082.7481670476
2023-07-03,32051.8908331555
2023-07-04,38262.5411715222
2023-07-05,33182.426513112
2023-07-06,36515.0205230636
2023-07-07,29771.2218459156
2023-07-08,20605.9455151376
2023-07-09,14390.7306806803
2023-07-10,23709.4589927149
2023-07-11,23313.6587979731
2023-07-12,25913.6255510327
2023-07-13,38560.5169989603
2023-07-14,42963.6794004147
2023-07-15,29518.6444589903
2023-07-16,24494.7608104539
2023-07-17,24268.059435669
2023-07-18,26813.4453590807
2023-07-19,31570.271590093
2023-07-20,29065.3557168089
2023-07-21,31856.6552027592
2023-07-22,33197.9472096374
2023-07-23,33494.6514253468
2023-07-24,36725.3306802159
2023-07-25,22771.7869921779
2023-07-26,27222.5124139937
2023-07-27,20213.4120786096
2023-07-28,35900.4670981388
2023-07-29,32188.2171845278
2023-07-30,20246.2850233707
2023-07-31,28749.9754935992
2023-08-01,38099.9913368449
2023-08-02,28464.236324414
2023-08-03,30006.5550346275
2023-08-04,38080.3886037019
2023-08-05,23464.635994716
2023-08-06,22396.5149191465
2023-08-07,46801.8968822515
2023-08-08,42692.4440734299
2023-08-09,97673.9443036866
2023-08-10,31356.220093024
2023-08-11,97513.2326001239
2023-08-12,34151.7509225532
2023-08-13,19397.152322606
2023-08-14,33827.2027758601
2023-08-15,52508.8422354971
2023-08-16,13573.8201707508
2023-08-17,16774.7100243404
2023-08-18,17326.1571741116
2023-08-19,15468.7993542695
2023-08-20,16153.0275046922
2023-08-21,21931.4635452265
2023-08-22,21498.7151856974
2023-08-23,24311.3343543253
2023-08-24,17011.7912741306
2023-08-25,22438.3625891696
2023-08-26,25762.3159455169
2023-08-27,24991.7977293568
2023-08-28,23309.4509173894
2023-08-29,36271.3005773659
2023-08-30,43792.1484326368
2023-08-31,28555.5040672924
2023-09-01,21513.8671311583
2023-09-02,23828.7145076578
2023-09-03,22022.0996248758
2023-09-04,28937.2192527261
2023-09-05,16644.6692777597
2023-09-06,26248.7494543768
2023-09-07,29508.7021740972
2023-09-08,33371.669788023
2023-09-09,35626.0666166929
2023-09-10,36196.4226025745
2023-09-11,51417.2199697411
2023-09-12,66490.9921195593
2023-09-13,71270.5674078897
2023-09-14,69789.1865387944
2023-09-15,75449.4242739717
2023-09-16,69825.8874233362
2023-09-17,54092.2394001536
2023-09-18,42343.4197963553
2023-09-19,66466.7481013171
2023-09-20,35671.6987634185
2023-09-21,43159.0831916883
2023-09-22,95659.6318648778
2023-09-23,66171.5155646037
2023-09-24,21842.3334667787
2023-09-25,47267.3423125097
2023-09-26,69677.3374443575
2023-09-27,59802.9428279885
2023-09-28,73808.2900762393
2023-09-29,62162.0906775379
2023-09-30,62223.8543227767
2023-10-01,45780.9144372065
2023-10-02,90388.9290112254
2023-10-03,65193.3445673288
2023-10-04,55627.567225659
2023-10-05,46009.287115685
2023-10-06,78433.6797992598
2023-10-07,77270.6321845391
2023-10-08,79279.1946132837
2023-10-09,81396.8988235215
2023-10-10,63943.2036344309
2023-10-11,66043.9418901137
2023-10-12,72597.9902601371
2023-10-13,72995.9187248995
2023-10-14,62141.6899835241
2023-10-15,46543.2825962569
2023-10-16,74108.237921892
2023-10-17,78957.2339589528
2023-10-18,70744.2785750299
2023-10-19,66802.2854839955
2023-10-20,70226.289501495
2023-10-21,58696.4036360464
2023-10-22,30677.910570331
2023-10-23,42851.2842020082
2023-10-24,246529.106342104
2023-10-25,78185.7331435975
2023-10-26,249646.39093471
2023-10-27,148757.074689306
2023-10-28,131202.512000343
2023-10-29,135312.593355626
2023-10-30,155699.49723729
2023-10-31,125261.14121276
2023-11-01,78652.2934924048
2023-11-02,116779.75169813
2023-11-03,130918.46200323
2023-11-04,109309.13458182
2023-11-05,163167.79165234
2023-11-06,114008.714327347
2023-11-07,235682.4167916
2023-11-08,298836.546232559
2023-11-09,387306.982884814
2023-11-10,205309.859318168
2023-11-11,155141.327797413
2023-11-12,101103.735798715
2023-11-13,107849.859499988
2023-11-14,91771.1756040188
2023-11-15,133153.468776895
2023-11-16,160500.020153268
2023-11-17,103580.240965471
2023-11-18,63558.7236970348
2023-11-19,56876.484566534
2023-11-20,70642.6862020022
2023-11-21,61030.8680367806
2023-11-22,72475.6694873578
2023-11-23,45704.895340344
2023-11-24,51564.1694182686
2023-11-25,51382.1374430374
2023-11-26,50332.2702364325
2023-11-27,87861.8338817045
2023-11-28,93555.5936631219
2023-11-29,114137.879844817
2023-11-30,92943.9186716775
2023-12-01,84800.6366783425
2023-12-02,108030.297093255
2023-12-03,84094.9720704752
2023-12-04,107096.428975701
2023-12-05,79448.1361633043
2023-12-06,94093.8612323669
2023-12-07,100170.941999395
2023-12-08,124087.037099608
2023-12-09,64028.7196744703
2023-12-10,69621.3414968441
2023-12-11,93420.1781706814
2023-12-12,88741.3511533955
2023-12-13,102970.133840445
2023-12-14,87612.7471307334
2023-12-15,87439.1343978378
2023-12-16,64455.9026975952
2023-12-17,99835.4917995902
2023-12-18,92510.7367488774
2023-12-19,98560.5007552706
2023-12-20,99282.3515419299
2023-12-21,230605.067276099
2023-12-22,106226.545348832
2023-12-23,168949.716800181
2023-12-24,131487.623559981
2023-12-25,130706.05204667
2023-12-26,146224.138685156
2023-12-27,137536.634150068
2023-12-28,136535.641522353
2023-12-29,98061.0726687616
2023-12-30,116600.463118052
2023-12-31,55349.6858969877
2024-01-01,70841.1004053064
2024-01-02,144291.583572804
2024-01-03,167584.401220367
2024-01-04,137974.879388479
2024-01-05,134012.288757604
2024-01-06,114998.994868038
2024-01-07,106736.837915257
2024-01-08,83183.6918590114
2024-01-09,128395.608164412
2024-01-10,107825.263757357
2024-01-11,131576.885110131
2024-01-12,119976.106338328
2024-01-13,111531.334942807
2024-01-14,104045.056433635
2024-01-15,96695.3653551799
2024-01-16,90660.2261477434
