time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-07-30,,,,,,752606.571625351
2025-07-31,,,,,,758103.320727498
2025-08-01,,,,,,1342354.16540965
2025-08-02,,,,,,970124.314093182
2025-08-03,,,,,,1125487.34701138
2025-08-04,,,,,,1535875.34672809
2025-08-05,,,,,,2237254.5757532
2025-08-06,,,,,,1533358.37281522
2025-08-07,,,,,,1289601.17520041
2025-08-08,,,,,,425829.239079143
2025-08-09,,,,,,943219.240585524
2025-08-10,,,,,,6702753.80526825
2025-08-11,,,,,,8395398.39057039
2025-08-12,,,,,,5065188.46148165
2025-08-13,,,,,,17389492.3166563
2025-08-14,,,,,,15757442.9060596
2025-08-15,,,,,,36415285.0492857
2025-08-16,,,,,,27031747.9326709
2025-08-17,,,,,,19853996.912462
2025-08-18,,,,,,27715580.6911518
2025-08-19,,,,,,17631287.9777383
2025-08-20,,,,,,13705754.6037969
2025-08-21,,,,,,5720838.68027546
2025-08-22,,,,,,12676644.754677
2025-08-23,,,,,,25131601.5569755
2025-08-24,,,,,,11420431.2986179
2025-08-25,,,,,,13898407.7408804
2025-08-26,,,,,,5706932.82498134
2025-08-27,,,,,,3228586.31530127
2025-08-28,,,,,,2650091.66619764
2025-08-29,,,,,,4141529.7792878
2025-08-30,,,,,,2888219.23933326
2025-08-31,,,,,,1807845.67103817
2025-09-01,,,,,,4953577.71873544
2025-09-02,,,,,,1609115.97799541
2025-09-03,,,,,,2607038.48462356
2025-09-04,,,,,,2526065.34408679
2025-09-05,,,,,,1449880.10724016
2025-09-06,,,,,,1398780.19517983
2025-09-07,,,,,,5203291.98967546
2025-09-08,,,,,,24323758.787929
2025-09-09,,,,,,6910670.31880001
2025-09-10,,,,,,14397177.1186765
2025-09-11,,,,,,6605246.54113497
2025-09-12,,,,,,3163607.68315865
2025-09-13,,,,,,3813865.31166107
2025-09-14,,,,,,1835330.47665006
2025-09-15,,,,,,3241787.76494875
2025-09-16,,,,,,1203923.66791998
2025-09-17,,,,,,1084396.70600541
2025-09-18,,,,,,2900987.55495396
2025-09-19,,,,,,1819781.30430202
2025-09-20,,,,,,2377302.72270453
2025-09-21,,,,,,1328593.62820052
2025-09-22,,,,,,2581330.69531036
2025-09-23,,,,,,1228204.21733029
2025-09-24,,,,,,1675362.36100334
2025-09-25,,,,,,1370944.28092678
2025-09-26,,,,,,698380.928067853
2025-09-27,,,,,,608258.055870135
2025-09-28,,,,,,812613.318702883
2025-09-29,,,,,,533754.726860875
2025-09-30,,,,,,961798.614085883
2025-10-01,,,,,,598681.793137593
2025-10-02,,,,,,1108616.15921766
2025-10-03,,,,,,872367.167342002
2025-10-04,,,,,,598583.296104541
2025-10-05,,,,,,757398.084672951
2025-10-06,,,,,,1096319.44286761
2025-10-07,,,,,,890074.683108094
2025-10-08,,,,,,445522.421141306
2025-10-09,,,,,,561645.660053174
2025-10-10,,,,,,1968463.49316444
2025-10-11,,,,,,1279576.6430591
2025-10-12,,,,,,923506.079009255
2025-10-13,,,,,,1350659.9008106
2025-10-14,,,,,,990637.696990778
2025-10-15,,,,,,3715228.76548035
2025-10-16,,,,,,2341191.87205908
2025-10-17,,,,,,1415249.10871306
2025-10-18,,,,,,724371.346848921
2025-10-19,,,,,,386071.893899084
2025-10-20,,,,,,846216.242971637
2025-10-21,,,,,,599287.444843615
2025-10-22,,,,,,584420.095256587
2025-10-23,,,,,,339031.559198914
2025-10-24,,,,,,636263.707380589
2025-10-25,,,,,,2027831.00513543
2025-10-26,,,,,,820841.775802137
2025-10-27,0.00725927253344827,0.0000000633681587982246,0.00000174239454946623,0.00623592330468956,0.00725927253344827,712703.308130023
2025-10-28,0.00728845736220066,0.000000063884648802533,0.00000176950915953166,0.00625406632059859,0.00728845736220066,976192.199387102
2025-10-29,0.00725652641258231,0.0000000642280258632425,0.0000018212492057715,0.00623099934608452,0.00725652641258231,1608633.70563216
2025-10-30,0.00733691682413134,0.0000000665743576337337,0.00000187988969465523,0.00632346062631317,0.00733691682413134,749949.846598488
2025-10-31,0.00677845647620001,0.0000000627520256034053,0.00000178800027815347,0.00586244703183626,0.00677845647620001,223562.998503551
2025-11-01,0.00669633219974402,0.00000006112344189052,0.0000017387898851136,0.00579962623098186,0.00669633219974402,6112807.07911317
2025-11-02,0.00558580626339278,0.0000000507776122954833,0.00000144272804615472,0.00483594938039283,0.00558580626339278,
