time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-09-25,,,,,,3955883223.89871
2025-09-26,,,,,,3356463522.42339
2025-09-27,,,,,,2602945511.85948
2025-09-28,,,,,,1832270078.18072
2025-09-29,,,,,,1756405328.36586
2025-09-30,,,,,,1773834128.85679
2025-10-01,,,,,,2036240384.05887
2025-10-02,,,,,,1333515569.04821
2025-10-03,,,,,,1348299145.09936
2025-10-04,,,,,,1482418165.96221
2025-10-05,,,,,,1789887196.79619
2025-10-06,,,,,,2874551776.33945
2025-10-07,,,,,,5071335211.7464
2025-10-08,,,,,,5239860783.27544
2025-10-09,,,,,,3593650089.27154
2025-10-10,,,,,,971658597.839853
2025-10-11,,,,,,618025322.359942
2025-10-12,,,,,,755154652.856414
2025-10-13,,,,,,510148647.059451
2025-10-14,,,,,,648963590.946377
2025-10-15,,,,,,822861312.23235
2025-10-16,,,,,,555065606.059316
2025-10-17,,,,,,425643829.772067
2025-10-18,,,,,,195143799.944761
2025-10-19,,,,,,174087756.231991
2025-10-20,,,,,,238899497.695311
2025-10-21,,,,,,277550901.697246
2025-10-22,,,,,,290487765.225579
2025-10-23,,,,,,173015005.324528
2025-10-24,,,,,,216952928.612616
2025-10-25,,,,,,107925870.276188
2025-10-26,,,,,,168385494.813469
2025-10-27,,,,,,205808774.231937
2025-10-28,0.349759923514817,0.0000030657090751229,0.0000849155531191432,0.300121363032669,0.349759923514817,186301150.351284
2025-10-29,0.371080061233785,0.00000328445573200576,0.000093133991165226,0.318637249756788,0.371080061233785,176685366.783461
2025-10-30,0.334736736256116,0.00000303736347662656,0.0000857673810395011,0.288499191504291,0.334736736256116,242636674.7349
2025-10-31,0.296232430920527,0.00000274239204086547,0.0000781392741465105,0.256200942129121,0.296232430920527,135282647.620708
2025-11-01,0.30389234425955,0.00000277389853000909,0.000078909605826032,0.263198114817187,0.30389234425955,76860076.3007848
2025-11-02,0.302410614898887,0.00000274905505728146,0.0000781080214737908,0.261814025905046,0.302410614898887,176235031.966587
2025-11-03,0.26578438789193,0.00000240770350205026,0.0000682729560072314,0.230438553382202,0.26578438789193,
