time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2022-03-14,1149056870.2789573737203897097,,,,,,129399.261014979
2022-03-15,1157169421.553571408102276414,,,,,,362583.811896561
2022-03-16,1219441769.6050758957201764973,,,,,,187234.737954071
2022-03-17,1265437476.9038886735540814601,,,,,,214471.079565008
2022-03-18,1260913026.6532350591563802392,,,,,,141359.772366936
2022-03-19,1201446058.2076738525513654935,,,,,,445240.53380886
2022-03-20,1205912252.4535092181365299676,,,,,,98717.7340720907
2022-03-21,1256759197.8446861620589309292,,,,,,219727.34732817
2022-03-22,1428366519.1190262460045778125,,,,,,398799.659199315
2022-03-23,1620716965.090443749734236711,,,,,,456048.127848652
2022-03-24,1435075677.480190044042179418,,,,,,320996.327670046
2022-03-25,1454353648.2626017482317247598,,,,,,204777.003706173
2022-03-26,1448033004.017612801872270824,,,,,,109112.546153774
2022-03-27,1553134027.685313311860349163,,,,,,154212.39193997
2022-03-28,1543939761.7565559538548155893,,,,,,349517.433562997
2022-03-29,1538189667.39549610796638044,,,,,,374938.718048053
2022-03-30,1556193570.7296967041428765151,,,,,,493154.831903659
2022-03-31,1438627012.614396093647281172,,,,,,385838.151252694
2022-04-01,1481469785.93919361438573042,,,,,,275067.03746501
2022-04-02,1448504189.0811306276519669984,,,,,,195444.723444337
2022-04-03,1490365459.8036329550901928542,,,,,,201232.551212713
2022-04-04,1474796159.8406680876356180034,,,,,,273840.486282346
2022-04-05,1408705476.4738593759323062676,,,,,,175815.526896297
2022-04-06,1295763112.8203141589692646474,,,,,,458635.533405578
2022-04-07,1370495336.6375468471753149335,,,,,,347173.826258993
2022-04-08,1364284053.83963133400002744,,,,,,716795.613753031
2022-04-09,1376576163.194004212553190224,,,,,,245374.767798316
2022-04-10,1361852754.2066989337017837824,,,,,,174625.480580342
2022-04-11,1307468134.694677101934289284,,,,,,423831.475377343
2022-04-12,1309384808.5614842298773238806,,,,,,224502.840391443
2022-04-13,1353286814.5339800860031007803,,,,,,313587.714105368
2022-04-14,1336461466.4026688590182753264,,,,,,230708.308591903
2022-04-15,1363402079.8825971332868741744,,,,,,289410.320396548
2022-04-16,1366157068.3231549771416355316,,,,,,251891.721039697
2022-04-17,1387532355.375707180487905806,,,,,,245173.623321048
2022-04-18,1387251529.2663272132009799824,,,,,,639784.984820746
2022-04-19,1344636053.8115354187639071464,,,,,,193005.984789775
2022-04-20,1309057979.0094606961989440405,,,,,,301142.770874094
2022-04-21,1303554196.4759056370666263071,,,,,,220610.164820967
2022-04-22,1273676052.1204452540475142112,,,,,,228428.316456252
2022-04-23,1263730206.9675805930572559369,,,,,,165563.717995805
2022-04-24,1286523200.3008444950379722275,,,,,,150427.245508019
2022-04-25,1230668142.4156383228891079757,,,,,,285723.588642859
2022-04-26,1235283737.8790855487515145888,,,,,,292925.888260715
2022-04-27,1246837844.771912075830263402,,,,,,262828.40723285
2022-04-28,1210935608.7612375822682640721,,,,,,285443.567365991
2022-04-29,1135915485.6948214910517353487,,,,,,270434.321440953
2022-04-30,1121885612.248946016399835801,,,,,,193129.890342804
2022-05-01,1119255161.066006143541335776,,,,,,287226.975070533
2022-05-02,1092244729.0981456016871902138,,,,,,236709.136621087
2022-05-03,1118549524.370588930014740224,,,,,,275662.872899512
2022-05-04,1228609337.5207267347012658014,,,,,,248793.846768414
2022-05-05,1124424318.609799833188139604,,,,,,403232.006640703
2022-05-06,1176269590.6318265200881630987,,,,,,195328.545993105
2022-05-07,1114464470.6961938452084910855,,,,,,234914.540598808
2022-05-08,1094497032.525288548680458984,,,,,,465554.100079073
2022-05-09,959013447.13650256727618510777,,,,,,881484.901615161
2022-05-10,1007799810.9725707805512769061,,,,,,785780.498789698
2022-05-11,864959300.9597205013755771428,,,,,,704995.885037153
2022-05-12,778627499.85120471428405528481,,,,,,903132.087412186
2022-05-13,870602658.96442365248089590624,,,,,,504598.320372957
2022-05-14,876047354.53249320252881780625,,,,,,240901.361713379
2022-05-15,903368287.003948889809195071,,,,,,109716.808260686
2022-05-16,863543569.16241877280146329546,,,,,,118475.850631438
2022-05-17,861393261.48728129399456196824,,,,,,95013.2972066436
2022-05-18,831883397.9792486022769426824,,,,,,165001.022105183
2022-05-19,833004817.85164045341273305088,,,,,,87873.1394958585
2022-05-20,826791569.197737556707749997,,,,,,273423.07474701
2022-05-21,825909197.3836818895822362556,,,,,,35508.5337132158
2022-05-22,856465083.7082355532506062073,,,,,,71164.3820853969
2022-05-23,887989844.2790204019472844832,,,,,,301280.495221456
2022-05-24,874996622.3260202566995684021,,,,,,245780.128346229
2022-05-25,881174200.6346419819523555188,,,,,,109859.833945219
2022-05-26,861974605.17495401705732257398,,,,,,142917.106915602
2022-05-27,814643587.25034387508281066768,,,,,,329845.174634829
2022-05-28,798521835.8169021693681380943,,,,,,39784.8284656108
2022-05-29,818138910.93115791591916580608,,,,,,69377.8869578261
2022-05-30,862455522.21294679547518460752,,,,,,135002.505247633
2022-05-31,860145186.29233766628554783325,,,,,,155877.31795151
2022-06-01,837413877.24344962330876457424,,,,,,231279.313608425
2022-06-02,821440480.4284517897507009029,,,,,,352805.883571355
2022-06-03,819646567.45172675260883534919,,,,,,217830.045637557
2022-06-04,816871500.0984042626337455802,,,,,,73627.5239829648
2022-06-05,799402623.55766448597858365412,,,,,,274289.733754747
2022-06-06,803637197.04556390086030059314,,,,,,273102.998802694
2022-06-07,730857472.17251723700262084356,,,,,,473270.625384081
2022-06-08,780164823.51075035590108809688,,,,,,351184.292613057
2022-06-09,783223514.33684329433783127786,,,,,,152783.574387179
2022-06-10,764008420.50784136487139296616,,,,,,108448.96478767
2022-06-11,724748071.25350723511254314312,,,,,,330231.305762069
2022-06-12,690891580.58424842296707077259,,,,,,219342.253548254
2022-06-13,603153466.11835954100047482472,,,,,,344909.437150356
2022-06-14,617430032.12704950577697932016,,,,,,243445.013924848
2022-06-15,684445778.18186364245927613638,,,,,,389798.170045088
2022-06-16,606621405.9031335151757681482,,,,,,376808.894143576
2022-06-17,629582388.52401334437199678306,,,,,,68894.0554673119
2022-06-18,613559158.80631243875620227067,,,,,,156419.946946396
2022-06-19,678913779.7914234940739466887,,,,,,205937.017933103
2022-06-20,669252061.9373764340140624066,,,,,,122149.589782593
2022-06-21,667325032.02357340189563771005,,,,,,94956.0997216883
2022-06-22,623133683.45729379198072366396,,,,,,80726.0221110292
2022-06-23,651978735.14901250578495227056,,,,,,51680.9834377444
2022-06-24,682302466.91204182057771122944,,,,,,90346.8505215132
2022-06-25,663276823.21412640991179177408,,,,,,77461.4916538529
2022-06-26,670073079.88065197438520852156,,,,,,42614.2619318298
2022-06-27,660301337.0364555937728371254,,,,,,170106.96078468
2022-06-28,643230843.86663429461373252662,,,,,,58494.014213866
2022-06-29,642912400.26840091504777148994,,,,,,173474.631223368
2022-06-30,635761900.5105332486947431816,,,,,,113379.887383739
2022-07-01,624818919.48088094126248740626,,,,,,56186.9314794304
2022-07-02,608935865.53488041639746688816,,,,,,91482.0810448057
2022-07-03,601834015.85070194389789516868,,,,,,65431.9505911939
2022-07-04,612378964.59061013103947415972,,,,,,61716.154903615
2022-07-05,624603705.62775359683618465952,,,,,,77885.9069742675
2022-07-06,620891600.19883768180339605675,,,,,,33871.0840669989
2022-07-07,641815935.1690757934725908083,,,,,,86073.018121208
2022-07-08,636639388.54696076053114822768,,,,,,105259.11371638
