time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-07-30,,,,,,371640.643052057
2025-07-31,,,,,,630358.210310033
2025-08-01,,,,,,848604.828491283
2025-08-02,,,,,,595082.837390432
2025-08-03,,,,,,830583.529649453
2025-08-04,,,,,,809496.165898422
2025-08-05,,,,,,1375530.6369063
2025-08-06,,,,,,644643.256262107
2025-08-07,,,,,,16115777.4721114
2025-08-08,,,,,,17901454.7973406
2025-08-09,,,,,,10532498.5093481
2025-08-10,,,,,,4971542.31035753
2025-08-11,,,,,,4235557.60469437
2025-08-12,,,,,,5989423.88083082
2025-08-13,,,,,,4558236.9389551
2025-08-14,,,,,,2984324.6484291
2025-08-15,,,,,,1925009.52057888
2025-08-16,,,,,,1717879.11791484
2025-08-17,,,,,,2517053.99053862
2025-08-18,,,,,,2370961.23953323
2025-08-19,,,,,,2600138.37981949
2025-08-20,,,,,,1358827.5675871
2025-08-21,,,,,,2017403.15890142
2025-08-22,,,,,,2183175.85471064
2025-08-23,,,,,,1475585.0160518
2025-08-24,,,,,,1672226.04686022
2025-08-25,,,,,,1934978.22245476
2025-08-26,,,,,,980486.319053651
2025-08-27,,,,,,1002935.96425682
2025-08-28,,,,,,1027667.06510888
2025-08-29,,,,,,1433268.66640961
2025-08-30,,,,,,1067144.40249881
2025-08-31,,,,,,1551572.73805821
2025-09-01,,,,,,1937297.93688073
2025-09-02,,,,,,1091901.14481371
2025-09-03,,,,,,818641.373845713
2025-09-04,,,,,,1162855.77434323
2025-09-05,,,,,,1626730.73152011
2025-09-06,,,,,,993945.401176808
2025-09-07,,,,,,4591382.36427588
2025-09-08,,,,,,4914985.93791015
2025-09-09,,,,,,1769284.10261768
2025-09-10,,,,,,971226.935108133
2025-09-11,,,,,,4268241.92885389
2025-09-12,,,,,,779630.028224581
2025-09-13,,,,,,3940320.01539275
2025-09-14,,,,,,1710436.92451944
2025-09-15,,,,,,1256591.20135325
2025-09-16,,,,,,443434.936000215
2025-09-17,,,,,,1094554.58197245
2025-09-18,,,,,,717350.825935915
2025-09-19,,,,,,855272.686291959
2025-09-20,,,,,,314207.786331066
2025-09-21,,,,,,641692.083367106
2025-09-22,,,,,,1480417.40132019
2025-09-23,,,,,,739042.130081566
2025-09-24,,,,,,587965.881122551
2025-09-25,,,,,,754407.283761265
2025-09-26,,,,,,619319.067051303
2025-09-27,,,,,,208313.887948324
2025-09-28,,,,,,536676.827702958
2025-09-29,,,,,,259516.853746067
2025-09-30,,,,,,406387.084097792
2025-10-01,,,,,,570408.641867078
2025-10-02,,,,,,643364.324116776
2025-10-03,,,,,,690233.598910951
2025-10-04,,,,,,445754.106852411
2025-10-05,,,,,,287432.455137969
2025-10-06,,,,,,731393.519566536
2025-10-07,,,,,,504034.10844387
2025-10-08,,,,,,597645.953199891
2025-10-09,,,,,,910477.397339011
2025-10-10,,,,,,1551431.39007878
2025-10-11,,,,,,1189515.97736062
2025-10-12,,,,,,792987.795127574
2025-10-13,,,,,,981698.72201744
2025-10-14,,,,,,251376.472992636
2025-10-15,,,,,,328600.472452059
2025-10-16,,,,,,527174.805150779
2025-10-17,,,,,,908156.157414287
2025-10-18,,,,,,579506.135301605
2025-10-19,,,,,,344369.085722094
2025-10-20,,,,,,326471.091670451
2025-10-21,,,,,,470609.451669818
2025-10-22,,,,,,964472.997745383
2025-10-23,,,,,,894329.306910164
2025-10-24,,,,,,838989.052924328
2025-10-25,,,,,,474138.374046406
2025-10-26,,,,,,1678870.1795322
2025-10-27,,,,,,1716018.13174783
2025-10-28,,,,,,808905.874461914
2025-10-29,,,,,,945478.530273284
2025-10-30,,,,,,411555.745510288
2025-10-31,,,,,,430811.904673381
2025-11-01,,,,,,331604.443544771
2025-11-02,,,,,,500905.949483465
2025-11-03,,,,,,490701.514649873
2025-11-04,,,,,,660147.805461505
2025-11-05,,,,,,224235.258952726
2025-11-06,,,,,,1092140.93437094
2025-11-07,,,,,,740895.474302763
2025-11-08,,,,,,686882.95081125
2025-11-09,,,,,,890610.161524636
2025-11-10,,,,,,513733.982806996
2025-11-11,,,,,,654073.417885781
2025-11-12,,,,,,249824.458184634
2025-11-13,,,,,,1098456.61073823
2025-11-14,,,,,,734766.947617383
2025-11-15,,,,,,187568.674054738
2025-11-16,,,,,,277728.421546194
2025-11-17,,,,,,459944.270852021
2025-11-18,,,,,,975215.48771296
2025-11-19,,,,,,1179912.83055479
2025-11-20,,,,,,937396.762065033
2025-11-21,,,,,,752088.266801158
2025-11-22,,,,,,452139.48836762
2025-11-23,,,,,,702390.535915215
2025-11-24,,,,,,2655414.80727584
2025-11-25,,,,,,4466789.84419627
2025-11-26,,,,,,2265809.3997266
2025-11-27,,,,,,3248124.99367297
2025-11-28,,,,,,2329137.58854386
2025-11-29,,,,,,707000.774968831
2025-11-30,,,,,,576227.115189695
2025-12-01,,,,,,2166789.68317279
2025-12-02,,,,,,2259694.58944525
2025-12-03,,,,,,867151.291800183
2025-12-04,,,,,,371333.534453324
2025-12-05,,,,,,371318.348448644
2025-12-06,,,,,,479571.278991871
2025-12-07,,,,,,245708.84024683
2025-12-08,,,,,,238058.295981186
2025-12-09,,,,,,234271.575787297
2025-12-10,,,,,,274446.430628463
2025-12-11,,,,,,2338579.27557468
2025-12-12,,,,,,1120275.45452508
2025-12-13,,,,,,382003.447724254
2025-12-14,,,,,,228597.56527984
2025-12-15,,,,,,287996.645625723
2025-12-16,,,,,,290190.263662728
2025-12-17,,,,,,262187.286666117
2025-12-18,,,,,,370620.454586
2025-12-19,,,,,,381412.149549026
2025-12-20,,,,,,167408.220972398
2025-12-21,,,,,,327331.332353923
2025-12-22,,,,,,208874.51042935
2025-12-23,,,,,,217093.384019783
2025-12-24,,,,,,345427.950202529
2025-12-25,,,,,,451614.183463997
2025-12-26,,,,,,496235.627351376
2025-12-27,,,,,,324111.945986441
2025-12-28,,,,,,353781.942344953
2025-12-29,,,,,,462297.751322914
2025-12-30,,,,,,806229.528495903
2025-12-31,,,,,,592670.678971794
2026-01-01,,,,,,190601.691249005
2026-01-02,,,,,,367626.882227535
2026-01-03,,,,,,583737.004447459
2026-01-04,,,,,,441868.900896623
2026-01-05,,,,,,1546918.75888812
2026-01-06,,,,,,450923.691821105
2026-01-07,,,,,,421690.893075311
2026-01-08,,,,,,434228.650225311
2026-01-09,,,,,,161746.983470379
2026-01-10,,,,,,199741.595665522
2026-01-11,,,,,,234710.571348395
2026-01-12,,,,,,1706774.18082404
2026-01-13,,,,,,2211504.15787959
2026-01-14,,,,,,2229109.64872383
2026-01-15,,,,,,1372633.51733741
2026-01-16,,,,,,1075911.20019475
2026-01-17,,,,,,684725.148119025
2026-01-18,,,,,,559086.000929849
2026-01-19,,,,,,818599.708548127
2026-01-20,,,,,,408906.972688571
2026-01-21,,,,,,397023.888305617
2026-01-22,0.0152581824684995,0.000000170293427868366,0.0000050997015219499,0.0130713685396676,0.0152581824684995,658425.490478835
2026-01-23,0.016988550567723,0.000000190037668790425,0.00000576294690611679,0.0144547996072545,0.016988550567723,472850.86743437
2026-01-24,0.0171799761048812,0.000000192084301442746,0.00000582057440847742,0.0145326059059825,0.0171799761048812,413426.47673904
2026-01-25,0.016568551571375,0.000000185777253820483,0.00000561519794670175,0.0140167370175439,0.016568551571375,590019.07372647
2026-01-26,0.0156220393891563,0.00000018071511600359,0.00000556573203150424,0.0131683412810535,0.0156220393891563,671881.334606202
2026-01-27,0.0171523610866432,0.00000019416861368485,0.00000585368960383497,0.0144429919933329,0.0171523610866432,991992.198608094
2026-01-28,0.0185308889683097,0.000000207604861823986,0.00000613032336921678,0.0154113339473652,0.0185308889683097,
