date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee
2016-10-28,null,null,406,null,null,null,123.02365136,0.0387728,964,3089.31104813,880,null,0.0001,
2016-10-29,null,null,5366,null,null,null,349.73217668,0.25014267,8245,28788.9746053,8567,null,1.16e-05,
2016-10-30,null,null,7198,null,null,null,554.91290726,0.2590202,12549,49127.0737707,20764,null,1.159e-05,
2016-10-31,null,null,5830,null,null,null,767.92263534,0.25981363,13352,52372.6807118,31110,null,1.159e-05,
2016-11-01,11592612.4611,1564742.08739,5588,2895110.0,1599.72,4802060.0,972.24066653,0.30023121,15724,73176.4627571,35890,1254.82556709,1.159e-05,
2016-11-02,11768232.0893,1655775.227,6922,3701650.0,1326.29,3936160.0,1165.93871891,0.41087831,19183,88350.6341474,46342,1248.54285367,4.407e-05,
2016-11-03,10083564.8869,1281576.26824,6844,3728630.0,940.66,2783300.0,1369.4076097,0.55510851,20269,102690.4441,53458,857.092583974,8.708e-05,
2016-11-04,7872807.43287,1426989.75013,7208,4734940.0,887.66,2469390.0,1613.23521831,0.33327751,21782,125429.544687,67212,796.174254143,1.159e-05,
2016-11-05,2928623.06509,1132841.41265,3925,4167660.0,599.52,1984150.0,1799.58306901,0.3127255,19099,163863.301828,91492,182.917526818,0.0001,
2016-11-06,2513930.44254,1301002.5384,3185,4422370.0,504.27,2390590.0,1987.56421187,0.33259283,18802,182194.161948,99627,51.1684029675,0.0001,
2016-11-07,3517578.8349,949781.96835,3730,3436850.0,319.23,1808930.0,2216.52474988,0.31756121,19570,163844.000224,98557,213.675578964,0.0001,
2016-11-08,1459869.25512,735333.440052,3024,3035070.0,233.78,2578200.0,2400.65442837,0.25680038,17642,167121.69529,86765,93.506447725,0.0001,
2016-11-09,2609039.81376,1274044.78614,2857,5098610.0,331.69,3706020.0,2573.9037788,0.27552544,17840,175698.668923,86745,126.611555836,0.0001,
2016-11-10,2084341.09864,819439.829407,2436,4580450.0,254.94,1255400.0,2823.0773086,0.21644517,17171,213352.563567,84839,136.466990663,0.0001,
2016-11-11,1678838.98172,886738.089756,2466,4667530.0,224.67,1173130.0,3083.92528028,0.249479,17736,225900.276117,106292,146.599951921,0.0001,
2016-11-12,1507409.29727,821177.215676,2443,4372390.0,183.02,1167540.0,3188.85176279,0.56442918,19210,250962.758404,92425,173.071556237,0.0001,
2016-11-13,1255988.16676,711700.144237,2588,3875970.0,143.17,1401920.0,3479.2897819,0.97531374,20055,224999.764731,94365,197.349835985,0.0001,
2016-11-14,1284628.79871,623492.221317,2699,3594280.0,117.55,1418260.0,3670.65031568,0.62686131,18849,307449.184019,92446,172.985302231,0.0001,
2016-11-15,1015020.92137,588348.626806,2505,3600530.0,105.16,2030660.0,3946.53296927,0.61395575,18263,326567.155041,101681,133.63070292,0.0001,
2016-11-16,1211510.79234,713577.658336,2426,4190380.0,109.71,1443840.0,3966.81233667,1.33309286,20155,421672.143412,99314,222.015098991,0.0001,
2016-11-17,1145928.03285,753519.655922,3226,4107780.0,97.48,915597.0,4389.0324272,4.63911205,23261,421750.682866,103241,209.469568518,0.0001,
2016-11-18,1249188.77849,801223.986316,3087,4064910.0,87.33,1032890.0,4376.17352498,4.68496121,22924,410822.906144,101377,208.458860065,0.0001,
2016-11-19,965556.981862,622124.387779,2926,3622130.0,71.12,822655.0,4697.13650032,3.5167761,21917,418313.121573,107344,185.609904116,0.0001,
2016-11-20,866115.944356,538598.422963,2623,3632640.0,65.29,598211.0,4857.40378517,2.41914155,20068,499569.818967,112182,185.083305256,0.0001,
2016-11-21,696086.40306,390590.714752,2065,3627400.0,59.96,711312.0,5158.88574908,0.25070414,14491,446685.760074,116236,95.9522413652,0.0001,
2016-11-22,690352.823687,410881.296685,2014,3546160.0,54.01,1326320.0,5215.44288115,0.22120643,15300,451780.497652,107342,102.192871902,0.0001,
