time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2024-06-17,789756954.632914275,,,,,,,
2024-06-18,805171318.054709025,,,,,,,
2024-06-19,827222726.532122025,,,,,,,
2024-06-20,729531981.684467325,,,,,,,
2024-06-21,669085907.275686075,,,,,,,
2024-06-22,670894135.493407875,,,,,,,
2024-06-23,615481431.60028455,,,,,,,
2024-06-24,626330200.1813913,,,,,,,
2024-06-25,620571929.796895125,,,,,,,
2024-06-26,583439999.89028145,,,,,,,
2024-06-27,591123304.606555875,,,,,,,
2024-06-28,576678178.8173364,,,,,,,
2024-06-29,595296514.736934675,,,,,,,
2024-06-30,652003972.506047175,,,,,,,
2024-07-01,675252701.5223136,,,,,,,
2024-07-02,674209836.292510875,,,,,,,
2024-07-03,689502206.756802075,,,,,,,
2024-07-04,539487407.213665575,,,,,,,
2024-07-05,554981635.9678122,,,,,,,
2024-07-06,609386386.337307075,,,,,,,
2024-07-07,543630728.520350625,,,,,,,
2024-07-08,536466121.0183569,,,,,,,
2024-07-09,548541287.62261395,,,,,,,
2024-07-10,601168681.125441975,,,,,,,
2024-07-11,561158415.43420575,,,,,,,
2024-07-12,575586031.819548225,,,,,,,
2024-07-13,592821727.90090005,,,,,,,
2024-07-14,610061275.5923994,,,,,,,
2024-07-15,649718533.7224617,,,,,,,
2024-07-16,635023248.840192975,,,,,,,
2024-07-17,614231691.936478875,,,,,,,
2024-07-18,613346969.30051685,,,,,,,
2024-07-19,652859226.581771475,,,,,,,
2024-07-20,698154825.230476425,,,,,,,
2024-07-21,724506991.897386075,,,,,,,
2024-07-22,661272482.4538182,,,,,,,
2024-07-23,664263957.63433755,,,,,,,
2024-07-24,610692027.04746705,,,,,,,
2024-07-25,573832823.6471817,,,,,,,
2024-07-26,592946825.16527955,,,,,,,
2024-07-27,595574413.212107175,,,,,,,
2024-07-28,578549647.0231758,,,,,,,
2024-07-29,572310242.556324825,,,,,,,
2024-07-30,546704658.558493575,,,,,,,
2024-07-31,537456657.226239975,,,,,,,
2024-08-01,521643251.455220475,,,,,,,
2024-08-02,453859250.51501265,,,,,,,
2024-08-03,421555047.119034675,,,,,,,
2024-08-04,391038707.405980725,,,,,,,
2024-08-05,350250809.172103875,,,,,,,
2024-08-06,379623731.76377265,,,,,,,
2024-08-07,363626918.271190665,,,,,,,
2024-08-08,433615485.632532525,,,,,,,
2024-08-09,423013036.52300805,,,,,,,
2024-08-10,431147282.4786477,,,,,,,
2024-08-11,400403853.9436551,,,,,,,
2024-08-12,429908205.386937375,,,,,,,
2024-08-13,430856419.13948865,,,,,,,
2024-08-14,410081592.27441945,,,,,,,
2024-08-15,390829330.572249975,,,,,,,
2024-08-16,381934900.102292775,,,,,,,
2024-08-17,395470753.28689005,,,,,,,
2024-08-18,405637373.9895855,,,,,,,
2024-08-19,412494984.297000675,,,,,,,
2024-08-20,407441881.8449742,,,,,,,
2024-08-21,427187411.323321425,,,,,,,
2024-08-22,447495204.579545325,,,,,,,
2024-08-23,487196244.232277475,,,,,,,
2024-08-24,478839077.167402875,,,,,,,
2024-08-25,479691304.8694221,,,,,,,
2024-08-26,434371274.447164425,,,,,,,
2024-08-27,410938585.479452625,,,,,,,
2024-08-28,395665827.4822449,,,,,,,
2024-08-29,399370367.873738625,,,,,,,
2024-08-30,395532985.580706225,,,,,,,
2024-08-31,382714287.0590781,,,,,,,
2024-09-01,361502573.0438352825,,,,,,,
2024-09-02,392160633.97415205,,,,,,,
2024-09-03,362987739.63981228,,,,,,,
2024-09-04,377603650.3583463,,,,,,,
2024-09-05,371721273.5482008,,,,,,,
2024-09-06,363288063.7555063125,,,,,,,
2024-09-07,371875820.7710301,,,,,,,
2024-09-08,385880199.6879396,,,,,,,
2024-09-09,412492700.439909075,,,,,,,
2024-09-10,408765588.405152475,,,,,,,
2024-09-11,397398464.2856907,,,,,,,
2024-09-12,421667455.61585295,,,,,,,
2024-09-13,436523866.733138625,,,,,,,
2024-09-14,425642271.525613275,,,,,,,
2024-09-15,401849873.69299815,,,,,,,
2024-09-16,392297206.44384795,,,,,,,
2024-09-17,408131808.201164775,,,,,,,
2024-09-18,428012640.50618745,,,,,,,
2024-09-19,451802289.592946775,,,,,,,
2024-09-20,447591618.78880785,,,,,,,
2024-09-21,467651523.13130475,,,,,,,
2024-09-22,448089717.96113175,,,,,,,
2024-09-23,459890084.92122465,,,,,,,
2024-09-24,491864651.427339225,,,,,,,
2024-09-25,482946834.220702425,,,,,,,
2024-09-26,525031304.6306265,,,,,,,
2024-09-27,555857906.920565025,,,,,,,
2024-09-28,531409128.9744405,,,,,,,
2024-09-29,538512990.0877608,,,,,,,
2024-09-30,500492752.396807275,,,,,,,
2024-10-01,447746743.961588925,,,,,,,
2024-10-02,455831346.067486725,,,,,,,
2024-10-03,437147213.00154345,,,,,,,
2024-10-04,466495511.7562803,,,,,,,
2024-10-05,456599864.842861425,,,,,,,
2024-10-06,473479986.658565775,,,,,,,
2024-10-07,483114101.483082825,,,,,,,
2024-10-08,466701641.12417895,,,,,,,
2024-10-09,442357550.260141425,,,,,,,
2024-10-10,460152714.3214197,,,,,,,
2024-10-11,482287408.515843525,,,,,,,
2024-10-12,488163103.77051525,,,,,,,
2024-10-13,474183709.7536098,,,,,,,
2024-10-14,508812915.694449975,,,,,,,
2024-10-15,487993602.565778925,,,,,,,
2024-10-16,478670639.786095575,,,,,,,
2024-10-17,462635524.564491075,,,,,,,
2024-10-18,495141981.50063535,,,,,,,
2024-10-19,526700047.033511925,,,,,,,
2024-10-20,547712009.43459,,,,,,,
2024-10-21,525454160.0288127,,,,,,,
2024-10-22,532660754.696359275,,,,,,,
2024-10-23,501006903.2834901,,,,,,,
2024-10-24,502990099.528395675,,,,,,,
2024-10-25,460342483.64141205,,,,,,,
2024-10-26,476053967.387441625,,,,,,,
2024-10-27,475742695.430885925,,,,,,,
2024-10-28,481356443.41442385,,,,,,,
2024-10-29,503307512.711724,,,,,,,
2024-10-30,515216262.0069318,,,,,,,
2024-10-31,476712631.8761478,,,,,,,
2024-11-01,476249562.8089395,,,,,,,
2024-11-02,460564819.807030575,,,,,,,
2024-11-03,441465556.10767785,,,,,,,
2024-11-04,423702065.808391125,,,,,,,
2024-11-05,442782711.693559125,,,,,,,
2024-11-06,509360182.9432431,,,,,,,
2024-11-07,513339598.370048625,,,,,,,
2024-11-08,503833781.883204675,,,,,,,
2024-11-09,535620371.460028575,,,,,,,
2024-11-10,544031741.130402,,,,,,,
2024-11-11,561072251.187817425,,,,,,,
2024-11-12,579453142.558965675,,,,,,,
2024-11-13,532482008.3137695,,,,,,,
2024-11-14,498063860.404830825,,,,,,,
2024-11-15,530662562.951520825,,,,,,,
2024-11-16,552558958.02705885,,,,,,,
2024-11-17,531897886.922378025,,,,,,,
2024-11-18,561984443.246389275,,,,,,,
2024-11-19,529817300.630620275,,,,,,,
2024-11-20,496313872.16411595,,,,,,,
2024-11-21,549635176.02407295,,,,,,,
2024-11-22,569277599.721949125,,,,,,,
2024-11-23,608401823.569397025,,,,,,,
2024-11-24,640496148.4776141,,,,,,,
2024-11-25,638068340.84410305,,,,,,,
2024-11-26,604612331.624258475,,,,,,,
2024-11-27,665559256.919987325,,,,,,,
2024-11-28,664038223.098375825,,,,,,,
2024-11-29,688947960.354452925,,,,,,,
2024-11-30,699950576.4786339,,,,,,,
2024-12-01,798192213.553855575,,,,,,,
2024-12-02,835188662.5072788,,,,,,,
2024-12-03,831633537.605651025,,,,,,,
2024-12-04,827421254.835361725,,,,,,,
2024-12-05,844417141.200032925,,,,,,,
2024-12-06,942921038.145883125,,,,,,,
2024-12-07,968322362.974811775,,,,,,,
2024-12-08,939475342.9348413,,,,,,,
2024-12-09,768591155.698848825,,,,,,,
2024-12-10,798990789.250885875,,,,,,,
2024-12-11,876849158.4725901,,,,,,,
2024-12-12,859216597.423219875,,,,,,,
2024-12-13,849747264.367428525,,,,,,,
2024-12-14,823446298.741892175,,,,,,,
2024-12-15,846396897.074317575,,,,,,,
2024-12-16,825072878.0823249,,,,,,,
2024-12-17,768045385.056147975,,,,,,,
2024-12-18,734024009.613371925,,,,,,,
2024-12-19,650740604.490399675,,,,,,,
2024-12-20,694504305.537398475,,,,,,,
2024-12-21,628646257.10204535,,,,,,,
2024-12-22,640536617.912645475,,,,,,,
2024-12-23,737129386.3640721,,,,,,,
2024-12-24,755461369.916429925,,,,,,,
2024-12-25,781698782.862754575,,,,,,,
2024-12-26,709725373.43944005,,,,,,,
2024-12-27,703339045.32752385,,,,,,,
2024-12-28,738752351.279478375,,,,,,,
2024-12-29,704024859.384987,,,,,,,
2024-12-30,702807956.2142877,,,,,,,
2024-12-31,674932556.66733015,,,,,,,
2025-01-01,716542674.70250955,,,,,,,
2025-01-02,739450201.639082325,,,,,,,
2025-01-03,786564938.303395125,,,,,,,
2025-01-04,779890867.6341069,,,,,,,
2025-01-05,786368923.722161325,,,,,,,
2025-01-06,821685741.700532625,,,,,,,
2025-01-07,741916391.258765625,,,,,,,
2025-01-08,687869166.4511058,,,,,,,
2025-01-09,645363235.9824195,,,,,,,
