time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-04,,,,,,268684.776470612
2025-11-05,,,,,,242796.536496147
2025-11-06,,,,,,244965.360880295
2025-11-07,,,,,,262660.312964783
2025-11-08,,,,,,200360.614962096
2025-11-09,,,,,,399986.325451871
2025-11-10,,,,,,292393.959281393
2025-11-11,,,,,,271676.98245252
2025-11-12,,,,,,264389.648389897
2025-11-13,,,,,,276663.835176115
2025-11-14,,,,,,286241.200685506
2025-11-15,,,,,,313227.86523253
2025-11-16,,,,,,304928.405376725
2025-11-17,,,,,,309940.043036271
2025-11-18,,,,,,321046.434107852
2025-11-19,,,,,,349318.156751938
2025-11-20,,,,,,308916.428318883
2025-11-21,,,,,,308545.971445549
2025-11-22,,,,,,348106.913787224
2025-11-23,,,,,,340586.466326633
2025-11-24,,,,,,348862.415387004
2025-11-25,,,,,,342199.915711514
2025-11-26,,,,,,344892.520391709
2025-11-27,,,,,,354613.838993531
2025-11-28,,,,,,346615.00794269
2025-11-29,,,,,,341907.881433527
2025-11-30,,,,,,343464.782543601
2025-12-01,,,,,,370072.894646149
2025-12-02,,,,,,294213.49792513
2025-12-03,,,,,,218450.520357672
2025-12-04,,,,,,213574.938359039
2025-12-05,,,,,,195727.212115073
2025-12-06,,,,,,195393.279683824
2025-12-07,,,,,,197291.255765435
2025-12-08,,,,,,202935.921019094
2025-12-09,,,,,,195923.001725909
2025-12-10,,,,,,202958.482911466
2025-12-11,,,,,,193302.393509476
2025-12-12,,,,,,187214.716140869
2025-12-13,,,,,,201415.15323396
2025-12-14,,,,,,203606.23872763
2025-12-15,,,,,,206171.077315033
2025-12-16,,,,,,207730.295984216
2025-12-17,,,,,,189307.453024154
2025-12-18,,,,,,64072.0629490215
2025-12-19,,,,,,15617097.9029971
2025-12-20,,,,,,15672202.6102997
2025-12-21,,,,,,32398131.1609938
2025-12-22,,,,,,36013681.8310065
2025-12-23,,,,,,33285392.5497953
2025-12-24,,,,,,24455840.1775232
2025-12-25,,,,,,25093500.0883021
2025-12-26,,,,,,235080026.092913
2025-12-27,,,,,,117314487.036931
2025-12-28,,,,,,64676454.8758212
2025-12-29,,,,,,44988461.9694926
2025-12-30,,,,,,49060673.3816971
2025-12-31,,,,,,196097248.456595
2026-01-01,,,,,,68102131.0173108
2026-01-02,,,,,,18858831.1889334
2026-01-03,,,,,,14711163.8515631
2026-01-04,,,,,,14665417.6551573
2026-01-05,,,,,,14076051.135599
2026-01-06,,,,,,12711197.8333428
2026-01-07,,,,,,322658398.468165
2026-01-08,,,,,,154348652.629974
2026-01-09,,,,,,96329052.8776639
2026-01-10,,,,,,41363902.9082392
2026-01-11,,,,,,19414775.4591819
2026-01-12,,,,,,18437370.0054699
2026-01-13,,,,,,96457905.0036752
2026-01-14,,,,,,30562709.4845248
2026-01-15,,,,,,24864697.3781641
2026-01-16,,,,,,23850353.1994341
2026-01-17,,,,,,13457720.0934962
2026-01-18,,,,,,58696801.5123348
2026-01-19,,,,,,23336403.8635213
2026-01-20,,,,,,26269778.4517384
2026-01-21,,,,,,15974073.1738246
2026-01-22,,,,,,19646312.2776667
2026-01-23,,,,,,35887976.7139981
2026-01-24,,,,,,65936926.9684102
2026-01-25,,,,,,135100616.440306
2026-01-26,,,,,,89183972.7384698
2026-01-27,,,,,,223259786.311557
2026-01-28,,,,,,9923459.25124836
2026-01-29,,,,,,8541565.01495844
2026-01-30,,,,,,8988777.21736415
2026-01-31,,,,,,11518813.3997183
2026-02-01,,,,,,279284252.2096
2026-02-02,,,,,,21415011.6905492
2026-02-03,,,,,,8817456.60016974
2026-02-04,0.0786294926494615,0.0000010389077852288,0.0000352372821392496,0.0665615326790313,0.0786294926494615,80371427.3571567
2026-02-05,0.0928818684536451,0.00000127069738231107,0.0000432533083685499,0.0787083711414596,0.0928818684536451,17788732.9973353
2026-02-06,0.0770884712039378,0.00000121409322718276,0.0000416686067833142,0.0654965350060369,0.0770884712039378,17254137.1767844
2026-02-07,0.0821195829677872,0.00000116238157842549,0.0000397851381939327,0.0696526243715443,0.0821195829677872,8194081.15292095
2026-02-08,0.0789883537421896,0.00000114200701872469,0.0000378603342707006,0.0670405207961121,0.0789883537421896,4451043.57713647
2026-02-09,0.0782713641267289,0.00000110987649448176,0.0000373822197770952,0.0663079407335659,0.0782713641267289,96059999.9983629
2026-02-10,0.12031406748335,0.00000171279957233635,0.0000571013225602292,0.101087490734792,0.12031406748335,
